Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-25,BRK,CLE,0,-1,11.9,3,2,0,0,0,0,1,2,0,0,2,3,2,4,2
2023-10-27,BRK,DAL,1,-5,3.42,2,1,0,0,0,0,2,4,0,1,0,2,1,2,5
2023-10-30,BRK,CHO,1,12,10.27,8,5,0,0,1,3,4,8,1,0,1,1,5,11,2
2023-11-01,BRK,MIA,1,4,12.7,3,2,0,0,1,2,1,7,1,1,0,0,0,5,15
2023-11-03,BRK,CHI,1,2,15.1,3,3,0,0,0,1,1,10,0,0,0,0,1,6,8
2023-11-04,BRK,BOS,0,-10,16.8,4,3,0,0,5,8,3,7,1,0,0,2,3,11,6
2023-11-06,BRK,MIL,0,-4,7.98,3,2,0,0,0,0,0,0,0,0,1,0,0,4,-7
2023-11-08,BRK,LAC,0,7,19.27,9,4,0,0,3,3,4,10,0,1,0,2,3,11,7
2023-11-10,BRK,BOS,1,-14,13.17,4,1,1,0,3,4,0,3,1,0,0,2,2,5,5
2023-11-12,BRK,WAS,0,8,19.35,6,3,1,0,2,2,7,12,1,1,1,1,1,8,-4
2023-11-14,BRK,ORL,0,20,23.82,7,4,0,0,3,5,5,10,0,0,1,2,6,11,-2
2023-11-16,BRK,MIA,1,-7,14.78,6,1,0,0,0,0,2,5,0,0,0,1,0,2,-6
2023-11-19,BRK,PHI,0,-22,20.05,3,3,0,0,0,0,2,8,2,0,2,1,1,6,-8
2023-11-22,BRK,ATL,1,-2,13.93,6,3,0,0,0,0,4,7,0,2,1,1,2,6,4
2023-11-25,BRK,MIA,0,15,11.73,1,0,0,0,4,4,0,4,1,0,2,0,2,4,4
2023-11-26,BRK,CHI,0,9,26.8,7,4,2,0,1,2,3,9,3,0,1,1,4,9,31
2023-11-28,BRK,TOR,0,12,15.2,4,2,0,0,1,1,1,5,2,0,0,0,2,5,-13
2023-11-30,BRK,CHO,0,-1,18.33,5,4,0,0,1,3,2,5,0,1,0,0,3,9,4
2023-12-02,BRK,ORL,0,28,23.77,2,2,0,0,1,3,1,6,2,0,1,1,3,5,21
2023-12-06,BRK,ATL,1,1,19.08,5,3,0,0,2,5,4,10,0,0,2,3,4,8,5
2023-12-08,BRK,WAS,0,27,19.55,13,7,0,0,1,1,5,11,4,1,1,2,3,15,11
2023-12-11,BRK,SAC,1,-13,14.02,4,2,0,0,0,0,1,7,2,1,1,1,2,4,7
2023-12-13,BRK,PHO,1,4,7.67,3,1,1,0,1,2,3,3,0,0,0,0,0,3,-6
2023-12-14,BRK,DEN,1,-23,25.75,9,4,1,0,0,0,4,13,5,0,1,3,4,8,-8
2023-12-16,BRK,GSW,1,-4,8.93,3,0,0,0,0,0,3,4,2,0,2,0,3,0,-2
2023-12-18,BRK,UTA,1,-17,16.4,5,3,0,0,0,1,3,5,0,0,1,1,1,6,6
2023-12-20,BRK,NYK,0,-19,18.57,7,3,0,0,3,4,9,15,3,1,0,1,4,9,6
2023-12-22,BRK,DEN,0,-5,18.5,8,5,0,0,3,6,5,10,4,2,2,0,2,13,2
2023-12-23,BRK,DET,0,11,18.05,6,5,0,0,1,3,1,3,1,0,0,1,4,11,4
2023-12-26,BRK,DET,1,6,21.55,4,3,0,0,5,7,3,11,3,2,4,1,1,11,15
2023-12-27,BRK,MIL,0,-22,16.4,6,5,1,1,1,2,2,4,4,0,1,0,3,12,2
2023-12-29,BRK,WAS,1,-6,18.32,7,5,0,0,0,0,5,9,3,0,0,2,3,10,-10
2023-12-31,BRK,OKC,1,-16,8.28,1,1,0,0,1,2,1,2,0,1,1,0,1,3,6
2024-01-02,BRK,NOP,1,-27,17.07,9,6,0,0,0,0,3,9,2,0,1,1,0,12,-8
2024-01-03,BRK,HOU,1,-11,20.15,7,4,0,0,3,6,4,12,1,1,1,1,5,11,-5
2024-01-05,BRK,OKC,0,9,9.0,3,1,0,0,4,4,1,2,2,1,0,0,1,6,-1
2024-01-07,BRK,POR,0,-7,16.58,7,4,0,0,3,4,3,6,2,0,1,0,3,11,-5
2024-02-13,BRK,BOS,0,-8,8.55,3,2,0,0,2,2,2,4,1,0,0,0,2,6,3
2024-02-14,BRK,BOS,1,-50,13.03,2,2,1,1,2,2,2,3,2,1,0,2,2,7,-15
2024-02-22,BRK,TOR,1,-28,15.98,5,3,0,0,3,6,2,5,1,0,0,4,2,9,-4
2024-02-24,BRK,MIN,1,-15,11.5,4,2,0,0,0,0,4,7,0,1,0,2,3,4,-2
2024-02-26,BRK,MEM,1,25,15.15,7,4,1,0,0,0,3,8,2,0,0,1,2,8,1
2024-02-27,BRK,ORL,1,-27,14.18,2,2,0,0,0,0,1,6,1,0,0,0,2,4,-10
2024-02-29,BRK,ATL,0,27,19.85,7,5,2,2,0,0,1,8,4,1,1,1,2,12,15
2024-03-02,BRK,ATL,0,12,13.98,4,2,0,0,2,4,3,5,1,0,2,1,1,6,-1
2024-03-04,BRK,MEM,0,-4,13.92,3,1,1,0,2,4,1,3,1,1,0,1,1,4,-6
2024-03-09,BRK,CHO,1,-11,10.47,3,1,0,0,0,0,4,5,2,0,0,1,1,2,-5
2024-03-10,BRK,CLE,1,19,16.62,2,2,0,0,0,0,0,3,4,0,1,0,2,4,17
2024-03-13,BRK,ORL,1,-8,13.93,2,1,0,0,3,4,0,2,0,0,0,1,2,5,-3
2024-03-16,BRK,IND,1,-21,13.63,1,1,0,0,1,3,3,7,1,1,0,4,2,3,-6
2024-03-17,BRK,SAS,1,-7,19.08,9,7,0,0,1,3,2,3,2,1,1,1,3,15,3
2024-03-19,BRK,NOP,0,-13,23.6,11,4,0,0,0,0,9,17,3,0,2,2,2,8,-7
2024-03-23,BRK,NYK,1,-12,10.4,4,2,0,0,1,1,3,4,2,0,1,0,3,5,-2
2024-03-25,BRK,TOR,1,8,7.88,5,3,0,0,0,0,1,3,1,0,1,0,2,6,-6
2024-03-27,BRK,WAS,1,3,14.15,3,2,1,0,4,6,1,5,0,0,0,3,3,8,8
2024-03-29,BRK,CHI,0,17,5.83,1,1,0,0,0,0,1,3,0,0,0,1,4,2,8
2024-03-31,BRK,LAL,0,-12,9.25,3,2,0,0,0,0,1,1,1,0,0,2,0,4,4
2024-04-01,BRK,IND,1,-22,12.52,8,3,1,0,0,0,6,11,0,0,0,2,1,6,7
2024-04-06,BRK,DET,0,10,9.78,1,0,0,0,0,0,2,6,0,0,0,1,1,0,-5
2024-04-07,BRK,SAC,0,-30,24.0,5,2,1,0,0,0,2,4,2,1,1,1,2,4,-29
2024-04-10,BRK,TOR,0,4,11.13,6,3,0,0,0,0,4,8,1,0,2,2,1,6,6
