Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-25,CHI,OKC,0,-20,32.88,20,9,3,1,1,3,2,5,2,1,1,0,1,20,-29
2023-10-27,CHI,TOR,0,1,41.35,22,11,3,1,10,14,1,4,3,4,1,2,2,33,0
2023-10-28,CHI,DET,1,-16,31.82,13,7,1,0,6,7,1,2,4,1,2,1,3,20,-11
2023-10-30,CHI,IND,1,7,34.7,19,6,1,0,8,8,1,3,4,0,1,0,2,20,15
2023-11-01,CHI,DAL,1,-9,32.8,13,5,1,0,6,6,1,3,7,1,0,2,3,16,-17
2023-11-03,CHI,BRK,0,-2,33.47,20,9,4,2,4,4,1,1,4,0,0,0,0,24,-16
2023-11-04,CHI,DEN,1,-22,33.77,16,7,1,0,3,4,0,3,6,0,0,0,4,17,-18
2023-11-06,CHI,UTA,0,17,29.83,13,8,1,1,4,5,3,5,4,4,0,1,3,21,2
2023-11-08,CHI,PHO,0,-1,39.9,20,6,4,1,9,11,0,2,7,1,2,2,2,22,-3
2023-11-12,CHI,DET,0,11,36.88,19,11,3,2,5,5,1,1,1,0,4,0,1,29,12
2023-11-13,CHI,MIL,1,-9,36.97,14,3,3,0,5,5,2,4,7,0,1,1,3,11,-2
2023-11-17,CHI,ORL,0,-6,36.03,20,10,1,1,2,4,0,4,3,1,0,3,1,23,-6
2023-11-18,CHI,MIA,0,5,39.65,12,6,4,2,9,13,1,4,4,1,0,3,1,23,-11
2023-11-20,CHI,MIA,0,-18,34.28,10,6,4,2,1,1,0,4,5,0,1,0,1,15,-15
2023-11-22,CHI,OKC,1,-14,36.5,17,6,2,0,13,13,1,2,6,2,1,1,3,25,-16
2023-11-24,CHI,TOR,1,-13,38.65,16,7,1,0,5,9,0,3,4,1,1,2,3,19,-31
2023-11-26,CHI,BRK,1,-9,37.82,22,11,4,2,3,5,2,6,6,1,0,1,2,27,5
2023-11-28,CHI,BOS,1,-27,25.68,14,7,3,1,4,4,0,2,6,0,0,2,2,19,-20
2023-12-02,CHI,NOP,0,6,39.98,18,10,4,2,2,2,0,5,10,0,0,2,3,24,2
2023-12-06,CHI,CHO,0,11,36.72,20,8,3,1,12,14,0,6,3,0,1,2,1,29,17
2023-12-08,CHI,SAS,1,9,38.63,24,7,2,0,6,10,1,6,10,3,0,2,2,20,13
2023-12-11,CHI,MIL,1,-4,41.8,30,14,6,3,10,12,0,2,11,0,0,2,5,41,6
2023-12-12,CHI,DEN,0,-8,36.9,13,3,4,1,7,7,0,4,5,1,2,0,5,14,-7
2023-12-14,CHI,MIA,1,8,40.68,14,6,3,1,10,11,2,5,4,0,0,3,2,23,14
2023-12-16,CHI,MIA,1,-2,41.95,13,9,2,1,8,9,1,3,5,2,3,3,1,27,5
2023-12-18,CHI,PHI,1,4,36.83,15,5,0,0,5,6,0,4,5,4,1,2,1,15,-5
2023-12-20,CHI,LAL,0,16,35.88,16,12,2,0,3,3,0,7,9,1,1,3,3,27,17
2023-12-21,CHI,SAS,0,19,35.92,15,9,3,1,2,2,0,4,5,0,1,0,1,21,10
2023-12-23,CHI,CLE,0,-14,40.13,14,6,3,1,8,9,0,5,8,3,0,2,4,21,-8
2023-12-26,CHI,ATL,0,5,40.3,17,8,3,2,7,7,0,2,6,1,0,1,3,25,8
2023-12-28,CHI,IND,0,-16,37.42,19,7,3,0,7,8,0,5,5,2,0,1,1,21,-18
2023-12-30,CHI,PHI,0,13,37.18,17,9,2,0,6,7,0,6,5,0,0,2,0,24,19
2024-01-02,CHI,PHI,1,-13,30.42,10,5,3,0,6,7,0,4,3,0,0,1,4,16,-24
2024-01-03,CHI,NYK,1,-16,38.5,13,10,4,3,5,5,0,3,4,1,1,0,1,28,-25
2024-01-05,CHI,CHO,0,13,37.52,10,6,2,0,5,5,0,1,6,3,0,3,4,17,18
2024-01-08,CHI,CHO,1,7,43.82,16,7,3,1,3,4,0,7,7,3,1,3,0,18,14
2024-01-10,CHI,HOU,0,5,42.52,19,5,6,3,6,6,0,4,4,0,0,1,2,19,-9
2024-01-12,CHI,GSW,0,-9,40.98,21,15,5,2,7,8,1,7,5,0,0,1,5,39,4
2024-01-13,CHI,SAS,1,6,34.42,19,8,5,2,2,2,0,4,4,0,0,0,1,20,6
2024-01-15,CHI,CLE,1,-18,38.12,8,3,1,0,0,0,0,6,3,2,1,2,3,6,-17
2024-01-18,CHI,TOR,1,6,38.05,20,9,4,0,6,7,1,7,6,1,0,2,2,24,6
2024-01-20,CHI,MEM,0,29,36.6,20,7,4,1,3,4,1,4,8,1,1,1,0,18,23
2024-01-22,CHI,PHO,1,-2,39.83,17,8,3,1,4,6,1,5,3,1,0,2,3,21,-10
2024-01-25,CHI,LAL,1,-9,40.72,14,10,1,1,11,12,0,2,10,2,0,3,2,32,-7
2024-01-28,CHI,POR,1,8,40.18,14,8,2,1,3,3,0,7,6,1,0,0,2,20,11
2024-01-30,CHI,TOR,0,-11,41.55,17,8,5,0,9,12,1,2,5,3,4,5,1,25,-14
2024-01-31,CHI,CHO,1,7,37.52,10,4,2,1,6,8,0,4,3,0,1,2,2,15,3
2024-02-03,CHI,SAC,0,-8,38.62,14,5,2,0,14,15,1,7,6,4,0,3,2,24,4
2024-02-06,CHI,MIN,0,6,42.62,19,8,1,0,17,18,2,3,5,4,0,1,2,33,12
2024-02-08,CHI,MEM,1,8,37.53,17,11,3,3,5,5,1,8,1,0,0,2,3,30,2
2024-02-10,CHI,ORL,1,-6,44.17,24,11,4,1,5,6,1,4,4,0,0,1,3,28,-2
2024-02-12,CHI,ATL,1,10,38.42,17,10,2,0,9,11,0,3,5,0,0,1,1,29,13
2024-02-14,CHI,CLE,1,-3,40.5,16,9,1,0,6,7,0,2,6,0,0,0,4,24,-1
2024-02-22,CHI,BOS,0,-17,35.67,17,7,3,1,4,4,1,4,5,1,0,2,2,19,-5
2024-02-25,CHI,NOP,1,8,40.05,13,6,4,2,10,12,1,6,7,0,0,2,1,24,4
2024-02-27,CHI,DET,0,-10,39.73,16,9,2,0,7,7,0,3,4,1,0,0,2,25,-7
2024-02-28,CHI,CLE,0,9,48.58,26,8,5,2,17,19,2,10,5,0,1,0,4,35,5
2024-03-01,CHI,MIL,0,-16,32.73,13,5,0,0,2,2,1,4,9,0,1,0,3,12,-12
2024-03-04,CHI,SAC,1,4,37.82,12,10,3,2,11,12,0,0,4,2,0,2,1,33,-3
2024-03-06,CHI,UTA,1,2,38.35,21,10,5,2,7,7,0,6,7,1,0,2,1,29,5
2024-03-07,CHI,GSW,1,3,39.23,17,10,6,3,10,11,0,8,4,0,1,1,2,33,4
2024-03-09,CHI,LAC,1,-10,42.15,19,8,3,0,8,9,1,8,10,0,0,2,2,24,-10
2024-03-11,CHI,DAL,0,-35,22.08,9,4,1,0,5,6,0,2,2,0,0,1,1,13,-12
2024-03-13,CHI,IND,1,3,44.13,24,15,6,1,15,17,0,9,3,2,1,2,1,46,18
2024-03-14,CHI,LAC,0,-15,35.7,16,6,5,2,7,8,1,5,4,0,0,5,2,21,-13
2024-03-16,CHI,WAS,0,29,34.88,7,3,1,0,7,11,0,4,6,2,2,1,3,13,16
