Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-25,BRK,CLE,0,-1,15.83,5,4,3,2,0,0,2,4,1,0,0,1,1,10,5
2023-10-27,BRK,DAL,1,-5,8.38,3,0,0,0,0,0,0,1,1,0,0,1,4,0,-7
2023-10-30,BRK,CHO,1,12,14.03,4,1,1,0,1,2,1,4,2,1,0,1,2,3,7
2023-11-03,BRK,CHI,1,2,16.45,9,3,2,1,0,0,1,1,1,1,0,1,0,7,8
2023-11-04,BRK,BOS,0,-10,14.5,5,2,4,1,0,0,0,1,1,1,2,1,3,5,-5
2023-11-06,BRK,MIL,0,-4,11.1,3,1,0,0,0,0,0,0,1,0,0,0,1,2,-14
2023-11-08,BRK,LAC,0,7,24.58,7,2,3,0,0,0,1,1,5,2,0,1,4,4,5
2023-11-10,BRK,BOS,1,-14,26.95,10,5,1,0,4,4,1,4,7,0,0,0,4,14,1
2023-11-12,BRK,WAS,0,8,19.43,4,2,2,2,2,2,1,4,6,0,0,4,1,8,-10
2023-11-14,BRK,ORL,0,20,18.92,7,3,1,0,0,0,1,3,5,2,0,1,3,6,9
2023-11-16,BRK,MIA,1,-7,16.45,6,2,2,1,0,0,0,2,5,0,0,0,2,5,-9
2023-12-02,BRK,ORL,0,28,20.7,10,5,3,0,0,1,1,11,6,2,1,1,0,10,18
2023-12-06,BRK,ATL,1,1,21.57,7,4,0,0,5,5,2,3,4,2,0,0,3,13,5
2023-12-22,BRK,DEN,0,-5,19.38,7,2,4,1,2,2,1,4,5,1,0,0,5,7,9
2023-12-23,BRK,DET,0,11,18.82,6,2,2,1,1,2,0,0,3,0,0,1,3,6,0
2023-12-26,BRK,DET,1,6,21.15,8,3,1,0,0,0,0,2,3,1,0,3,3,6,3
2023-12-27,BRK,MIL,0,-22,30.03,17,7,4,0,0,0,1,7,8,1,0,2,0,14,-11
2023-12-29,BRK,WAS,1,-6,20.28,6,2,1,0,1,2,0,2,3,2,0,0,3,5,-21
2023-12-31,BRK,OKC,1,-16,14.7,3,2,1,0,3,3,1,3,4,1,0,3,4,7,-7
2024-01-02,BRK,NOP,1,-27,19.87,7,3,4,2,1,2,0,1,4,1,0,1,1,9,-5
2024-01-05,BRK,OKC,0,9,24.65,11,6,4,1,0,0,6,12,7,2,0,0,4,13,14
2024-01-07,BRK,POR,0,-7,29.33,8,3,1,0,4,4,0,2,10,2,1,1,6,10,-19
2024-01-11,BRK,CLE,1,-9,22.72,2,1,0,0,0,0,1,4,5,0,1,1,1,2,6
2024-01-15,BRK,MIA,0,-1,32.38,8,3,4,1,1,2,1,5,5,4,1,2,2,8,10
2024-01-17,BRK,POR,1,-2,14.0,4,1,1,0,0,0,2,3,2,2,0,1,1,2,-14
2024-01-19,BRK,LAL,1,18,17.1,7,4,4,2,1,1,1,2,5,3,0,2,2,11,2
2024-01-21,BRK,LAC,1,-11,18.0,8,6,2,1,0,0,1,3,1,0,0,2,2,13,-2
2024-01-23,BRK,NYK,0,-5,29.02,9,4,1,0,0,0,0,5,5,2,1,5,5,8,-11
2024-01-25,BRK,MIN,0,-2,15.85,4,0,0,0,0,0,2,2,2,0,0,1,1,0,-3
2024-01-27,BRK,HOU,0,2,17.72,4,2,1,0,1,2,1,3,4,2,0,1,2,5,0
2024-01-29,BRK,UTA,0,33,14.77,8,5,2,0,2,2,1,2,5,2,0,1,2,12,6
2024-01-31,BRK,PHO,0,-16,18.6,5,2,1,0,0,0,3,5,2,1,0,0,2,4,-15
2024-02-05,BRK,GSW,0,-11,30.87,9,4,3,1,3,5,4,8,5,2,2,4,4,12,1
2024-02-06,BRK,DAL,0,-12,18.28,5,3,1,0,0,0,0,2,3,0,0,1,3,6,-7
2024-02-08,BRK,CLE,0,-23,25.98,8,3,0,0,0,0,2,4,7,5,0,0,2,6,6
2024-02-10,BRK,SAS,0,20,23.72,9,6,3,2,0,0,1,6,2,0,1,0,1,14,18
2024-02-13,BRK,BOS,0,-8,14.85,2,0,2,0,0,0,0,1,2,0,0,2,0,0,3
2024-02-14,BRK,BOS,1,-50,18.17,7,3,4,1,0,0,0,0,5,1,0,1,2,7,-19
2024-02-22,BRK,TOR,1,-28,16.1,3,2,0,0,2,2,0,3,1,0,0,4,1,6,5
2024-02-24,BRK,MIN,1,-15,15.47,6,0,0,0,0,0,0,4,2,1,0,0,0,0,-6
2024-02-26,BRK,MEM,1,25,13.82,3,0,1,0,0,2,2,2,3,0,0,0,2,0,5
2024-02-27,BRK,ORL,1,-27,19.8,6,3,3,1,0,0,1,3,5,1,0,3,2,7,-5
2024-02-29,BRK,ATL,0,27,20.9,7,4,3,1,1,2,0,0,5,1,0,0,2,10,12
2024-03-02,BRK,ATL,0,12,21.33,6,1,3,1,0,0,1,6,6,0,1,0,2,3,3
2024-03-04,BRK,MEM,0,-4,17.23,5,2,3,1,0,0,1,1,0,2,1,1,1,5,-8
2024-03-05,BRK,PHI,0,5,23.78,6,3,2,0,1,3,0,1,6,3,0,2,3,7,13
2024-03-07,BRK,DET,1,-6,23.57,10,3,4,1,2,2,0,2,3,4,0,1,6,9,-2
2024-03-09,BRK,CHO,1,-11,14.12,4,2,3,1,2,2,0,3,0,0,0,1,1,7,-13
2024-03-10,BRK,CLE,1,19,20.37,3,2,2,1,2,2,2,3,2,0,0,1,4,7,22
2024-03-13,BRK,ORL,1,-8,18.38,7,4,5,2,0,0,2,3,2,2,0,0,0,10,8
2024-03-16,BRK,IND,1,-21,11.42,4,2,1,0,0,0,0,0,2,0,0,1,3,4,-4
2024-03-17,BRK,SAS,1,-7,16.98,6,2,2,1,0,0,1,3,4,2,0,1,1,5,-6
2024-03-19,BRK,NOP,0,-13,9.92,2,0,0,0,0,0,0,0,3,1,0,1,1,0,-3
2024-03-21,BRK,MIL,1,-7,18.57,2,2,1,1,0,0,0,3,6,3,0,3,2,5,-7
2024-03-23,BRK,NYK,1,-12,14.13,4,3,2,1,1,2,0,0,1,2,0,2,1,8,-2
2024-03-31,BRK,LAL,0,-12,3.63,2,1,1,0,0,0,0,0,0,0,0,0,0,2,-5
