Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-25,MEM,NOP,0,-7,15.88,11,3,4,2,0,0,1,2,3,0,0,0,0,8,-10
2023-10-27,MEM,DEN,0,-4,21.9,14,6,3,2,2,2,2,4,3,1,0,3,2,16,-1
2023-10-28,MEM,WAS,1,-7,18.47,8,3,2,1,0,0,1,1,5,1,1,3,0,7,9
2023-10-30,MEM,DAL,0,-15,14.27,4,0,1,0,1,2,0,1,0,0,0,0,1,1,-18
2023-11-18,MEM,SAS,1,12,14.25,4,3,1,1,2,3,0,1,1,0,0,0,1,9,5
2023-11-22,MEM,HOU,1,-20,16.27,3,1,2,1,4,4,0,1,2,0,0,2,0,7,-3
2023-11-24,MEM,PHO,0,-21,21.57,9,8,1,1,0,0,0,2,1,1,0,1,0,17,-10
2023-11-26,MEM,MIN,0,-22,19.67,12,5,2,0,2,2,2,2,4,1,0,1,2,12,-3
2023-11-29,MEM,UTA,0,14,26.97,11,7,3,0,0,0,0,4,9,0,0,1,2,14,20
2023-12-01,MEM,DAL,1,14,20.4,7,3,2,0,0,0,0,2,3,1,0,1,3,6,21
2023-12-06,MEM,DET,1,14,15.48,7,2,1,0,0,0,0,1,2,2,0,5,1,4,2
2023-12-08,MEM,MIN,0,-24,22.0,7,2,1,0,2,2,0,1,7,0,0,1,1,6,-8
2023-12-11,MEM,DAL,0,-7,17.17,7,2,3,1,2,2,0,3,4,0,0,2,1,7,-10
2023-12-13,MEM,HOU,1,-13,30.7,14,7,4,1,4,4,1,4,6,0,1,1,4,19,-14
2023-12-15,MEM,HOU,0,-7,8.65,3,1,2,1,0,0,0,1,2,0,0,0,0,3,11
2023-12-31,MEM,SAC,0,-31,12.23,3,1,0,0,0,0,0,0,3,0,0,1,0,2,-16
2024-01-02,MEM,SAS,0,8,8.62,4,2,1,0,0,0,0,0,2,0,0,0,0,4,1
2024-02-02,MEM,GSW,0,-20,15.67,9,5,3,1,1,1,0,1,4,0,0,0,1,12,-7
2024-02-06,MEM,NYK,1,-10,11.8,4,2,1,1,2,2,0,3,2,1,0,3,0,7,-1
2024-02-10,MEM,CHO,1,-9,16.0,7,4,2,2,0,0,0,4,5,0,0,0,0,10,-8
2024-02-14,MEM,HOU,0,8,16.17,6,3,1,0,2,3,0,4,3,0,0,0,1,8,10
2024-02-23,MEM,LAC,0,-6,14.25,5,2,0,0,0,0,0,1,2,0,0,3,1,4,8
2024-02-26,MEM,BRK,0,-25,15.27,4,3,1,0,0,0,0,2,4,0,0,2,0,6,-6
2024-02-28,MEM,MIN,1,-9,5.68,2,1,0,0,0,0,0,0,1,0,0,1,0,2,-5
