Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2022-10-19,PHO,DAL,0,2,40.62,20,10,1,1,7,7,1,4,9,0,1,2,3,28,20
2022-10-21,PHO,POR,1,-2,43.92,23,11,7,3,8,9,0,5,3,1,0,2,1,33,-2
2022-10-23,PHO,LAC,1,17,34.82,21,13,9,5,4,4,1,1,4,1,0,3,1,35,13
2022-10-25,PHO,GSW,0,29,35.32,19,10,8,3,11,14,1,2,7,3,0,3,3,34,32
2022-10-28,PHO,NOP,0,13,32.6,14,6,4,0,4,4,0,5,4,0,0,5,1,16,4
2022-10-30,PHO,HOU,0,15,35.38,24,14,7,1,1,3,1,3,6,1,0,1,2,30,11
2022-11-01,PHO,MIN,0,9,30.43,18,6,7,2,4,5,1,7,5,0,1,2,5,18,11
2022-11-04,PHO,POR,0,-2,38.37,21,8,7,3,6,6,0,5,5,1,1,5,3,25,3
2022-11-05,PHO,POR,0,20,29.17,20,9,7,2,4,4,1,3,3,1,2,1,2,24,19
2022-11-07,PHO,PHI,1,-12,43.4,16,8,1,1,11,14,2,7,5,1,0,6,2,28,-9
2022-11-09,PHO,MIN,1,12,38.17,23,12,7,5,3,3,0,4,10,2,0,1,2,32,26
2022-11-11,PHO,ORL,1,-17,34.47,19,6,8,2,3,3,3,8,6,1,0,2,2,17,-27
2022-11-14,PHO,MIA,1,-1,41.57,22,11,7,2,1,2,2,8,5,3,1,2,5,25,-7
2022-11-16,PHO,GSW,0,11,36.63,17,8,5,2,9,9,0,2,9,0,3,3,2,27,6
2022-11-18,PHO,UTA,1,-1,41.28,31,16,9,2,15,15,1,8,10,1,0,1,3,49,-4
2022-11-20,PHO,NYK,0,21,29.52,17,7,8,5,1,1,1,5,3,0,0,0,0,20,13
2022-11-22,PHO,LAL,0,10,35.45,24,10,6,2,3,3,1,4,5,0,0,4,6,25,4
2022-11-25,PHO,DET,0,6,35.7,17,8,7,2,3,7,0,7,5,1,1,2,2,21,10
2022-11-26,PHO,UTA,0,1,39.35,27,8,7,1,10,11,4,11,7,0,0,2,3,27,-4
2022-11-28,PHO,SAC,1,5,40.65,28,17,6,1,9,9,0,8,4,6,0,6,4,44,14
2022-11-30,PHO,CHI,0,19,30.67,25,20,7,6,5,6,0,4,6,1,0,2,3,51,23
2022-12-02,PHO,HOU,0,-1,33.87,25,15,6,4,7,10,0,4,8,0,0,3,3,41,8
2022-12-04,PHO,SAS,1,38,27.8,16,7,3,1,5,5,0,0,8,0,0,2,2,20,26
2022-12-05,PHO,DAL,1,-19,30.33,13,4,2,1,2,2,0,2,5,0,0,1,4,11,-18
2022-12-07,PHO,BOS,0,-27,24.62,17,6,6,1,4,4,1,5,3,0,1,2,5,17,-40
2022-12-09,PHO,NOP,1,-11,36.0,17,5,8,2,2,4,0,2,7,1,0,3,4,14,-18
2022-12-15,PHO,LAC,1,16,34.88,22,6,9,1,1,1,1,4,4,1,0,2,1,14,4
2022-12-17,PHO,NOP,0,4,42.45,35,21,12,6,10,15,1,6,5,0,0,2,3,58,11
