Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-25,NYK,BOS,0,-4,15.42,4,0,3,0,0,0,0,3,2,0,0,0,1,0,5
2023-10-27,NYK,ATL,1,6,20.37,10,6,5,3,1,2,1,2,1,1,1,2,2,16,-5
2023-10-28,NYK,NOP,1,-9,19.67,7,2,5,1,0,0,2,4,1,2,0,2,3,5,-8
2023-10-31,NYK,CLE,1,18,15.0,3,1,3,1,0,0,0,2,6,1,0,1,3,3,9
2023-11-01,NYK,CLE,0,-6,30.25,10,5,7,3,3,5,0,2,0,2,1,3,3,16,1
2023-11-03,NYK,MIL,1,-5,18.22,8,1,4,1,0,0,1,4,0,0,0,1,0,3,-10
2023-11-06,NYK,LAC,0,14,16.18,6,4,5,3,1,2,2,6,1,1,1,1,1,12,13
2023-11-08,NYK,SAS,0,21,19.82,6,1,3,1,0,0,1,4,2,1,0,0,1,3,-12
2023-11-12,NYK,CHO,0,22,22.73,8,3,6,1,2,3,1,1,2,0,1,1,2,9,16
2023-11-13,NYK,BOS,1,-16,16.4,6,2,4,1,0,0,1,1,1,0,0,0,1,5,-3
2023-11-15,NYK,ATL,1,2,21.6,8,3,2,0,0,0,1,4,3,2,0,4,1,6,-8
2023-11-17,NYK,WAS,1,21,24.67,9,5,8,4,0,0,2,4,1,0,0,1,1,14,2
2023-11-18,NYK,CHO,1,14,28.47,12,9,10,7,0,0,0,3,3,3,1,0,1,25,11
2023-11-20,NYK,MIN,1,-17,25.57,8,2,6,1,2,2,2,3,5,1,0,0,3,7,3
2023-11-24,NYK,MIA,0,2,16.32,4,1,2,1,2,3,1,4,1,1,0,3,1,5,7
2023-11-26,NYK,PHO,0,-3,13.97,6,2,3,2,0,0,0,1,0,2,0,0,1,6,-1
2023-11-28,NYK,CHO,0,24,18.88,8,2,6,2,0,0,0,2,0,1,0,2,0,6,3
2023-11-30,NYK,DET,0,6,22.62,8,4,8,4,0,0,0,3,2,0,1,0,1,12,0
2023-12-01,NYK,TOR,1,13,22.12,10,7,9,7,0,0,0,1,1,0,0,0,0,21,0
2023-12-05,NYK,MIL,1,-24,17.03,5,2,4,1,2,2,0,1,2,0,0,0,2,7,-12
2023-12-08,NYK,BOS,1,-10,22.43,6,2,5,2,0,0,0,4,2,0,0,1,2,6,-21
2023-12-11,NYK,TOR,0,6,18.73,2,1,2,1,0,0,0,4,5,0,1,1,3,3,1
2023-12-13,NYK,UTA,1,-4,26.97,13,6,9,4,5,7,3,7,1,4,0,0,2,21,12
2023-12-15,NYK,PHO,1,17,19.2,3,2,2,1,0,0,0,1,1,1,0,0,4,5,-13
2023-12-16,NYK,LAC,1,-22,21.73,8,5,8,5,3,3,0,1,1,1,0,0,3,18,-22
2023-12-18,NYK,LAL,1,5,19.23,5,3,4,2,0,0,0,1,3,0,1,1,1,8,-2
2023-12-20,NYK,BRK,1,19,22.5,15,9,10,5,0,0,2,8,1,3,0,2,2,23,13
2023-12-23,NYK,MIL,0,-19,23.9,7,4,6,3,0,0,1,2,2,1,0,1,3,11,-2
2023-12-25,NYK,MIL,0,7,20.78,6,1,5,1,0,0,0,1,4,1,0,1,4,3,2
2023-12-27,NYK,OKC,1,-9,20.5,10,6,9,5,0,0,0,2,0,0,0,1,2,17,-1
2023-12-29,NYK,ORL,1,-9,19.85,7,1,5,0,0,0,0,1,2,3,1,1,4,2,-12
2023-12-30,NYK,IND,1,-14,35.98,21,15,11,7,1,1,2,6,2,4,1,1,2,38,-17
2024-01-01,NYK,MIN,0,6,25.62,11,5,6,2,3,4,1,4,2,1,1,1,0,15,15
2024-01-03,NYK,CHI,0,16,25.0,10,4,8,3,0,0,1,5,5,1,0,3,2,11,18
2024-01-05,NYK,PHI,1,36,16.7,6,4,6,4,2,2,1,2,3,1,0,2,4,14,-7
2024-01-06,NYK,WAS,1,16,26.37,10,4,7,2,0,0,1,5,3,1,0,1,1,10,3
2024-01-09,NYK,POR,0,28,18.67,9,4,8,3,2,2,0,4,2,1,0,0,2,13,14
2024-01-11,NYK,DAL,1,-4,29.63,13,7,10,5,0,0,1,4,3,2,0,2,4,19,-6
2024-01-13,NYK,MEM,1,12,32.93,14,4,11,3,2,3,0,3,4,4,0,2,2,13,8
2024-01-15,NYK,ORL,0,-4,24.28,12,5,8,2,3,6,2,6,4,0,1,0,2,15,9
2024-01-17,NYK,HOU,0,15,19.03,7,2,4,1,0,0,0,2,5,0,0,2,1,5,7
2024-01-18,NYK,WAS,0,4,37.58,15,6,12,5,2,2,0,3,3,0,1,3,4,19,15
2024-01-20,NYK,TOR,0,26,20.48,12,7,7,2,1,3,1,3,1,1,0,0,1,17,5
2024-01-23,NYK,BRK,1,5,25.3,10,4,8,3,0,0,1,5,0,1,0,3,0,11,-7
2024-01-25,NYK,DEN,0,38,26.05,10,5,9,4,2,2,2,3,6,1,0,0,2,16,27
2024-01-27,NYK,MIA,0,16,19.62,10,4,6,3,0,0,1,1,2,1,0,0,1,11,0
2024-01-29,NYK,CHO,1,21,41.87,22,10,15,5,3,4,0,6,5,0,1,2,3,28,24
2024-01-30,NYK,UTA,0,15,39.38,22,11,15,9,2,2,2,5,4,4,1,0,3,33,23
