Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2022-10-23,PHO,LAC,1,17,1.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2022-10-28,PHO,NOP,0,13,1.63,3,1,2,0,0,0,0,0,0,0,0,0,0,2,-1
2022-10-30,PHO,HOU,0,15,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-05,PHO,POR,0,20,5.43,5,1,2,0,0,0,0,0,0,0,0,1,0,2,-9
2022-11-11,PHO,ORL,1,-17,7.32,6,2,4,1,0,0,0,0,1,0,0,0,1,5,-2
2022-11-14,PHO,MIA,1,-1,19.05,14,8,8,5,0,0,0,0,4,0,0,1,0,21,12
2022-11-16,PHO,GSW,0,11,13.55,6,2,4,1,0,2,0,2,2,0,0,0,0,5,-7
2022-11-18,PHO,UTA,1,-1,12.57,4,2,2,0,0,0,0,1,0,0,0,0,0,4,-4
2022-11-20,PHO,NYK,0,21,15.92,10,2,3,1,0,0,0,1,1,0,0,1,2,5,6
2022-11-22,PHO,LAL,0,10,18.33,15,7,5,1,0,0,0,2,1,1,0,2,0,15,1
2022-11-25,PHO,DET,0,6,17.43,5,2,3,1,0,0,0,1,1,0,0,2,2,5,-3
2022-11-26,PHO,UTA,0,1,4.08,2,0,1,0,0,0,0,0,0,0,0,0,0,0,-7
2022-11-28,PHO,SAC,1,5,9.47,3,2,2,1,0,0,0,0,0,0,1,1,0,5,7
2022-11-30,PHO,CHI,0,19,4.68,2,0,2,0,0,0,0,0,0,0,0,1,2,0,-4
2022-12-04,PHO,SAS,1,38,3.17,1,0,1,0,0,0,0,2,1,0,0,0,0,0,2
