Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-25,CLE,BRK,1,1,33.62,11,5,0,0,0,0,1,6,1,0,2,0,3,10,3
2023-10-27,CLE,OKC,0,-3,33.88,12,5,0,0,4,6,2,15,3,0,2,2,4,14,-9
2023-10-28,CLE,IND,0,-12,33.2,22,12,1,1,8,10,5,14,3,0,3,2,4,33,-15
2023-10-31,CLE,NYK,0,-18,29.05,9,3,0,0,0,0,4,12,5,0,2,2,0,6,-19
2023-11-01,CLE,NYK,1,6,35.25,12,6,0,0,2,3,2,8,5,2,2,2,2,14,8
2023-11-03,CLE,IND,1,-5,35.85,13,7,2,0,0,0,2,10,5,3,4,2,2,14,11
2023-11-05,CLE,GSW,0,11,29.0,10,6,1,0,1,4,5,16,2,0,1,5,4,13,8
2023-11-08,CLE,OKC,1,-8,33.08,16,9,1,0,4,4,2,5,1,1,1,1,2,22,3
2023-11-11,CLE,GSW,1,8,31.07,10,6,1,0,7,7,1,5,2,1,1,2,4,19,-4
2023-11-13,CLE,SAC,1,-12,30.1,14,8,0,0,0,0,7,12,2,1,0,3,4,16,-3
2023-11-15,CLE,POR,1,14,35.37,11,8,1,0,5,8,3,12,3,1,3,1,1,21,26
2023-11-17,CLE,DET,0,8,35.35,12,8,0,0,2,4,4,10,5,1,0,3,4,18,-6
2023-11-19,CLE,DEN,0,12,31.72,11,8,0,0,0,0,3,10,5,0,2,2,3,16,12
2023-11-21,CLE,PHI,1,3,38.13,10,6,0,0,6,6,0,12,3,0,1,4,4,18,-4
2023-11-22,CLE,MIA,0,-33,25.23,7,5,0,0,3,3,2,10,2,0,0,2,0,13,-12
2023-11-25,CLE,LAL,0,-6,36.47,12,8,0,0,2,3,1,6,6,4,1,2,3,18,-5
2023-11-26,CLE,TOR,0,3,38.12,14,5,1,0,2,2,3,14,1,0,2,3,3,12,-4
2023-11-28,CLE,ATL,0,23,34.1,11,8,1,1,0,0,5,19,1,0,7,1,4,17,25
2023-11-30,CLE,POR,0,-8,33.82,14,9,1,0,2,2,2,8,3,2,0,3,1,20,3
2023-12-02,CLE,DET,1,9,36.15,5,2,0,0,2,3,1,11,1,0,0,2,3,6,1
2023-12-06,CLE,ORL,0,10,36.5,12,8,0,0,0,0,1,5,2,1,1,4,5,16,13
2024-01-29,CLE,LAC,0,10,20.85,7,5,0,0,0,0,1,9,0,1,0,3,3,10,-5
2024-01-31,CLE,DET,0,7,22.45,7,3,1,0,2,2,1,3,4,1,0,0,2,8,-4
2024-02-03,CLE,SAS,1,16,23.95,15,11,3,3,3,4,2,10,3,0,0,0,5,28,-7
2024-02-05,CLE,SAC,0,26,27.75,12,5,1,0,1,2,1,14,7,2,1,0,3,11,4
2024-02-07,CLE,WAS,1,8,25.12,10,9,2,2,2,2,2,8,1,1,1,2,2,22,7
2024-02-08,CLE,BRK,1,23,25.67,8,5,0,0,4,4,0,12,2,0,2,2,3,14,25
2024-02-10,CLE,TOR,1,24,27.42,13,7,4,1,2,4,4,11,3,0,0,2,3,17,17
2024-02-12,CLE,PHI,0,-2,27.88,11,6,2,1,1,2,2,10,3,2,4,1,2,14,-11
2024-02-14,CLE,CHI,0,3,30.88,8,6,1,1,1,2,4,9,0,1,1,1,2,14,-6
2024-02-22,CLE,ORL,0,-7,34.0,9,5,1,0,4,4,1,8,6,2,2,1,3,14,0
2024-02-23,CLE,PHI,1,-7,26.58,8,3,0,0,2,6,2,10,0,0,1,4,4,8,-11
2024-02-25,CLE,WAS,1,9,28.67,11,9,0,0,3,6,2,6,1,1,5,1,4,21,-2
2024-02-27,CLE,DAL,0,2,28.32,11,5,3,0,2,2,3,9,7,1,0,1,2,12,-2
2024-02-28,CLE,CHI,1,-9,42.2,17,11,4,1,2,6,2,13,1,1,4,2,2,25,-3
2024-03-01,CLE,DET,1,10,34.93,13,7,1,0,8,11,4,17,7,2,2,1,3,22,19
2024-03-03,CLE,NYK,0,-9,27.98,11,6,1,0,1,3,4,13,6,0,1,2,3,13,-6
2024-03-05,CLE,BOS,0,1,22.92,8,2,1,0,0,0,1,6,4,2,0,2,2,4,-7
2024-03-24,CLE,MIA,1,-37,21.03,6,4,2,2,5,6,0,4,1,0,0,2,3,15,-22
2024-03-25,CLE,CHO,0,23,24.93,12,8,2,0,1,3,1,7,8,1,0,1,2,17,14
2024-03-27,CLE,CHO,1,-7,30.8,7,3,2,1,3,4,1,6,6,1,0,0,2,10,-8
2024-03-29,CLE,PHI,0,3,30.6,10,7,2,2,4,6,1,11,3,1,2,2,4,20,5
2024-03-31,CLE,DEN,1,-29,28.6,10,9,2,1,4,5,2,4,1,0,2,0,1,23,-11
2024-04-02,CLE,UTA,1,16,31.13,14,9,2,1,2,3,3,7,5,2,2,1,2,21,11
2024-04-03,CLE,PHO,1,-21,36.08,13,8,2,1,3,3,2,9,5,1,1,2,2,20,-4
2024-04-06,CLE,LAL,1,-19,28.93,6,2,2,1,3,4,1,3,3,2,1,3,3,8,-11
2024-04-07,CLE,LAC,1,-2,31.4,17,8,2,0,4,6,1,6,4,0,0,1,1,20,0
2024-04-10,CLE,MEM,0,12,31.45,10,4,4,2,2,2,3,12,1,3,4,4,1,12,12
2024-04-12,CLE,IND,0,9,29.25,7,6,1,0,0,0,1,5,2,0,1,1,5,12,-3
2024-04-14,CLE,CHO,0,-10,25.4,13,5,1,0,4,4,3,6,5,0,0,0,0,14,10
