Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-25,ORL,HOU,0,30,16.95,8,5,4,1,0,0,3,5,0,0,1,0,0,11,8
2023-10-27,ORL,POR,1,5,18.73,5,1,3,1,0,0,0,1,1,0,0,1,0,3,2
2023-10-30,ORL,LAL,1,-3,21.0,6,6,5,5,0,0,1,3,3,0,0,3,0,17,4
2023-10-31,ORL,LAC,1,-16,17.75,5,3,4,2,1,3,0,2,2,1,0,0,1,9,0
2023-11-02,ORL,UTA,1,2,14.47,2,0,2,0,0,0,0,0,1,0,1,0,1,0,6
2023-11-15,ORL,CHI,1,2,20.92,4,2,3,1,1,2,0,0,0,2,0,0,0,6,2
2023-11-17,ORL,CHI,1,6,28.68,10,5,7,3,2,2,2,6,2,1,2,0,3,15,5
2023-11-19,ORL,IND,1,12,21.98,6,4,3,3,2,2,0,0,2,2,0,0,1,13,10
2023-11-21,ORL,TOR,0,19,22.78,7,4,5,2,0,0,0,1,1,1,0,0,3,10,18
2023-11-22,ORL,DEN,0,5,23.2,7,1,6,1,2,2,0,3,3,3,0,0,2,5,1
2023-11-24,ORL,BOS,0,17,19.42,3,1,3,1,1,1,2,3,0,0,0,2,1,4,9
2023-11-26,ORL,CHO,0,13,24.4,6,2,5,1,0,0,0,0,6,1,0,0,2,5,5
2023-11-29,ORL,WAS,0,19,19.32,2,2,2,2,2,3,0,2,4,2,0,1,3,8,20
2023-12-01,ORL,WAS,0,5,22.27,9,3,6,1,1,2,0,0,0,0,0,1,0,8,-12
2023-12-02,ORL,BRK,1,-28,20.75,8,2,5,0,0,0,0,1,2,0,0,0,1,4,-7
2023-12-06,ORL,CLE,1,-10,31.32,7,1,4,0,6,6,1,3,3,1,0,0,4,8,0
2023-12-08,ORL,DET,0,32,22.58,8,4,5,2,1,1,0,3,1,2,0,1,3,11,23
2023-12-11,ORL,CLE,0,10,26.22,3,1,3,1,0,0,0,1,2,0,1,0,2,3,1
2023-12-15,ORL,BOS,1,-17,15.88,3,1,2,0,0,0,0,0,0,1,0,0,3,2,-10
2023-12-17,ORL,BOS,1,-17,25.72,3,0,3,0,0,0,0,1,2,0,0,0,1,0,-26
2023-12-20,ORL,MIA,0,-9,19.75,2,0,2,0,0,0,3,3,1,2,0,0,3,0,4
2023-12-21,ORL,MIL,1,-4,34.97,11,5,6,2,2,3,1,2,5,0,0,0,4,14,-11
2023-12-23,ORL,IND,1,7,34.5,9,5,4,2,3,3,0,1,3,2,0,3,2,15,0
2023-12-26,ORL,WAS,1,8,19.27,2,1,1,1,0,0,0,0,1,1,0,1,3,3,4
2023-12-31,ORL,PHO,1,-5,32.47,7,2,6,1,0,0,0,2,2,0,0,0,1,5,7
2024-01-02,ORL,GSW,1,-6,28.7,7,3,6,2,0,0,0,2,2,0,0,0,1,8,3
2024-01-03,ORL,SAC,1,-3,11.55,4,2,3,1,0,1,0,1,1,1,0,1,2,5,-8
2024-02-02,ORL,MIN,1,2,17.85,1,1,0,0,0,0,1,2,1,0,0,1,1,2,-4
2024-02-04,ORL,DET,1,12,23.92,9,4,5,2,0,0,0,1,1,0,1,2,3,10,1
2024-02-06,ORL,MIA,1,-26,19.27,6,3,3,0,1,1,1,1,1,1,0,0,1,7,-17
2024-02-08,ORL,SAS,0,16,19.37,5,2,3,1,0,0,0,0,4,2,2,0,2,5,-2
2024-02-10,ORL,CHI,0,6,22.33,5,1,2,0,0,0,2,2,0,0,0,0,1,2,13
2024-02-13,ORL,OKC,0,-14,24.75,3,2,3,2,0,0,1,2,1,1,2,1,2,6,-8
2024-02-22,ORL,CLE,1,7,28.93,4,2,2,2,2,2,0,0,3,3,0,1,3,8,-10
2024-02-24,ORL,DET,1,3,25.37,6,4,5,4,0,1,0,3,0,1,0,0,3,12,-2
2024-02-27,ORL,BRK,0,27,21.48,6,3,4,2,0,0,0,2,2,0,0,0,1,8,23
2024-02-29,ORL,UTA,0,8,23.87,8,5,6,3,0,0,0,4,1,1,1,0,0,13,-1
2024-03-03,ORL,DET,0,22,29.33,5,3,4,2,0,0,0,2,4,2,0,0,1,8,29
2024-03-05,ORL,CHO,1,12,21.68,4,3,2,2,1,2,0,0,0,3,0,1,3,9,6
2024-03-08,ORL,NYK,1,-24,24.42,5,2,3,1,0,0,0,1,1,0,0,1,0,5,-20
2024-03-10,ORL,IND,0,-14,27.83,3,2,2,1,0,0,0,1,1,0,0,2,3,5,-21
2024-03-13,ORL,BRK,0,8,29.83,8,4,5,2,3,4,0,2,1,1,1,0,0,13,17
2024-03-15,ORL,TOR,1,10,25.02,7,2,5,2,0,0,0,1,0,0,1,0,3,6,5
2024-03-17,ORL,TOR,0,15,26.63,9,3,7,1,0,1,1,2,1,1,0,0,1,7,23
2024-03-19,ORL,CHO,0,20,16.88,2,1,2,1,0,0,0,1,0,0,0,2,0,3,-1
2024-03-21,ORL,NOP,0,15,12.22,3,2,2,1,0,0,1,1,0,0,0,1,1,5,-14
2024-03-29,ORL,LAC,0,-3,23.55,6,3,3,1,1,1,1,2,0,1,0,1,2,8,-10
2024-04-01,ORL,POR,0,1,34.65,10,5,6,2,2,2,0,4,2,1,0,1,3,14,9
2024-04-03,ORL,NOP,1,9,30.18,3,0,3,0,0,0,1,2,2,0,0,1,4,0,0
2024-04-05,ORL,CHO,1,-9,28.67,8,4,8,4,0,0,1,3,6,2,0,0,0,12,-5
2024-04-07,ORL,CHI,0,15,32.98,2,0,1,0,0,0,0,1,1,3,0,0,0,0,29
2024-04-09,ORL,HOU,1,-12,30.62,3,2,2,2,0,0,1,5,2,1,0,0,2,6,-9
2024-04-12,ORL,PHI,1,-12,32.33,8,1,5,1,0,0,0,0,0,1,1,1,1,3,-10
2024-04-14,ORL,MIL,0,25,27.78,4,1,4,1,0,0,0,0,2,1,0,1,3,3,12
