Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-11-05,CHO,DAL,1,-6,3.32,0,0,0,0,0,0,0,0,0,0,0,1,3,0,-4
2023-11-08,CHO,WAS,0,-16,10.02,0,0,0,0,0,0,0,1,0,1,0,2,0,0,-8
2023-11-12,CHO,NYK,1,-22,17.47,4,2,0,0,0,0,1,5,2,2,0,0,1,4,-9
2023-11-14,CHO,MIA,0,-6,18.8,3,1,0,0,0,0,1,2,3,0,0,3,1,2,-11
2023-11-17,CHO,MIL,0,-31,22.52,7,4,0,0,0,0,0,2,2,0,1,1,0,8,-6
2023-11-18,CHO,NYK,0,-14,17.43,6,3,2,1,0,0,0,3,4,0,0,0,1,7,0
2023-11-20,CHO,BOS,0,3,20.35,4,3,0,0,0,0,0,2,3,0,0,1,0,6,-12
2023-11-22,CHO,WAS,0,3,20.18,1,0,0,0,0,0,0,0,4,1,0,1,1,0,14
2023-11-26,CHO,ORL,1,-13,17.17,3,2,0,0,0,0,0,2,4,1,0,1,2,4,-13
2023-11-28,CHO,NYK,1,-24,14.4,3,2,0,0,0,0,0,1,1,0,0,3,1,4,-17
2023-11-30,CHO,BRK,1,1,12.77,0,0,0,0,0,0,1,1,0,0,0,2,4,0,-2
2023-12-02,CHO,MIN,0,-6,16.38,3,3,0,0,0,0,1,4,5,0,0,0,0,6,3
2023-12-06,CHO,CHI,1,-11,13.9,0,0,0,0,0,0,0,1,3,0,0,2,1,0,-6
2023-12-08,CHO,TOR,0,3,14.25,1,1,0,0,0,0,0,0,4,0,0,1,0,2,1
2023-12-11,CHO,MIA,0,-2,14.68,4,2,1,1,0,0,0,0,3,1,0,2,0,5,-3
2023-12-13,CHO,MIA,1,-11,17.13,5,3,1,0,0,0,0,2,4,0,0,3,3,6,-5
2023-12-15,CHO,NOP,0,-5,15.2,2,0,0,0,0,0,1,1,2,0,0,0,0,0,10
2023-12-16,CHO,PHI,0,-53,18.27,7,3,0,0,0,0,0,1,4,1,0,0,0,6,-7
2023-12-18,CHO,TOR,1,-15,22.92,10,4,0,0,0,0,0,0,1,0,1,1,1,8,-21
2023-12-20,CHO,IND,1,-31,15.75,3,2,0,0,0,0,0,0,6,0,0,1,1,4,-5
2023-12-23,CHO,DEN,0,-7,26.48,4,1,0,0,2,2,1,3,8,0,0,2,2,4,-12
2023-12-26,CHO,LAC,1,-9,15.85,4,2,0,0,0,0,0,1,4,0,0,1,1,4,0
2023-12-28,CHO,LAL,1,-21,14.02,4,3,0,0,0,0,0,3,4,0,0,1,1,6,-6
2023-12-29,CHO,PHO,1,-14,12.58,1,0,0,0,0,0,0,1,6,0,0,0,1,0,-13
2024-01-01,CHO,DEN,1,-18,29.07,12,5,0,0,0,0,1,3,4,0,0,4,2,10,-28
2024-01-02,CHO,SAC,1,7,18.25,4,2,0,0,0,0,1,6,4,1,0,4,1,4,13
2024-01-05,CHO,CHI,1,-13,16.17,9,3,2,0,0,0,1,2,4,1,0,0,1,6,-8
2024-01-08,CHO,CHI,0,-7,15.35,4,1,0,0,0,0,0,0,1,0,0,0,1,2,1
2024-01-10,CHO,SAC,0,-25,16.02,3,1,0,0,0,0,0,1,0,0,0,0,1,2,-5
2024-01-12,CHO,SAS,1,-36,21.55,4,0,0,0,0,0,0,2,6,1,0,2,0,0,-14
2024-01-14,CHO,MIA,1,-17,12.47,1,0,0,0,1,2,1,2,0,0,0,0,0,1,-6
2024-01-17,CHO,NOP,1,-20,10.83,1,1,0,0,0,0,0,1,2,0,1,0,0,2,-9
2024-01-20,CHO,PHI,0,-8,18.77,4,1,0,0,0,0,0,2,5,0,0,2,0,2,4
2024-01-22,CHO,MIN,1,3,10.67,3,3,0,0,0,0,0,1,1,2,0,0,2,6,-6
2024-01-24,CHO,DET,1,-7,12.7,1,1,0,0,0,0,1,4,5,0,1,0,0,2,16
2024-01-26,CHO,HOU,0,-34,19.8,3,0,0,0,0,0,0,5,2,0,0,1,3,0,-24
2024-01-27,CHO,UTA,0,-12,28.68,5,0,0,0,0,0,0,3,12,1,0,0,3,0,-11
2024-01-29,CHO,NYK,0,-21,11.18,1,0,0,0,0,0,0,0,3,0,0,0,1,0,-11
2024-01-31,CHO,CHI,0,-7,15.93,3,1,1,1,0,0,0,0,2,0,0,0,2,3,-1
2024-02-02,CHO,OKC,1,-20,15.65,4,1,0,0,0,0,0,1,3,1,0,1,1,2,-18
2024-02-04,CHO,IND,0,-16,25.9,3,1,1,1,0,0,0,3,4,0,0,2,3,3,-30
2024-02-05,CHO,LAL,0,-6,34.18,9,4,0,0,0,0,0,2,6,2,0,2,2,8,-10
2024-02-07,CHO,TOR,0,-6,15.83,5,0,0,0,0,0,0,2,4,1,0,0,1,0,-1
