Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-25,LAC,POR,0,12,25.6,10,8,0,0,4,5,5,12,0,0,4,2,3,20,25
2023-10-27,LAC,UTA,1,-2,19.43,6,3,0,0,0,2,0,2,0,0,2,1,2,6,1
2023-10-29,LAC,SAS,0,40,22.48,7,6,0,0,4,6,2,8,0,0,1,1,4,16,23
2023-10-31,LAC,ORL,0,16,22.68,8,4,0,0,1,2,2,9,1,0,1,1,1,9,19
2023-11-01,LAC,LAL,1,-5,29.1,8,3,0,0,1,2,2,9,0,0,0,1,5,7,-6
2023-11-06,LAC,NYK,1,-14,29.88,3,3,0,0,2,4,4,7,0,1,2,5,3,8,-18
2023-11-08,LAC,BRK,1,-7,29.33,9,5,0,0,0,0,3,10,1,0,3,1,5,10,-11
2023-11-10,LAC,DAL,1,-18,22.03,9,5,0,0,2,4,5,8,1,0,2,1,3,12,1
2023-11-12,LAC,MEM,0,-4,23.48,4,2,0,0,2,2,0,6,1,1,0,1,3,6,-5
2023-11-14,LAC,DEN,1,-3,26.4,8,2,0,0,5,6,7,13,3,0,1,0,4,9,-3
2023-11-17,LAC,HOU,0,6,34.85,8,6,0,0,0,2,3,7,2,0,2,1,2,12,12
2023-11-20,LAC,SAS,1,25,22.27,5,3,0,0,2,2,2,11,0,0,1,1,0,8,4
2023-11-22,LAC,SAS,1,7,25.9,7,5,0,0,2,2,2,8,1,0,0,0,2,12,-4
2023-11-24,LAC,NOP,0,-10,21.55,6,5,0,0,1,1,3,5,0,0,1,4,4,11,-18
2023-11-25,LAC,DAL,0,19,23.12,8,5,0,0,1,5,4,14,1,0,0,1,1,11,18
2023-11-27,LAC,DEN,0,-9,32.17,15,9,0,0,5,8,8,14,1,0,1,1,2,23,-6
2023-11-29,LAC,SAC,1,14,30.43,12,7,0,0,0,0,3,8,3,0,3,0,1,14,23
2023-11-30,LAC,GSW,1,-6,26.68,11,7,0,0,4,5,4,13,0,0,1,0,1,18,7
2023-12-02,LAC,GSW,0,1,22.67,6,6,0,0,0,0,1,7,1,0,3,3,4,12,1
2023-12-06,LAC,DEN,0,9,26.72,7,4,0,0,2,6,2,9,0,2,1,0,3,10,-6
2023-12-08,LAC,UTA,1,14,42.27,15,9,0,0,0,0,5,12,3,0,2,1,5,18,13
2023-12-11,LAC,POR,0,5,33.43,13,9,0,0,0,0,3,6,2,0,2,0,2,18,2
2023-12-12,LAC,SAC,0,20,22.78,5,3,0,0,0,1,0,9,0,0,0,1,4,6,17
2023-12-14,LAC,GSW,0,8,30.3,10,5,0,0,0,0,3,8,2,0,2,3,5,10,-3
2023-12-16,LAC,NYK,0,22,27.58,9,5,0,0,3,4,4,11,2,1,2,0,2,13,29
2023-12-18,LAC,IND,1,24,26.0,10,7,0,0,4,5,4,16,3,0,3,0,2,18,27
2023-12-20,LAC,DAL,1,9,24.93,6,5,0,0,2,2,2,9,0,1,0,1,2,12,0
2023-12-21,LAC,OKC,1,-19,16.93,4,3,0,0,0,0,2,3,3,0,0,0,2,6,-3
2023-12-23,LAC,BOS,0,-37,26.83,9,7,0,0,2,2,5,10,0,0,1,2,3,16,-28
2023-12-26,LAC,CHO,0,9,31.22,11,7,0,0,4,8,5,14,4,1,1,2,3,18,13
2023-12-29,LAC,MEM,0,11,33.42,8,7,0,0,1,1,6,20,1,0,1,2,3,15,9
2024-01-01,LAC,MIA,0,17,28.8,4,3,0,0,0,0,1,12,1,0,0,1,4,6,28
2024-01-03,LAC,PHO,1,9,26.62,4,2,0,0,2,2,1,3,2,0,2,0,5,6,0
2024-01-05,LAC,NOP,1,16,23.42,7,6,0,0,3,4,0,8,2,0,2,1,3,15,18
2024-01-07,LAC,LAL,1,-3,37.48,13,9,0,0,4,4,10,19,1,0,1,2,4,22,1
2024-01-08,LAC,PHO,0,27,27.67,9,8,0,0,3,6,2,8,3,1,1,0,3,19,14
2024-01-10,LAC,TOR,0,6,31.17,8,6,0,0,0,0,5,11,3,0,1,2,2,12,1
2024-01-12,LAC,MEM,1,9,21.95,5,2,0,0,2,2,4,11,0,0,2,0,3,6,6
2024-02-04,LAC,MIA,1,8,18.33,4,2,0,0,0,0,1,3,0,0,0,1,2,4,0
2024-02-07,LAC,NOP,0,-11,21.15,5,5,0,0,2,3,1,8,1,0,0,0,0,12,6
2024-02-10,LAC,DET,0,6,19.78,3,2,0,0,2,2,0,5,1,0,2,0,0,6,-11
2024-02-12,LAC,MIN,0,-21,22.6,5,2,0,0,2,2,5,11,2,0,1,2,4,6,-2
2024-02-14,LAC,GSW,1,5,27.77,7,5,0,0,3,4,1,10,3,2,2,3,1,13,13
2024-02-22,LAC,OKC,1,-22,29.48,12,5,0,0,3,4,4,12,1,0,1,1,4,13,1
2024-02-23,LAC,MEM,1,6,26.78,7,5,0,0,0,0,3,10,2,0,0,0,6,10,6
2024-02-25,LAC,SAC,0,-16,33.02,9,8,0,0,0,0,1,6,2,1,0,4,3,16,-6
2024-03-03,LAC,MIN,1,1,18.8,2,1,0,0,0,0,0,2,1,0,0,1,0,2,-11
2024-03-04,LAC,MIL,1,-7,23.68,4,2,0,0,2,2,4,11,4,0,0,2,3,6,3
2024-03-06,LAC,HOU,1,6,14.77,4,1,0,0,1,2,2,5,1,0,2,1,1,3,-13
2024-03-09,LAC,CHI,0,10,24.92,9,7,0,0,2,2,2,9,2,0,1,1,3,16,18
2024-03-10,LAC,MIL,0,-7,26.18,11,9,0,0,0,0,3,6,1,1,1,1,5,18,-19
2024-03-12,LAC,MIN,0,-18,26.72,5,3,0,0,4,4,3,8,1,0,0,2,2,10,-19
2024-03-14,LAC,CHI,1,15,31.5,3,2,0,0,2,2,2,8,2,0,0,2,1,6,23
2024-03-15,LAC,NOP,1,-8,32.73,7,4,0,0,1,2,2,11,2,1,1,1,3,9,-12
2024-03-17,LAC,ATL,0,-17,23.25,1,1,0,0,4,4,4,6,1,0,1,1,2,6,-20
2024-03-20,LAC,POR,1,13,23.95,9,7,0,0,0,0,4,9,2,4,2,1,2,14,12
2024-03-22,LAC,POR,1,8,17.93,3,3,0,0,0,0,1,8,0,1,1,3,5,6,14
2024-03-24,LAC,PHI,0,-14,29.2,9,5,0,0,3,4,3,10,2,0,4,0,0,13,5
2024-03-25,LAC,IND,0,-17,24.03,8,4,0,0,1,2,4,11,2,0,0,0,2,9,-20
2024-03-27,LAC,PHI,1,1,27.4,7,5,0,0,1,1,1,4,0,1,1,0,3,11,-4
2024-03-29,LAC,ORL,1,3,34.83,10,7,0,0,0,0,4,9,2,0,1,1,2,14,-3
2024-03-31,LAC,CHO,1,12,33.12,8,7,0,0,10,10,2,12,1,0,3,2,4,24,3
2024-04-02,LAC,SAC,1,-14,28.55,14,5,0,0,0,2,4,11,3,1,1,0,3,10,-6
2024-04-04,LAC,DEN,0,2,34.82,11,4,0,0,6,6,1,15,1,1,0,0,4,14,-5
2024-04-05,LAC,UTA,0,29,23.95,6,5,0,0,2,2,2,10,2,1,3,0,4,12,15
2024-04-07,LAC,CLE,0,2,27.38,10,7,0,0,0,0,4,11,1,0,0,3,1,14,-10
2024-04-09,LAC,PHO,1,13,27.93,13,8,0,0,1,1,2,13,2,0,2,3,0,17,17
2024-04-12,LAC,UTA,0,-1,10.32,6,5,0,0,0,0,2,2,0,0,1,0,0,10,8
