Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-25,HOU,ORL,1,-30,15.13,2,2,1,1,0,0,0,2,0,1,1,0,1,5,-11
2023-10-27,HOU,SAS,1,-4,13.9,2,1,1,0,1,1,0,0,0,3,0,1,1,3,-8
2023-10-29,HOU,GSW,0,-11,21.68,6,2,2,0,2,2,2,8,1,2,2,1,2,6,-24
2023-11-01,HOU,CHO,0,9,18.92,5,1,2,1,1,2,1,6,5,0,0,0,4,4,17
2023-11-04,HOU,SAC,0,18,20.73,6,4,3,3,0,0,0,4,1,0,0,0,4,11,4
2023-11-06,HOU,SAC,0,25,20.58,5,3,4,2,0,0,1,4,1,2,0,0,2,8,28
2023-11-08,HOU,LAL,0,34,27.43,10,6,6,2,0,0,1,1,1,0,2,0,3,14,16
2023-11-10,HOU,NOP,0,3,23.97,7,3,4,1,0,0,0,3,2,3,0,0,4,7,1
2023-11-12,HOU,DEN,0,3,20.37,3,1,0,0,1,2,3,6,0,3,0,0,2,3,2
2023-11-17,HOU,LAC,1,-6,8.93,5,3,1,0,0,0,3,4,0,0,0,1,5,6,-9
2023-11-19,HOU,LAL,1,-1,16.17,3,2,0,0,0,0,1,3,2,1,0,0,1,4,6
2023-11-20,HOU,GSW,1,-5,20.95,7,4,2,1,0,0,2,3,1,0,0,1,3,9,-7
2023-11-22,HOU,MEM,0,20,26.1,4,1,3,0,0,0,1,9,4,1,0,0,4,2,26
2023-11-24,HOU,DEN,0,19,15.8,4,2,1,0,0,0,0,3,0,0,1,1,4,4,6
2023-11-28,HOU,DAL,1,-6,11.2,2,1,1,0,3,3,1,2,2,1,0,0,2,5,-3
2023-12-02,HOU,LAL,1,-10,14.17,2,1,0,0,0,0,0,2,0,0,0,0,2,2,-8
2023-12-06,HOU,OKC,0,9,14.48,2,0,1,0,0,0,0,1,0,0,0,2,1,0,3
