Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-11-01,BRK,MIA,1,4,5.58,1,0,0,0,0,0,0,1,0,0,1,0,0,0,-4
2023-11-04,BRK,BOS,0,-10,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2023-12-11,BRK,SAC,1,-13,3.97,1,1,0,0,0,0,1,1,0,0,0,0,0,2,4
2023-12-14,BRK,DEN,1,-23,16.7,3,2,1,1,2,2,1,4,2,0,0,0,0,7,-4
2023-12-16,BRK,GSW,1,-4,10.75,1,1,0,0,0,0,1,1,0,0,0,1,1,2,-5
2023-12-18,BRK,UTA,1,-17,7.62,1,1,1,1,2,2,0,0,0,0,0,1,2,5,4
2023-12-20,BRK,NYK,0,-19,5.9,2,1,1,0,0,0,0,1,2,1,0,0,0,2,-1
2023-12-23,BRK,DET,0,11,5.67,2,1,0,0,0,0,1,2,1,0,0,0,2,2,-4
2023-12-27,BRK,MIL,0,-22,29.85,13,5,3,0,11,11,7,10,2,0,0,1,4,21,-14
2024-01-02,BRK,NOP,1,-27,12.0,8,4,2,0,0,0,4,4,2,1,0,0,0,8,0
2024-01-03,BRK,HOU,1,-11,5.18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-2
2024-02-06,BRK,DAL,0,-12,17.75,7,3,3,2,2,2,1,4,2,1,0,0,1,10,5
2024-02-08,BRK,CLE,0,-23,39.63,8,3,3,2,0,2,0,3,3,1,0,1,2,8,-16
2024-02-10,BRK,SAS,0,20,29.87,4,3,3,2,0,0,2,6,2,0,0,0,4,8,14
2024-02-13,BRK,BOS,0,-8,22.68,4,3,3,3,0,0,1,4,2,0,0,0,1,9,4
2024-02-14,BRK,BOS,1,-50,19.3,5,2,1,0,0,0,0,1,2,0,0,0,0,4,-16
2024-02-22,BRK,TOR,1,-28,4.1,2,1,1,0,0,0,0,0,1,0,0,0,2,2,1
2024-02-24,BRK,MIN,1,-15,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
2024-02-26,BRK,MEM,1,25,7.38,3,1,2,1,0,0,0,0,0,0,0,0,0,3,1
2024-02-27,BRK,ORL,1,-27,23.28,5,2,4,1,0,0,0,3,1,1,0,0,1,5,-7
2024-02-29,BRK,ATL,0,27,24.52,7,2,2,0,2,2,1,5,2,0,0,1,2,6,10
2024-03-02,BRK,ATL,0,12,16.35,3,1,2,1,0,0,2,4,1,0,0,0,3,3,0
2024-03-04,BRK,MEM,0,-4,11.78,1,1,1,1,2,2,2,5,1,0,0,1,2,5,4
2024-03-05,BRK,PHI,0,5,23.33,9,2,4,0,0,0,4,6,2,0,0,0,0,4,5
2024-03-07,BRK,DET,1,-6,9.38,4,1,2,0,0,0,1,1,0,0,0,1,1,2,-17
2024-03-09,BRK,CHO,1,-11,20.23,5,0,3,0,0,0,2,4,1,1,0,2,2,0,-18
2024-03-10,BRK,CLE,1,19,19.02,4,2,2,1,2,2,0,3,1,0,0,2,1,7,11
2024-03-13,BRK,ORL,1,-8,14.48,4,1,2,0,1,2,1,2,2,0,0,0,1,3,-1
2024-03-16,BRK,IND,1,-21,4.52,2,1,0,0,0,0,0,0,0,0,0,0,1,2,-7
2024-03-19,BRK,NOP,0,-13,9.68,4,3,0,0,0,0,1,2,0,0,0,0,1,6,11
2024-03-21,BRK,MIL,1,-7,11.35,3,1,1,0,2,2,2,5,2,0,0,2,0,4,11
2024-03-23,BRK,NYK,1,-12,6.77,2,1,0,0,0,0,0,2,1,0,0,1,1,2,9
2024-03-25,BRK,TOR,1,8,30.37,10,4,4,1,3,3,1,5,2,0,0,0,0,12,8
2024-03-27,BRK,WAS,1,3,8.47,2,1,1,0,0,0,0,0,0,0,0,0,1,2,2
2024-03-29,BRK,CHI,0,17,8.98,1,1,1,1,0,0,0,3,0,0,0,0,1,3,9
2024-03-31,BRK,LAL,0,-12,7.72,2,1,0,0,0,0,1,2,0,0,0,0,0,2,8
2024-04-01,BRK,IND,1,-22,23.9,5,2,3,1,1,2,0,1,1,0,0,1,1,6,-7
2024-04-03,BRK,IND,0,4,10.35,1,1,0,0,2,2,1,4,0,0,0,0,1,4,-9
2024-04-06,BRK,DET,0,10,18.05,5,3,3,2,2,4,2,4,1,1,0,1,1,10,18
2024-04-07,BRK,SAC,0,-30,32.18,9,4,4,1,2,4,0,6,3,1,1,3,1,11,-10
2024-04-10,BRK,TOR,0,4,19.5,3,1,2,0,0,0,2,6,2,0,0,0,2,2,3
2024-04-12,BRK,NYK,1,-4,32.53,10,4,4,1,2,2,3,7,0,1,0,0,2,11,9
2024-04-14,BRK,PHI,1,-21,32.25,13,4,5,1,0,0,2,9,1,1,2,0,3,9,-14
