Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-25,MEM,NOP,0,-7,35.72,9,2,5,0,4,4,1,5,3,0,5,3,5,8,-1
2023-10-27,MEM,DEN,0,-4,28.45,13,9,2,2,1,2,2,9,2,0,3,0,5,21,-1
2023-10-28,MEM,WAS,1,-7,31.13,12,4,4,2,6,6,0,5,2,1,1,1,4,16,5
2023-10-30,MEM,DAL,0,-15,33.92,20,10,6,3,7,9,2,9,4,0,2,1,3,30,-25
2023-11-01,MEM,UTA,1,-24,26.2,17,5,8,1,8,8,3,8,2,0,1,2,3,19,-25
2023-11-03,MEM,POR,1,-2,37.7,17,11,8,5,3,6,2,10,3,1,3,4,1,30,3
2023-11-05,MEM,POR,1,12,36.87,18,11,4,1,4,6,3,7,2,1,1,2,1,27,11
2023-11-08,MEM,MIA,0,-6,33.03,18,9,8,2,8,10,2,4,2,0,1,1,5,28,-5
2023-11-10,MEM,UTA,0,-6,23.35,13,7,2,0,0,0,2,4,2,0,0,2,2,14,-11
2023-11-12,MEM,LAC,1,4,29.32,15,3,3,0,6,6,0,4,1,1,1,3,4,12,-3
2023-11-14,MEM,LAL,1,-27,22.1,16,3,6,2,0,0,2,2,2,0,1,1,2,8,-16
2023-11-18,MEM,SAS,1,12,26.77,20,7,8,2,11,12,3,5,0,1,1,2,3,27,10
2023-11-19,MEM,BOS,0,-2,34.12,12,5,3,1,6,7,2,8,1,1,1,2,5,17,-1
2023-11-22,MEM,HOU,1,-20,36.87,21,7,4,0,9,12,1,7,0,1,1,2,4,23,-20
2023-11-24,MEM,PHO,0,-21,28.83,13,5,4,1,2,4,4,7,2,1,0,3,5,13,-12
2023-11-26,MEM,MIN,0,-22,36.6,14,4,6,2,8,10,0,4,3,1,3,2,3,18,-9
2023-11-29,MEM,UTA,0,14,34.67,19,8,3,0,4,4,3,6,1,1,6,1,2,20,14
2023-12-01,MEM,DAL,1,14,13.57,8,2,3,0,0,0,1,4,2,0,2,1,5,4,0
2023-12-02,MEM,PHO,1,-7,35.45,21,13,5,2,9,10,1,9,2,1,1,4,4,37,-7
2023-12-06,MEM,DET,1,14,35.0,20,10,6,2,2,3,0,4,0,0,3,0,3,24,15
2023-12-08,MEM,MIN,0,-24,28.92,14,7,4,3,4,4,1,2,1,1,1,2,5,21,-19
2023-12-11,MEM,DAL,0,-7,41.85,29,15,10,6,5,5,0,4,2,2,2,2,3,41,-2
2023-12-13,MEM,HOU,1,-13,39.98,24,15,8,3,11,13,1,7,2,4,1,3,4,44,-1
2023-12-15,MEM,HOU,0,-7,32.63,23,8,7,0,6,7,1,3,2,0,4,1,5,22,-6
2023-12-18,MEM,OKC,1,-19,25.22,7,3,4,1,4,5,0,5,1,1,0,2,3,11,-15
2023-12-19,MEM,NOP,1,2,29.63,10,6,3,1,11,15,1,6,0,0,3,2,4,24,-2
2023-12-21,MEM,IND,0,13,33.33,10,8,4,2,3,3,2,8,1,1,0,7,4,21,-8
2023-12-23,MEM,ATL,1,6,23.87,10,8,2,1,3,4,2,2,0,0,0,2,5,20,0
2023-12-26,MEM,NOP,1,1,39.47,11,5,3,0,9,10,1,10,1,1,1,3,5,19,6
2023-12-28,MEM,DEN,1,-37,27.82,15,5,3,1,3,4,1,4,2,2,0,0,1,14,-11
2023-12-29,MEM,LAC,1,-11,37.0,17,8,6,4,2,2,0,2,4,2,2,1,5,22,-11
2023-12-31,MEM,SAC,0,-31,28.53,14,6,4,1,5,6,0,3,1,1,0,0,3,18,-13
2024-01-02,MEM,SAS,0,8,32.02,14,3,4,1,3,4,1,7,1,3,4,1,4,10,2
2024-01-03,MEM,TOR,0,-5,36.73,18,7,8,4,6,6,1,4,0,1,4,3,1,24,5
2024-01-05,MEM,LAL,1,14,29.5,14,11,6,5,4,4,0,9,1,0,3,3,5,31,1
2024-01-07,MEM,PHO,1,6,31.8,20,11,8,3,3,4,1,10,6,0,1,2,5,28,25
2024-01-12,MEM,LAC,0,-9,29.62,20,6,8,1,8,10,2,6,1,1,1,1,1,21,-14
2024-01-15,MEM,GSW,0,9,33.3,20,4,14,3,7,8,0,5,5,4,1,1,1,18,-9
2024-01-18,MEM,MIN,1,-15,27.15,23,15,6,3,3,5,1,3,1,0,1,3,5,36,-10
2024-01-20,MEM,CHI,1,-29,33.1,18,8,7,1,9,9,1,6,5,1,0,2,3,26,-5
2024-01-22,MEM,TOR,1,8,32.38,22,12,5,2,1,3,3,4,5,6,1,4,4,27,0
2024-01-24,MEM,MIA,1,9,35.45,21,5,7,1,4,5,0,6,3,1,1,5,1,15,11
