Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-11-08,NOP,MIN,1,-21,27.98,7,3,2,1,4,4,3,9,1,0,0,2,2,11,-18
2023-11-10,NOP,HOU,1,-3,9.1,2,2,1,1,0,0,0,0,0,0,0,0,1,5,-7
2023-11-12,NOP,DAL,0,-12,25.77,8,4,5,3,0,0,1,6,1,1,0,1,2,11,5
2023-11-14,NOP,DAL,0,21,13.13,1,1,1,1,0,0,1,2,2,1,0,3,2,3,2
2023-11-17,NOP,DEN,0,5,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-18,NOP,MIN,0,-1,10.08,3,2,1,0,0,0,0,0,0,0,0,0,1,4,-5
2023-11-20,NOP,SAC,0,36,11.52,4,1,1,0,2,2,3,5,1,0,0,0,1,4,-12
2023-12-02,NOP,CHI,1,-6,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-07,NOP,LAL,1,-44,6.38,2,0,0,0,0,0,0,2,1,0,0,0,0,0,-3
2023-12-13,NOP,WAS,1,20,2.43,2,1,0,0,0,0,2,2,0,0,0,0,0,2,-2
2023-12-17,NOP,SAS,1,36,4.4,2,2,0,0,0,0,0,1,0,0,0,0,0,4,-1
2023-12-21,NOP,CLE,1,19,20.02,6,5,2,1,0,0,0,5,1,0,0,0,1,11,22
2023-12-23,NOP,HOU,0,-2,21.78,5,2,3,0,0,0,0,3,2,2,1,0,2,4,-8
2024-01-02,NOP,BRK,0,27,4.02,1,0,0,0,0,0,1,5,0,0,0,1,0,0,1
2024-01-07,NOP,SAC,1,33,10.03,4,3,2,1,0,0,0,0,0,0,1,1,1,7,-14
2024-01-10,NOP,GSW,1,36,6.05,0,0,0,0,0,0,0,1,0,0,1,0,0,0,-5
2024-01-13,NOP,DAL,1,10,22.13,4,1,1,0,0,0,0,4,0,2,0,1,1,2,10
2024-01-26,NOP,OKC,0,-24,3.45,3,1,1,0,0,0,0,0,0,1,0,0,0,2,-1
2024-01-27,NOP,MIL,1,-24,6.8,3,2,1,0,4,5,3,3,0,0,0,0,0,8,5
2024-02-07,NOP,LAC,1,11,2.28,1,0,1,0,0,0,1,1,1,0,0,0,1,0,-2
2024-02-09,NOP,LAL,1,-17,2.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2024-02-22,NOP,HOU,0,22,2.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2024-02-23,NOP,MIA,0,-11,23.78,4,2,2,1,0,2,2,6,1,1,0,1,1,5,16
2024-02-25,NOP,CHI,0,-8,11.18,2,1,2,1,0,0,0,0,0,1,1,1,1,3,-21
2024-02-27,NOP,NYK,1,23,2.65,3,2,2,2,0,0,0,1,0,0,0,0,1,6,1
2024-03-01,NOP,IND,0,27,3.83,1,0,1,0,2,2,0,0,0,0,0,1,0,2,-5
2024-03-05,NOP,TOR,1,41,7.47,2,0,0,0,0,0,0,2,0,0,0,0,0,0,5
2024-03-13,NOP,CLE,0,-21,4.63,1,0,1,0,0,0,1,1,2,0,0,0,0,0,3
2024-03-16,NOP,POR,0,19,20.88,7,3,2,0,0,0,3,5,6,1,0,0,3,6,17
2024-03-21,NOP,ORL,1,-15,12.0,5,3,1,0,0,0,0,1,1,0,0,0,1,6,5
2024-03-22,NOP,MIA,1,23,3.17,1,1,0,0,0,0,0,0,0,0,0,0,0,2,-1
2024-03-24,NOP,DET,1,13,1.4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-2
2024-03-26,NOP,OKC,0,-7,4.95,1,0,1,0,0,0,0,3,0,0,0,1,0,0,7
2024-04-03,NOP,ORL,0,-9,12.32,3,0,3,0,0,0,1,4,1,0,0,2,1,0,1
2024-04-07,NOP,PHO,1,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-09,NOP,POR,1,10,2.33,1,1,0,0,0,0,0,0,0,0,0,0,0,2,-10
2024-04-11,NOP,SAC,1,12,1.93,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-8
2024-04-12,NOP,GSW,1,5,7.23,3,1,2,1,0,0,0,1,0,0,0,0,0,3,-1
2024-04-14,NOP,LAL,0,-16,2.07,2,1,0,0,0,1,1,2,0,0,0,0,0,2,5
