Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-25,SAS,DAL,0,-7,28.68,12,4,4,2,3,6,3,8,5,1,0,3,4,13,-10
2023-10-27,SAS,HOU,0,4,26.38,9,5,1,0,4,4,1,5,4,2,0,2,3,14,-8
2023-10-29,SAS,LAC,1,-40,22.48,2,0,2,0,0,0,2,4,3,1,1,4,3,0,-30
2023-10-31,SAS,PHO,1,1,30.25,8,3,1,0,2,3,1,7,5,0,0,0,5,8,-7
2023-11-02,SAS,PHO,1,11,26.38,13,7,0,0,0,0,1,5,9,0,1,1,4,14,0
2023-11-05,SAS,TOR,0,-7,28.82,8,2,1,0,0,0,1,4,5,3,0,3,1,4,-7
2023-11-06,SAS,IND,1,-41,20.65,9,3,1,0,0,0,1,3,1,0,0,2,2,6,-18
2023-11-08,SAS,NYK,1,-21,29.23,12,7,4,2,0,0,0,6,5,0,0,0,5,16,-19
2023-11-10,SAS,MIN,0,-7,29.7,11,6,1,1,1,2,3,7,5,3,0,6,3,14,-8
2023-11-12,SAS,MIA,0,-5,33.92,9,6,3,2,2,2,1,5,3,0,2,3,4,16,-5
2023-11-14,SAS,OKC,1,-36,27.7,11,4,1,1,0,0,1,3,5,0,0,3,2,9,-31
2023-11-17,SAS,SAC,0,-9,36.8,11,3,3,1,1,2,1,8,6,1,0,2,4,8,-3
2023-11-18,SAS,MEM,0,-12,32.07,8,5,2,1,5,6,2,5,3,2,0,3,3,16,-6
2023-11-20,SAS,LAC,0,-25,29.4,12,3,3,0,2,2,2,8,1,0,0,1,1,8,-12
2023-11-22,SAS,LAC,0,-7,31.55,15,6,5,2,5,6,2,5,7,0,0,1,3,19,5
2023-11-24,SAS,GSW,1,-6,32.97,7,3,2,1,0,0,3,6,4,0,0,2,2,7,1
2023-11-26,SAS,DEN,1,-12,17.17,6,2,1,0,0,0,0,2,3,0,0,3,0,4,-14
2023-11-30,SAS,ATL,0,-2,35.8,14,12,3,3,6,6,3,8,6,1,0,5,5,33,-4
2023-12-01,SAS,NOP,1,-15,31.27,13,4,4,2,3,4,0,3,4,0,0,2,2,13,-9
2023-12-06,SAS,MIN,1,-8,21.95,10,3,2,0,0,0,1,2,0,0,1,1,1,6,-5
2023-12-08,SAS,CHI,0,-9,33.98,6,2,2,0,0,0,0,3,4,0,1,5,3,4,-9
2023-12-11,SAS,HOU,1,-11,35.33,11,3,5,1,0,0,2,6,2,1,0,2,2,7,-8
2023-12-13,SAS,LAL,0,-3,29.28,9,2,4,1,0,2,4,8,5,0,0,3,3,5,-4
2023-12-15,SAS,LAL,0,14,26.95,10,5,3,0,1,1,1,8,2,1,1,1,3,11,21
2023-12-17,SAS,NOP,0,-36,25.48,7,1,0,0,3,4,1,3,4,1,0,0,1,5,-15
2023-12-19,SAS,MIL,1,-13,32.85,11,4,2,0,1,2,3,11,8,1,0,0,3,9,-13
2023-12-21,SAS,CHI,1,-19,33.97,8,4,2,1,0,0,3,7,2,1,0,1,0,9,-12
2023-12-23,SAS,DAL,1,-25,29.88,16,9,6,4,1,2,2,9,4,0,0,3,2,23,-23
2023-12-26,SAS,UTA,0,-12,27.35,10,7,4,3,2,2,2,5,3,0,0,0,2,19,-15
2023-12-28,SAS,POR,1,13,30.57,10,6,2,0,4,5,1,7,3,0,1,2,4,16,17
2023-12-29,SAS,POR,1,-6,28.63,3,0,0,0,2,2,1,4,4,1,0,3,2,2,-15
2023-12-31,SAS,BOS,0,-33,24.2,11,4,4,1,0,0,0,3,5,0,0,1,1,9,-25
2024-01-02,SAS,MEM,1,-8,27.73,6,4,2,1,3,4,0,2,1,0,2,1,1,12,1
2024-01-04,SAS,MIL,0,-4,32.58,11,3,5,1,2,2,2,8,5,2,1,1,1,9,-14
2024-01-07,SAS,CLE,1,-2,27.83,9,4,5,2,1,1,1,5,4,0,0,1,2,11,16
2024-01-10,SAS,DET,1,22,28.37,15,7,2,1,0,0,1,4,2,0,0,1,1,15,12
2024-01-12,SAS,CHO,0,36,25.62,7,5,2,1,2,3,0,6,4,2,1,1,0,13,35
2024-01-13,SAS,CHI,0,-6,31.17,15,4,6,2,1,1,4,7,2,0,0,1,3,11,-10
2024-01-15,SAS,ATL,1,-10,38.08,16,8,4,2,5,5,3,8,4,2,2,4,4,23,-4
2024-01-17,SAS,BOS,1,-19,30.52,9,2,4,1,0,0,3,7,4,3,1,0,2,5,-9
2024-01-19,SAS,CHO,1,-4,34.47,10,5,2,1,0,1,2,8,8,1,1,3,2,11,-8
2024-01-20,SAS,WAS,1,4,28.22,11,8,2,1,6,6,2,4,3,1,2,0,4,23,27
2024-01-22,SAS,PHI,1,-10,33.27,12,5,6,3,1,2,3,8,4,0,1,2,2,14,-6
2024-01-24,SAS,OKC,0,-26,24.3,7,1,3,0,0,0,2,5,4,0,0,2,3,2,-11
2024-01-26,SAS,POR,0,16,31.8,20,12,7,4,3,3,4,14,2,2,0,2,0,31,8
2024-01-27,SAS,MIN,0,1,30.67,9,5,1,0,3,4,2,4,2,0,1,2,0,13,-3
2024-01-29,SAS,WAS,0,-5,26.28,7,1,2,0,0,0,2,5,1,1,0,0,2,2,-4
2024-01-31,SAS,ORL,0,-10,33.02,13,8,3,1,1,1,4,12,2,0,2,5,5,18,1
2024-02-02,SAS,NOP,0,-1,30.53,12,6,4,0,3,6,7,16,3,2,0,3,4,15,11
2024-02-03,SAS,CLE,0,-16,29.22,9,1,5,0,0,0,4,9,2,0,1,1,1,2,-13
2024-02-07,SAS,MIA,1,-12,28.8,7,3,2,0,0,0,0,5,3,1,0,2,2,6,-11
2024-02-08,SAS,ORL,1,-16,28.17,9,4,4,1,0,0,0,2,1,0,0,2,1,9,-26
2024-02-10,SAS,BRK,1,-20,29.2,9,4,2,0,0,0,1,5,3,1,0,0,0,8,-4
2024-02-12,SAS,TOR,1,23,30.05,12,7,2,0,2,2,0,6,0,1,2,2,2,16,13
2024-02-14,SAS,DAL,1,-23,24.98,10,4,2,1,1,2,3,4,1,3,0,2,2,10,-22
2024-02-22,SAS,SAC,1,-5,35.95,15,7,1,1,1,2,1,8,2,2,0,2,1,16,-1
2024-02-23,SAS,LAL,1,-5,34.37,16,7,6,1,0,0,7,13,5,2,0,3,3,15,-10
2024-02-25,SAS,UTA,1,-19,29.15,5,0,1,0,1,2,0,4,3,1,1,0,2,1,-21
2024-02-27,SAS,MIN,1,-9,15.98,2,0,1,0,0,0,0,0,1,0,0,0,1,0,-1
2024-02-29,SAS,OKC,0,14,31.98,14,8,6,3,2,2,2,10,0,0,0,1,4,21,10
2024-03-03,SAS,IND,0,12,34.03,8,6,0,0,0,0,2,8,4,0,1,1,2,12,11
2024-03-05,SAS,HOU,1,-13,33.6,14,5,6,1,4,4,3,8,3,0,0,2,2,15,-17
2024-03-07,SAS,SAC,1,-2,35.8,10,3,3,0,3,3,2,8,2,1,2,2,5,9,10
2024-03-09,SAS,GSW,1,13,24.38,14,7,4,2,4,6,0,5,1,0,1,3,5,20,7
2024-03-11,SAS,GSW,0,-10,28.2,10,4,2,1,0,0,1,7,7,1,2,1,2,9,-3
2024-03-12,SAS,HOU,0,-2,32.17,14,9,6,2,1,1,2,8,2,1,1,2,3,21,1
2024-03-15,SAS,DEN,0,-11,28.42,16,8,3,1,2,3,4,6,4,1,0,3,1,19,-1
