Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-24,GSW,PHO,0,-4,20.13,8,4,0,0,4,6,3,6,1,2,1,2,5,12,4
2023-10-27,GSW,SAC,1,8,25.98,11,5,3,1,1,2,1,5,0,0,0,2,3,12,9
2023-10-29,GSW,HOU,1,11,18.8,8,3,3,1,2,3,0,2,1,1,0,3,4,9,4
2023-11-01,GSW,SAC,0,1,17.12,9,4,2,1,3,3,0,1,1,1,0,0,2,12,3
2023-11-03,GSW,OKC,1,2,21.8,15,9,2,0,1,2,1,2,1,0,0,3,2,19,3
2023-11-05,GSW,CLE,1,-11,19.55,14,5,4,1,4,5,1,3,0,0,2,1,2,15,-9
2023-11-06,GSW,DET,1,11,18.68,8,2,3,0,6,8,0,1,0,1,1,1,3,10,0
2023-11-08,GSW,DEN,1,-3,18.82,12,4,1,0,2,2,2,4,2,0,0,0,1,10,9
2023-11-11,GSW,CLE,0,-8,20.65,7,2,1,0,8,11,0,3,0,0,0,0,4,12,-1
2023-11-12,GSW,MIN,0,-6,23.58,11,2,3,0,6,7,2,3,0,2,0,0,2,10,5
2023-11-14,GSW,MIN,0,-3,15.97,3,2,1,0,1,2,1,2,1,0,0,1,2,5,-1
2023-11-16,GSW,OKC,0,-19,26.67,13,8,4,1,4,5,0,6,2,0,1,4,0,21,-11
2023-11-18,GSW,OKC,0,-7,20.35,10,6,2,0,1,2,2,5,2,1,1,3,2,13,-18
2023-11-20,GSW,HOU,0,5,18.1,7,3,3,1,0,2,0,3,1,0,0,1,3,7,8
2023-11-22,GSW,PHO,1,-8,20.85,7,3,1,0,1,2,0,1,2,1,0,0,5,7,-1
2023-11-24,GSW,SAS,0,6,20.23,7,5,2,1,1,2,0,1,2,0,0,1,0,12,-1
2023-11-28,GSW,SAC,1,-1,9.57,3,0,1,0,0,0,0,1,0,0,0,2,3,0,4
2023-11-30,GSW,LAC,0,6,23.32,8,6,5,3,2,4,1,6,3,1,1,1,0,17,13
2023-12-02,GSW,LAC,1,-1,15.68,6,2,3,1,1,2,0,2,0,0,0,1,0,6,5
2023-12-06,GSW,POR,0,4,16.72,6,6,0,0,1,2,0,1,1,2,0,0,2,13,13
2023-12-08,GSW,OKC,1,-2,28.9,21,10,6,3,1,1,6,12,0,0,0,3,6,24,-15
2023-12-12,GSW,PHO,1,-3,28.5,10,6,3,1,3,7,2,6,0,1,0,1,4,16,13
2023-12-14,GSW,LAC,1,-8,24.7,10,5,3,2,3,3,0,5,1,1,0,1,4,15,5
2023-12-16,GSW,BRK,0,4,20.87,6,3,0,0,4,4,2,4,2,0,1,1,1,10,4
2023-12-17,GSW,POR,1,4,18.77,7,5,3,2,0,4,2,4,0,1,0,1,3,12,4
2023-12-19,GSW,BOS,0,6,33.93,13,8,4,1,0,2,4,7,2,2,0,1,0,17,3
2023-12-22,GSW,WAS,0,11,27.18,11,9,2,1,3,3,2,4,3,1,0,1,2,22,9
2023-12-23,GSW,POR,0,20,29.75,7,3,2,0,5,5,1,6,5,0,0,0,0,11,18
2023-12-25,GSW,DEN,1,-6,23.03,8,4,1,0,5,8,0,5,2,0,0,1,1,13,-24
2023-12-28,GSW,MIA,0,-12,23.57,11,5,3,0,0,0,1,5,1,0,0,6,0,10,-26
2023-12-30,GSW,DAL,0,-10,25.23,12,6,5,1,3,4,5,9,3,1,0,1,3,16,-9
2024-01-02,GSW,ORL,0,6,34.03,14,7,5,1,4,5,2,6,4,0,2,1,2,19,10
2024-01-04,GSW,DEN,0,-3,18.95,7,5,1,0,6,7,1,4,4,0,0,1,1,16,6
2024-01-05,GSW,DET,0,4,35.63,8,4,1,0,3,3,0,6,1,0,0,4,2,11,16
2024-01-07,GSW,TOR,0,-15,24.9,13,5,5,1,2,2,1,4,4,1,1,1,0,13,-5
2024-01-10,GSW,NOP,0,-36,28.32,7,4,1,0,4,6,0,3,4,0,1,3,3,12,-20
2024-01-12,GSW,CHI,1,9,24.27,12,9,4,4,2,3,0,5,1,1,0,0,2,24,6
2024-01-13,GSW,MIL,1,-11,29.6,18,10,3,2,6,6,0,3,2,1,1,0,2,28,-18
2024-01-15,GSW,MEM,1,-9,29.12,18,9,5,1,1,1,2,11,0,0,0,3,3,20,-9
2024-01-24,GSW,ATL,0,22,28.85,11,11,0,0,3,5,0,9,2,2,2,1,1,25,18
2024-01-25,GSW,SAC,0,-1,30.18,19,12,4,2,5,6,1,3,3,2,0,2,2,31,16
2024-01-27,GSW,LAL,0,-1,43.18,16,8,3,2,4,6,4,9,2,0,0,2,5,22,-9
2024-01-30,GSW,PHI,0,12,39.05,19,11,3,1,3,4,2,7,2,3,1,3,3,26,10
2024-02-02,GSW,MEM,1,20,36.97,15,11,1,1,6,7,1,6,4,2,0,2,3,29,15
2024-02-03,GSW,ATL,1,-7,34.23,12,6,3,1,3,4,2,4,3,1,0,4,6,16,-5
2024-02-05,GSW,BRK,1,11,33.03,18,9,0,0,10,12,2,10,3,1,2,3,0,28,5
2024-02-07,GSW,PHI,1,23,29.18,14,7,3,0,4,6,1,6,5,1,0,1,0,18,22
2024-02-08,GSW,IND,1,22,33.43,16,9,2,0,0,0,1,2,4,0,2,3,1,18,20
2024-02-10,GSW,PHO,0,1,34.25,18,9,1,0,3,5,1,5,2,0,0,1,4,21,-2
2024-02-12,GSW,UTA,1,22,27.1,10,4,1,1,5,6,1,2,0,0,1,3,2,14,-4
2024-02-14,GSW,LAC,0,-5,34.78,13,6,1,0,1,1,5,8,6,0,0,2,2,13,-9
2024-02-15,GSW,UTA,1,3,24.47,6,5,0,0,3,4,1,5,4,0,1,2,1,13,-5
2024-02-22,GSW,LAL,0,18,24.18,12,5,3,1,1,2,1,3,3,1,0,0,2,12,25
2024-02-23,GSW,CHO,0,13,28.38,9,2,2,0,2,2,1,7,6,2,3,3,2,6,15
2024-02-25,GSW,DEN,0,-16,24.68,10,5,1,0,9,13,1,6,3,0,0,1,1,19,-20
2024-02-27,GSW,WAS,1,11,28.18,13,10,0,0,1,2,1,6,5,0,0,1,1,21,10
2024-02-29,GSW,NYK,1,11,30.12,19,12,1,0,1,2,5,8,2,2,2,1,3,25,19
2024-03-01,GSW,TOR,1,15,27.27,19,9,2,0,6,6,2,6,2,0,0,2,1,24,5
2024-03-03,GSW,BOS,1,-52,19.67,9,2,2,0,2,2,0,2,3,0,0,1,1,6,-30
2024-03-06,GSW,MIL,0,35,25.0,14,9,4,2,0,0,1,4,2,2,3,2,2,20,12
2024-03-07,GSW,CHI,0,-3,32.58,11,5,1,0,9,10,3,10,2,1,0,1,4,19,3
2024-03-09,GSW,SAS,0,-13,30.35,17,10,1,0,6,8,0,3,2,1,0,2,4,26,-8
2024-03-11,GSW,SAS,1,10,31.13,18,9,3,2,2,2,0,5,1,1,1,2,4,22,4
2024-03-13,GSW,DAL,1,-10,35.2,17,8,2,2,9,10,1,4,2,1,0,6,2,27,-6
2024-03-16,GSW,LAL,1,7,31.13,16,9,3,2,3,5,0,2,4,0,0,1,5,23,5
2024-03-18,GSW,NYK,0,-7,25.58,13,7,2,0,2,2,0,1,1,1,0,2,2,16,-11
2024-03-20,GSW,MEM,0,21,28.0,17,12,3,2,0,0,0,5,4,2,0,0,3,26,21
2024-03-22,GSW,IND,0,-12,29.65,17,4,3,0,3,4,2,8,2,2,1,3,2,11,-13
2024-03-24,GSW,MIN,1,-4,30.05,11,6,0,0,2,4,0,3,2,1,1,2,3,14,-1
2024-03-26,GSW,MIA,1,21,31.68,13,8,2,0,2,3,3,7,3,0,1,1,3,18,21
2024-04-07,GSW,UTA,0,8,27.23,11,9,2,1,2,2,2,10,4,0,1,2,2,21,-3
2024-04-09,GSW,LAL,1,14,21.42,8,2,3,1,3,4,0,6,3,1,0,0,3,8,10
2024-04-11,GSW,POR,1,8,34.1,11,7,2,1,4,4,2,6,1,1,0,4,4,19,8
2024-04-14,GSW,UTA,0,7,23.23,4,0,0,0,0,0,0,0,7,2,1,0,1,0,-18
