Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-28,MIN,MIA,0,16,6.02,3,1,1,1,0,0,0,0,4,0,0,0,1,3,-4
2023-10-30,MIN,ATL,1,-14,1.18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
2023-11-01,MIN,DEN,0,21,4.2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2
2023-11-04,MIN,UTA,0,28,3.58,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5
2023-11-06,MIN,BOS,0,5,3.85,0,0,0,0,2,2,0,0,0,0,1,0,0,2,3
2023-12-11,MIN,NOP,1,-14,8.38,1,1,1,1,0,0,0,0,1,1,0,0,0,3,1
2023-12-14,MIN,DAL,1,18,1.77,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1
2023-12-16,MIN,IND,0,18,3.43,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-5
2023-12-20,MIN,PHI,1,-14,2.25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-12-23,MIN,SAC,1,12,1.62,0,0,0,0,0,0,0,0,2,0,0,0,0,0,-1
2023-12-26,MIN,OKC,1,-23,14.45,5,1,1,0,0,0,2,4,2,3,0,1,0,2,-8
2024-01-01,MIN,NYK,1,-6,11.62,5,4,2,1,0,0,0,1,3,2,0,0,1,9,13
2024-01-03,MIN,NOP,0,-11,17.37,6,1,4,0,1,2,2,3,4,1,0,0,0,3,5
2024-01-05,MIN,HOU,1,27,12.82,1,1,1,1,0,0,0,3,3,2,0,0,0,3,19
2024-01-07,MIN,DAL,1,-7,13.05,7,2,7,2,0,0,0,1,1,2,1,0,0,6,-4
2024-01-09,MIN,ORL,1,21,15.47,3,2,1,0,0,0,0,0,5,1,0,1,1,4,-8
2024-01-10,MIN,BOS,1,-7,16.73,5,2,3,2,0,0,0,2,0,0,0,0,1,6,-5
2024-01-12,MIN,POR,0,23,12.85,3,1,2,0,0,0,0,0,5,1,0,2,2,2,-9
2024-01-17,MIN,DET,1,7,8.32,1,0,0,0,0,2,0,2,0,0,0,0,1,0,-3
2024-01-18,MIN,MEM,0,15,7.3,0,0,0,0,0,0,0,2,0,1,0,2,0,0,-4
2024-01-20,MIN,OKC,0,-5,12.65,7,3,3,2,0,0,2,2,3,2,0,0,1,8,7
2024-01-22,MIN,CHO,0,-3,10.0,2,0,2,0,0,0,0,2,3,0,1,1,0,0,5
2024-01-24,MIN,WAS,1,11,13.02,4,2,1,1,0,0,1,2,2,1,0,0,1,5,1
2024-01-25,MIN,BRK,1,2,10.57,2,1,0,0,0,0,0,0,1,0,0,1,0,2,7
2024-01-27,MIN,SAS,1,-1,9.12,1,0,1,0,0,0,1,1,1,0,0,1,0,0,-11
2024-01-29,MIN,OKC,1,6,14.0,4,4,2,2,0,0,0,0,1,0,0,1,3,10,1
2024-01-31,MIN,DAL,0,34,13.8,3,0,2,0,0,0,1,3,5,3,0,0,0,0,1
