Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-12-08,WAS,BRK,1,-27,3.93,1,0,1,0,0,0,0,0,1,0,0,0,0,0,-2
2023-12-11,WAS,PHI,1,-45,6.18,4,1,2,0,0,0,1,1,0,0,0,1,1,2,-5
2024-01-13,WAS,ATL,1,28,4.6,3,0,3,0,0,0,0,0,0,0,0,0,2,0,1
2024-01-25,WAS,UTA,0,-15,0.83,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-31,WAS,LAC,0,-16,5.45,1,1,0,0,0,0,1,3,1,0,0,0,1,2,13
2024-02-04,WAS,PHO,0,-28,6.93,2,1,1,1,0,0,0,1,3,1,1,1,0,3,3
2024-02-29,WAS,LAL,1,-3,1.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2024-03-01,WAS,LAC,1,-25,6.52,1,1,1,1,1,2,1,1,0,0,0,0,0,4,-1
2024-03-14,WAS,HOU,1,-16,3.0,4,3,2,1,0,1,0,0,0,0,0,0,2,7,-1
2024-03-16,WAS,CHI,1,-29,3.67,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-8
2024-03-17,WAS,BOS,0,-26,23.82,12,5,4,1,1,1,2,4,1,0,0,2,0,12,-2
2024-03-19,WAS,HOU,0,-23,18.97,11,6,5,3,1,2,2,2,4,0,0,0,2,16,8
2024-03-25,WAS,CHI,1,2,13.35,5,1,2,1,0,0,0,2,1,1,0,0,3,3,-5
2024-03-29,WAS,DET,0,-9,4.6,2,0,2,0,0,0,0,1,0,0,0,0,0,0,-4
2024-03-31,WAS,MIA,0,-12,8.17,2,2,1,1,1,2,0,1,1,0,0,0,0,6,12
2024-04-03,WAS,LAL,0,-5,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
2024-04-07,WAS,TOR,1,-8,4.33,1,0,0,0,0,0,0,1,0,0,0,0,1,0,-1
2024-04-09,WAS,MIN,1,-9,7.85,3,3,0,0,0,0,1,3,0,0,0,2,2,6,0
2024-04-14,WAS,BOS,1,-10,24.3,10,5,4,2,1,1,2,6,3,1,0,2,0,13,8
