Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-25,LAC,POR,0,12,28.72,17,9,5,5,0,0,1,5,6,1,1,4,2,23,25
2023-10-27,LAC,UTA,1,-2,36.75,22,10,10,4,1,3,3,9,5,2,0,1,1,25,9
2023-10-29,LAC,SAS,0,40,27.8,13,6,7,3,6,7,0,3,4,2,0,3,2,21,24
2023-10-31,LAC,ORL,0,16,32.98,11,3,3,0,2,2,2,8,3,2,0,1,1,8,18
2023-11-01,LAC,LAL,1,-5,41.48,28,15,11,5,3,6,1,6,5,2,0,2,2,38,4
2023-11-06,LAC,NYK,1,-14,31.57,16,8,6,2,0,0,2,5,3,0,0,0,2,18,-12
2023-11-08,LAC,BRK,1,-7,35.93,16,7,6,1,2,2,0,6,2,2,1,1,1,17,3
2023-11-10,LAC,DAL,1,-18,29.08,15,8,4,2,8,8,1,3,4,0,0,2,2,26,-8
2023-11-12,LAC,MEM,0,-4,36.85,16,6,4,1,1,2,1,5,3,1,2,0,3,14,-18
2023-11-14,LAC,DEN,1,-3,37.88,14,5,3,2,3,4,0,2,2,5,0,3,1,15,0
2023-11-17,LAC,HOU,0,6,36.83,16,8,6,3,7,8,1,8,2,5,1,3,3,26,18
2023-11-20,LAC,SAS,1,25,28.07,17,8,6,2,3,3,2,4,3,1,1,0,0,21,17
2023-11-22,LAC,SAS,1,7,35.78,17,10,6,2,4,4,0,4,4,2,0,1,3,26,-2
2023-11-24,LAC,NOP,0,-10,34.23,17,8,7,1,3,4,1,8,3,1,1,1,0,20,-15
2023-11-25,LAC,DAL,0,19,29.23,12,2,5,0,4,4,0,6,3,0,2,2,1,8,24
2023-11-27,LAC,DEN,0,-9,39.0,26,10,5,2,9,9,1,8,3,1,2,2,0,31,-5
2023-11-29,LAC,SAC,1,14,36.77,18,14,3,2,4,6,0,9,3,1,2,0,2,34,20
2023-11-30,LAC,GSW,1,-6,35.3,17,9,2,2,3,4,1,7,0,2,0,0,2,23,2
2023-12-02,LAC,GSW,0,1,38.75,16,9,5,2,0,0,0,8,7,1,0,3,2,20,8
2023-12-06,LAC,DEN,0,9,37.68,16,8,3,1,0,0,1,4,5,1,1,2,2,17,-8
2023-12-08,LAC,UTA,1,14,38.13,23,14,8,6,7,7,3,5,5,0,1,2,1,41,18
2023-12-11,LAC,POR,0,5,38.53,19,11,8,3,9,9,0,6,5,3,0,1,2,34,13
2023-12-12,LAC,SAC,0,20,31.27,14,11,3,2,7,7,0,4,3,1,1,1,0,31,21
2023-12-14,LAC,GSW,0,8,39.37,16,9,4,2,7,9,3,8,2,1,1,2,2,27,-1
2023-12-16,LAC,NYK,0,22,30.23,16,12,6,5,7,7,1,7,4,2,0,0,1,36,15
2023-12-18,LAC,IND,1,24,26.63,18,12,5,2,2,2,1,2,1,1,0,3,2,28,27
2023-12-20,LAC,DAL,1,9,37.48,22,12,6,1,5,5,3,10,5,1,1,0,0,30,7
2024-01-01,LAC,MIA,0,17,33.7,19,10,5,2,2,3,1,6,5,4,1,2,0,24,24
2024-01-03,LAC,PHO,1,9,40.12,16,9,6,4,8,8,2,8,3,2,2,2,1,30,11
2024-01-05,LAC,NOP,1,16,29.58,15,7,4,2,3,4,2,9,2,1,1,2,1,19,6
2024-01-07,LAC,LAL,1,-3,34.7,17,6,7,2,1,2,0,8,2,3,2,3,4,15,4
2024-01-08,LAC,PHO,0,27,32.45,15,8,3,1,0,0,0,3,2,5,1,3,1,17,11
2024-01-10,LAC,TOR,0,6,37.75,18,10,4,2,7,7,2,3,7,1,2,0,3,29,-5
2024-01-12,LAC,MEM,1,9,28.68,16,10,5,2,0,0,0,7,4,2,2,1,3,22,11
2024-01-14,LAC,MIN,1,-4,37.43,19,9,3,2,6,6,0,9,4,2,0,1,4,26,-13
2024-01-16,LAC,OKC,0,11,36.7,10,6,4,3,1,2,1,6,6,0,1,3,0,16,19
2024-01-21,LAC,BRK,0,11,36.78,15,6,3,2,7,8,1,4,4,0,1,2,2,21,15
2024-01-23,LAC,LAL,0,11,38.08,16,11,1,0,3,3,2,11,10,2,1,2,0,25,15
2024-01-26,LAC,TOR,1,20,30.5,13,7,4,2,0,0,1,7,3,1,2,1,0,16,11
2024-01-27,LAC,BOS,1,19,29.02,15,10,5,3,3,3,1,7,2,2,2,2,1,26,27
2024-01-29,LAC,CLE,1,-10,36.88,25,13,7,2,2,2,3,8,3,2,0,1,2,30,-9
2024-01-31,LAC,WAS,1,16,29.9,25,14,4,1,2,2,4,9,4,4,1,0,1,31,23
2024-02-02,LAC,DET,1,11,31.97,17,12,8,6,3,3,0,4,3,0,1,0,2,33,18
2024-02-04,LAC,MIA,1,8,34.83,16,8,6,3,6,6,3,11,4,2,2,3,2,25,-6
2024-02-05,LAC,ATL,1,5,37.22,20,13,8,5,5,5,1,2,5,1,1,1,2,36,8
2024-02-07,LAC,NOP,0,-11,33.2,10,4,3,1,6,8,1,6,4,2,1,3,0,15,-11
2024-02-10,LAC,DET,0,6,35.28,18,7,7,3,7,7,0,4,5,2,0,3,2,24,2
2024-02-12,LAC,MIN,0,-21,30.1,17,8,3,1,1,1,4,4,1,1,0,3,2,18,-15
2024-02-22,LAC,OKC,1,-22,30.53,12,9,2,0,2,2,0,3,2,1,0,2,2,20,-17
2024-02-23,LAC,MEM,1,6,36.32,18,10,6,2,2,2,2,8,4,3,1,6,2,24,8
