Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-01-06,IND,BOS,0,-17,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-12,IND,ATL,1,18,3.7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-2
2024-01-15,IND,UTA,1,-27,12.0,5,2,1,0,4,6,2,2,1,0,0,0,3,8,-1
2024-01-25,IND,PHI,0,12,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6
2024-02-04,IND,CHO,1,16,1.73,1,1,0,0,0,0,0,0,1,0,0,0,0,2,0
2024-03-01,IND,NOP,1,-27,6.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2024-03-03,IND,SAS,1,-12,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-05,IND,DAL,1,17,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-16,IND,BRK,0,21,3.3,1,1,0,0,0,0,0,0,1,0,0,1,0,2,0
2024-03-20,IND,DET,1,19,4.37,2,1,0,0,0,0,0,1,1,0,0,0,0,2,-5
2024-03-25,IND,LAC,1,17,1.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2024-03-27,IND,CHI,1,-26,5.45,1,1,0,0,1,2,1,1,0,0,0,0,1,3,-3
2024-04-01,IND,BRK,0,22,7.02,1,0,0,0,0,0,0,0,0,0,0,0,3,0,-13
2024-04-09,IND,TOR,1,17,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-14,IND,ATL,0,42,10.13,4,2,1,0,0,0,0,1,1,0,0,1,1,4,4
