Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-28,MEM,WAS,1,-7,5.2,1,0,0,0,0,0,0,0,1,0,0,1,2,0,1
2023-10-30,MEM,DAL,0,-15,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-01,MEM,UTA,1,-24,19.15,7,4,1,1,3,9,2,5,2,2,0,1,5,12,5
2023-11-05,MEM,POR,1,12,10.1,3,2,2,1,0,1,0,2,3,0,1,0,0,5,4
2023-11-08,MEM,MIA,0,-6,7.1,3,1,0,0,0,0,0,0,1,0,0,0,1,2,2
2023-11-10,MEM,UTA,0,-6,11.67,2,0,1,0,0,0,0,2,0,0,1,1,3,0,11
2023-11-14,MEM,LAL,1,-27,5.02,2,0,1,0,0,0,0,0,0,0,0,0,0,0,-5
2023-11-18,MEM,SAS,1,12,11.68,3,1,1,0,0,0,0,1,2,0,0,1,3,2,-6
2023-11-19,MEM,BOS,0,-2,13.3,5,2,1,0,2,2,0,2,1,0,0,2,0,6,1
2023-11-22,MEM,HOU,1,-20,4.25,4,1,1,0,1,1,0,0,2,0,1,0,0,3,3
2023-11-24,MEM,PHO,0,-21,1.63,1,1,0,0,0,0,0,0,0,0,0,0,1,2,-4
2023-11-26,MEM,MIN,0,-22,2.32,1,1,0,0,0,0,0,0,0,0,0,0,0,2,-3
2023-12-01,MEM,DAL,1,14,2.02,2,0,0,0,0,0,0,2,0,0,0,0,0,0,-4
2023-12-06,MEM,DET,1,14,0.33,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2023-12-08,MEM,MIN,0,-24,4.4,3,1,2,1,2,2,0,0,2,1,0,0,0,5,0
2024-01-02,PHI,CHI,0,13,3.6,2,0,0,0,0,0,0,2,0,0,0,2,0,0,-10
2024-02-07,PHI,GSW,0,-23,5.22,4,1,2,0,0,0,0,1,0,0,0,0,0,2,-4
2024-04-05,UTA,LAC,1,-29,12.0,7,3,2,1,0,0,1,1,0,0,0,0,0,7,-4
2024-04-11,UTA,HOU,0,3,27.38,7,5,3,2,2,4,5,9,5,2,1,2,3,14,5
2024-04-12,UTA,LAC,1,1,35.38,16,10,5,0,7,7,4,9,8,1,0,3,5,27,1
2024-04-14,UTA,GSW,1,-7,15.9,5,3,2,1,0,0,0,1,6,0,1,1,1,7,-4
