Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-25,SAC,UTA,1,16,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2023-11-04,SAC,HOU,1,-18,1.37,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
2023-11-06,SAC,HOU,1,-25,14.43,7,5,6,4,1,4,1,2,1,1,0,0,1,15,10
2023-11-08,SAC,POR,0,3,21.27,3,1,2,0,2,3,0,4,0,3,0,2,1,4,-4
2023-11-10,SAC,OKC,0,7,30.72,8,2,7,1,3,4,1,4,2,0,3,1,3,8,4
2023-11-13,SAC,CLE,0,12,12.18,3,1,2,0,0,0,0,0,2,0,1,2,1,2,-3
2023-11-15,SAC,LAL,1,15,8.98,3,0,2,0,0,0,1,2,1,0,0,0,2,0,6
2023-11-17,SAC,SAS,1,9,9.62,1,1,0,0,0,0,0,0,2,1,0,1,0,2,-1
2023-11-19,SAC,DAL,1,16,9.2,0,0,0,0,0,0,1,4,0,0,0,0,1,0,9
2023-11-28,SAC,GSW,0,1,5.58,2,1,2,1,0,0,0,0,0,0,0,0,0,3,1
2023-12-02,SAC,DEN,0,6,8.1,1,0,1,0,0,0,0,0,2,0,0,0,1,0,-14
2023-12-04,SAC,NOP,0,-10,8.13,2,1,2,1,2,2,0,0,0,1,0,0,1,5,-1
2023-12-08,SAC,PHO,1,8,17.32,6,4,4,2,0,0,0,2,0,0,0,2,3,10,-2
2023-12-11,SAC,BRK,0,13,14.63,4,1,4,1,0,0,0,1,2,1,0,0,1,3,-10
2023-12-12,SAC,LAC,1,-20,11.58,1,1,1,1,0,0,0,0,1,0,1,2,0,3,5
2023-12-14,SAC,OKC,0,5,27.57,8,6,7,5,0,0,2,6,3,1,1,0,5,17,9
2023-12-16,SAC,UTA,0,21,26.03,3,0,3,0,2,2,0,1,7,1,0,3,2,2,23
2023-12-18,SAC,WAS,0,12,14.7,5,1,5,1,0,0,0,1,2,1,1,0,4,3,1
2023-12-20,SAC,BOS,0,-25,19.4,7,4,7,4,0,0,0,2,4,1,2,0,1,12,2
2023-12-22,SAC,PHO,0,15,17.3,3,0,2,0,1,2,1,3,1,1,1,0,3,1,-3
2023-12-23,SAC,MIN,0,-12,11.48,3,0,2,0,0,0,0,0,1,0,0,0,1,0,-14
2023-12-26,SAC,POR,1,-17,9.43,0,0,0,0,0,0,0,0,2,0,1,0,1,0,-14
2023-12-31,SAC,MEM,1,31,3.77,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
2024-01-07,SAC,NOP,0,-33,12.0,6,5,3,3,0,0,2,2,1,1,0,0,1,13,9
2024-01-09,SAC,DET,1,21,4.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-4
2024-01-10,SAC,CHO,1,25,9.35,3,1,3,1,0,0,0,1,1,0,1,0,2,3,4
2024-01-12,SAC,PHI,1,-19,10.03,3,1,2,1,0,0,0,2,0,0,0,2,1,3,-11
2024-01-18,SAC,IND,0,-5,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4
2024-02-05,SAC,CLE,1,-26,3.23,1,0,1,0,0,0,0,0,0,0,0,1,0,0,-2
