Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-25,SAC,UTA,1,16,1.27,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-2
2023-10-29,SAC,LAL,0,5,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2023-11-04,SAC,HOU,1,-18,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-06,SAC,HOU,1,-25,12.37,4,1,2,1,1,2,0,1,2,1,0,0,1,4,11
2023-11-08,SAC,POR,0,3,16.23,1,0,1,0,0,0,0,4,1,0,1,1,4,0,4
2023-11-10,SAC,OKC,0,7,2.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3
2023-11-13,SAC,CLE,0,12,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5
2023-11-15,SAC,LAL,1,15,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-11-19,SAC,DAL,1,16,8.95,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
2023-11-20,SAC,NOP,1,-36,15.03,4,1,4,1,0,0,0,4,0,0,1,0,2,3,-12
2023-11-22,SAC,NOP,1,-5,0.92,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-24,SAC,MIN,1,13,18.13,7,4,3,2,0,0,1,2,1,1,0,0,1,10,-7
2023-11-28,SAC,GSW,0,1,4.78,1,0,1,0,0,0,0,2,0,0,0,0,0,0,-3
2023-11-29,SAC,LAC,0,-14,6.5,1,0,1,0,0,0,1,1,0,0,0,0,0,0,-16
2023-12-08,SAC,PHO,1,8,0.92,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-4
2023-12-11,SAC,BRK,0,13,3.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7
2023-12-12,SAC,LAC,1,-20,8.17,3,3,1,1,0,0,0,0,0,0,0,0,0,7,12
2023-12-14,SAC,OKC,0,5,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2023-12-16,SAC,UTA,0,21,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2023-12-18,SAC,WAS,0,12,3.93,2,1,2,1,0,0,0,1,1,0,0,0,0,3,-7
2023-12-20,SAC,BOS,0,-25,6.18,5,3,2,1,0,0,0,2,0,0,0,0,0,7,0
2023-12-22,SAC,PHO,0,15,2.4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-6
2023-12-23,SAC,MIN,0,-12,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-26,SAC,POR,1,-17,2.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2023-12-31,SAC,MEM,1,31,3.77,2,0,2,0,0,0,0,0,0,0,0,0,0,0,4
2024-01-07,SAC,NOP,0,-33,8.13,4,3,2,2,2,2,1,2,0,0,0,0,0,10,7
2024-01-09,SAC,DET,1,21,1.28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
2024-01-12,SAC,PHI,1,-19,5.77,3,1,1,0,0,0,1,1,0,0,0,0,1,2,3
2024-01-25,SAC,GSW,1,1,6.12,1,0,1,0,0,0,0,1,1,0,0,0,1,0,-1
2024-01-27,SAC,DAL,1,5,0.67,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-2
2024-01-31,SAC,MIA,1,-9,1.35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-8
2024-02-02,SAC,IND,1,11,14.6,0,0,0,0,0,0,0,4,1,2,1,0,1,0,11
2024-02-03,SAC,CHI,1,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2024-02-05,SAC,CLE,1,-26,8.8,5,2,4,1,0,0,0,0,0,0,0,0,2,5,-4
2024-02-09,SAC,DEN,0,29,5.78,3,2,3,2,0,0,0,1,0,0,0,0,1,6,0
2024-02-13,SAC,PHO,1,-5,2.12,0,0,0,0,0,0,0,1,0,0,0,0,2,0,-2
2024-02-22,SAC,SAS,0,5,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2024-02-25,SAC,LAC,1,16,1.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2024-02-28,SAC,DEN,1,-21,10.08,2,0,0,0,1,2,0,2,0,0,0,0,1,1,3
2024-03-12,SAC,MIL,0,35,3.9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4
2024-03-13,SAC,LAL,0,13,0.95,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0
2024-03-16,SAC,NYK,0,-7,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-20,SAC,TOR,1,34,12.0,8,4,5,1,0,0,1,3,1,1,0,1,1,9,0
2024-03-21,SAC,WAS,1,-7,9.2,2,1,1,1,0,0,1,3,1,1,0,0,1,3,12
2024-03-25,SAC,PHI,0,12,2.45,1,0,1,0,0,0,0,0,0,0,0,1,0,0,-6
2024-03-26,SAC,DAL,0,-36,5.48,3,0,1,0,0,0,1,1,0,0,0,0,0,0,-7
2024-03-29,SAC,DAL,0,-4,11.02,3,3,3,3,0,0,1,2,0,1,0,0,2,9,-8
2024-03-31,SAC,UTA,0,21,10.28,2,1,2,1,0,2,0,0,0,0,0,0,0,3,-4
2024-04-02,SAC,LAC,0,14,1.65,1,0,1,0,0,0,0,0,0,0,0,0,2,0,-2
2024-04-04,SAC,NYK,1,-11,1.57,0,0,0,0,0,0,0,1,2,0,0,0,1,0,5
2024-04-05,SAC,BOS,1,-1,10.05,5,1,4,1,0,0,0,1,0,1,0,0,0,3,-17
2024-04-07,SAC,BRK,1,30,3.6,2,2,1,1,1,1,0,0,1,0,0,0,0,6,8
2024-04-11,SAC,NOP,0,-12,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2024-04-14,SAC,POR,0,39,11.35,1,0,0,0,0,0,0,1,1,1,0,1,1,0,2
