Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-25,SAC,UTA,1,16,23.57,9,3,5,1,0,0,2,5,2,0,0,1,3,7,6
2023-10-27,SAC,GSW,0,-8,15.62,5,0,5,0,0,0,0,2,2,0,1,0,0,0,-2
2023-10-29,SAC,LAL,0,5,36.62,12,4,7,3,1,2,0,7,4,0,2,0,3,12,11
2023-11-01,SAC,GSW,1,-1,26.85,11,4,5,1,2,2,2,9,3,1,0,1,3,11,2
2023-11-04,SAC,HOU,1,-18,15.83,8,2,3,0,0,0,2,4,2,1,0,1,3,4,-13
2023-11-06,SAC,HOU,1,-25,25.22,10,5,8,3,0,1,0,3,2,1,0,3,0,13,-26
2023-11-08,SAC,POR,0,3,39.4,13,5,9,4,3,3,0,5,4,2,0,3,2,17,2
2023-11-10,SAC,OKC,0,7,33.92,19,11,10,4,2,2,0,9,2,3,1,2,4,28,8
2023-11-13,SAC,CLE,0,12,28.68,11,7,9,6,0,0,1,2,2,0,0,0,4,20,5
2023-11-15,SAC,LAL,1,15,37.58,16,10,11,6,2,2,0,4,7,2,0,0,2,28,21
2023-11-17,SAC,SAS,1,9,25.42,9,4,4,1,0,0,0,1,2,3,0,0,2,9,-1
2023-11-20,SAC,NOP,1,-36,22.53,10,4,8,2,0,0,0,0,3,0,0,0,1,10,-25
2023-11-22,SAC,NOP,1,-5,26.87,10,2,7,2,2,2,0,7,2,0,0,0,3,8,-7
2023-11-24,SAC,MIN,1,13,24.45,8,4,5,2,0,0,1,2,3,0,1,0,1,10,17
2023-11-28,SAC,GSW,0,1,32.72,14,8,7,4,1,2,3,9,5,0,0,1,5,21,2
2023-11-29,SAC,LAC,0,-14,25.78,7,3,5,1,0,0,1,5,5,0,0,2,3,7,3
2023-12-02,SAC,DEN,0,6,29.42,10,6,6,4,0,0,0,6,2,1,1,2,0,16,-4
2023-12-04,SAC,NOP,0,-10,31.52,10,5,7,2,0,0,1,5,2,0,0,0,2,12,11
2023-12-08,SAC,PHO,1,8,16.62,4,0,3,0,1,1,0,3,1,1,0,0,3,1,-1
2023-12-11,SAC,BRK,0,13,17.07,6,2,5,2,0,0,0,1,1,0,0,0,4,6,2
2023-12-12,SAC,LAC,1,-20,16.52,8,1,4,1,0,0,0,4,3,1,0,0,1,3,-8
2023-12-14,SAC,OKC,0,5,20.22,8,2,3,0,0,0,1,2,2,2,1,1,1,4,-10
2023-12-16,SAC,UTA,0,21,24.72,6,4,4,2,1,2,1,3,5,0,0,0,4,11,26
2023-12-18,SAC,WAS,0,12,23.18,8,4,4,1,2,2,0,4,2,0,1,0,4,11,14
2023-12-20,SAC,BOS,0,-25,16.18,5,3,2,1,0,1,0,1,0,0,0,0,1,7,-7
2023-12-22,SAC,PHO,0,15,27.28,9,5,6,2,1,1,1,2,5,1,0,1,1,13,22
2023-12-23,SAC,MIN,0,-12,15.28,7,1,2,0,0,0,0,1,1,0,0,1,3,2,-19
2023-12-26,SAC,POR,1,-17,21.7,8,2,5,1,0,0,1,2,2,0,1,0,1,5,5
2023-12-29,SAC,ATL,1,7,9.75,6,3,3,1,0,0,0,3,1,0,0,0,0,7,-5
2023-12-31,SAC,MEM,1,31,16.77,9,4,3,1,0,0,0,0,0,0,0,0,1,9,16
2024-01-02,SAC,CHO,0,-7,12.35,4,1,2,0,2,2,0,2,0,0,0,0,3,4,-1
2024-01-03,SAC,ORL,0,3,17.9,5,0,4,0,2,2,1,7,2,0,0,1,1,2,4
2024-01-05,SAC,TOR,0,5,14.02,2,1,2,1,0,0,0,2,3,0,0,0,1,3,3
2024-01-07,SAC,NOP,0,-33,24.27,10,6,6,2,3,4,1,1,3,1,1,0,0,17,-3
2024-01-09,SAC,DET,1,21,29.2,11,2,6,0,0,0,0,5,5,1,1,0,1,4,16
2024-01-10,SAC,CHO,1,25,0.68,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-2
2024-01-14,SAC,MIL,1,-1,38.72,14,10,9,6,0,0,0,10,3,1,0,1,4,26,4
2024-01-16,SAC,PHO,1,-2,25.95,9,4,6,2,0,0,0,3,2,2,1,0,4,10,-1
2024-01-18,SAC,IND,0,-5,38.68,17,11,12,7,2,2,0,2,4,1,1,2,4,31,-3
2024-01-22,SAC,ATL,0,15,25.75,6,3,5,2,0,0,0,2,3,0,1,1,4,8,-3
2024-01-25,SAC,GSW,1,1,33.08,10,4,8,3,1,3,3,10,4,3,0,2,4,12,8
2024-01-27,SAC,DAL,1,5,30.12,11,7,8,4,0,0,0,4,5,0,2,0,2,18,4
2024-01-29,SAC,MEM,1,9,37.28,15,7,8,3,0,0,0,4,3,2,1,1,1,17,11
2024-01-31,SAC,MIA,1,-9,38.72,12,6,6,2,0,0,1,3,4,1,0,1,4,14,-1
2024-02-02,SAC,IND,1,11,30.42,10,5,6,3,2,3,2,5,6,0,0,4,5,15,5
2024-02-03,SAC,CHI,1,8,20.6,9,3,5,1,2,2,1,2,2,1,0,2,1,9,2
2024-02-05,SAC,CLE,1,-26,31.37,9,4,5,2,0,0,2,3,4,1,0,1,0,10,-13
2024-02-07,SAC,DET,0,-13,33.77,11,6,9,4,0,0,1,1,1,1,1,0,2,16,-10
2024-02-09,SAC,DEN,0,29,21.07,6,4,4,2,2,2,1,2,0,0,0,2,1,12,15
2024-02-11,SAC,OKC,1,-14,17.17,7,2,3,0,0,0,1,2,1,0,0,2,0,4,-20
2024-02-13,SAC,PHO,1,-5,23.68,6,4,3,2,0,0,0,3,1,1,1,1,2,10,-8
2024-02-14,SAC,DEN,1,4,25.6,7,3,6,2,0,0,1,5,2,1,2,0,1,8,3
2024-02-22,SAC,SAS,0,5,31.4,14,8,8,5,0,0,0,4,5,0,0,1,1,21,15
2024-02-25,SAC,LAC,1,16,24.75,10,6,6,3,0,0,0,3,2,0,0,1,2,15,8
2024-02-26,SAC,MIA,0,-11,37.83,15,5,9,2,2,2,0,5,2,0,0,1,2,14,-1
2024-02-28,SAC,DEN,1,-21,18.35,5,2,2,0,0,2,0,1,2,0,0,3,2,4,-20
2024-03-01,SAC,MIN,1,4,32.82,12,3,7,2,0,0,2,6,4,0,0,1,3,8,2
2024-03-04,SAC,CHI,0,-4,23.05,9,5,3,2,0,0,2,3,2,1,0,2,1,12,2
2024-03-06,SAC,LAL,1,10,11.7,3,1,2,0,0,0,1,1,3,1,0,0,3,2,-5
2024-03-07,SAC,SAS,0,2,16.38,5,0,3,0,0,0,1,2,2,1,1,1,1,0,-10
2024-03-10,SAC,HOU,0,-8,25.13,7,3,3,0,0,0,0,3,3,2,1,1,5,6,7
2024-03-12,SAC,MIL,0,35,25.25,10,4,8,3,0,0,0,5,3,2,0,1,3,11,23
2024-03-16,SAC,NYK,0,-7,15.97,3,0,2,0,0,0,0,1,2,1,0,0,1,0,-1
2024-03-18,SAC,MEM,0,10,1.85,0,0,0,0,0,0,0,1,1,1,0,1,0,0,2
