Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-26,MIL,PHI,0,1,16.2,5,2,3,1,1,2,0,3,4,2,0,2,0,6,14
2023-10-30,MIL,MIA,0,8,17.05,4,1,2,0,3,4,0,2,5,1,0,1,2,5,14
2023-11-01,MIL,TOR,1,-19,17.13,10,4,4,1,2,2,0,3,0,1,0,4,2,11,-13
2023-11-03,MIL,NYK,0,5,21.02,10,5,3,2,0,0,3,9,4,0,0,0,1,12,-2
2023-11-06,MIL,BRK,1,4,21.18,10,6,4,1,2,2,0,3,4,0,0,0,1,15,9
2023-11-09,MIL,IND,1,-2,19.87,13,7,6,2,3,4,1,2,4,0,0,2,1,19,-5
2023-11-11,MIL,ORL,1,-15,19.5,8,4,4,2,0,0,0,0,7,0,1,1,1,10,-3
2023-11-13,MIL,CHI,0,9,19.35,10,6,5,1,0,0,1,6,2,1,0,2,2,13,0
2023-11-15,MIL,TOR,1,16,20.32,9,5,2,1,0,0,1,5,4,2,0,4,3,11,12
2023-11-17,MIL,CHO,1,31,21.85,11,4,7,2,2,2,1,6,1,1,0,1,3,12,16
2023-11-20,MIL,WAS,1,13,23.08,12,6,2,0,6,7,1,6,7,0,0,4,3,18,23
2023-11-22,MIL,BOS,1,-3,28.58,14,4,5,2,2,2,2,5,7,1,0,0,4,12,-6
2023-11-24,MIL,WAS,0,3,12.78,8,3,3,1,0,0,0,1,5,0,0,1,1,7,5
2023-11-28,MIL,MIA,1,7,23.38,13,7,3,1,2,2,1,8,2,0,0,0,3,17,20
2023-11-30,MIL,CHI,1,-7,26.67,10,3,4,1,2,5,0,3,3,2,0,3,3,9,-8
2023-12-02,MIL,ATL,0,11,24.75,9,5,4,2,0,0,0,5,3,1,0,1,0,12,-8
2023-12-05,MIL,NYK,0,24,26.35,12,6,3,2,0,0,2,4,7,1,0,2,1,14,11
2023-12-07,MIL,IND,0,-9,29.6,13,7,5,4,2,2,1,7,4,2,0,4,2,20,-3
2023-12-11,MIL,CHI,0,4,32.93,11,5,3,0,3,4,1,13,6,1,0,4,4,13,0
2023-12-13,MIL,IND,0,14,29.07,11,6,3,1,1,1,1,9,7,1,0,1,3,14,14
2023-12-17,MIL,HOU,0,9,29.38,15,7,5,1,5,5,0,3,2,0,0,4,3,20,7
2023-12-19,MIL,SAS,0,13,28.37,15,7,6,3,0,0,0,3,4,1,0,1,2,17,12
2023-12-21,MIL,ORL,0,4,28.82,11,5,7,2,2,2,0,4,3,0,1,1,2,14,11
2023-12-23,MIL,NYK,1,19,32.62,16,9,4,2,0,0,1,5,5,0,0,3,4,20,17
2023-12-25,MIL,NYK,1,-7,33.05,20,10,9,4,0,0,0,2,6,1,0,2,4,24,9
2023-12-27,MIL,BRK,1,22,31.68,18,11,7,3,2,2,1,3,10,0,2,3,2,27,5
2023-12-29,MIL,CLE,1,8,33.27,10,4,3,1,4,4,0,3,11,3,0,4,1,13,7
2024-01-01,MIL,IND,0,-9,31.67,13,9,5,2,1,2,1,3,6,1,0,4,5,21,5
2024-01-03,MIL,IND,1,-12,32.1,13,7,7,4,1,1,1,6,7,0,2,4,2,19,-15
2024-01-04,MIL,SAS,1,4,15.48,8,5,3,2,0,0,0,3,5,1,0,1,0,12,7
2024-01-06,MIL,HOU,1,-4,32.92,9,3,5,0,4,6,0,3,5,1,0,3,5,10,7
2024-01-08,MIL,UTA,0,-16,33.55,16,7,6,3,6,6,0,3,8,2,1,3,1,23,-8
2024-01-11,MIL,BOS,0,33,20.25,9,2,5,1,0,0,0,2,7,1,0,0,2,5,25
2024-01-13,MIL,GSW,0,11,32.85,13,10,5,3,1,2,1,3,10,1,1,3,2,24,-2
2024-01-17,MIL,CLE,1,-40,19.87,10,1,3,0,0,0,0,2,2,0,1,3,3,2,-40
2024-01-20,MIL,DET,1,6,33.23,12,5,7,3,4,6,0,5,4,1,2,1,4,17,7
2024-01-22,MIL,DET,1,9,31.43,14,9,5,2,6,6,0,2,2,2,0,1,2,26,9
2024-01-24,MIL,CLE,0,10,31.98,15,8,4,1,7,8,2,5,5,2,0,0,3,24,16
2024-01-26,MIL,CLE,0,-12,35.6,16,5,6,2,2,2,2,8,8,2,0,3,3,14,-19
2024-01-29,MIL,DEN,1,-6,29.92,10,6,6,2,0,0,0,8,3,0,1,4,5,14,2
2024-01-31,MIL,POR,1,-3,34.07,13,9,5,3,0,0,0,2,8,0,1,1,3,21,7
2024-02-03,MIL,DAL,1,12,38.48,15,5,4,1,2,2,1,3,8,1,0,2,5,13,24
2024-02-06,MIL,PHO,1,-8,8.05,3,2,1,1,1,2,0,3,1,1,0,1,1,6,-1
2024-03-17,MIL,PHO,0,11,25.48,15,8,4,2,4,4,1,3,7,1,0,2,4,22,-11
2024-03-20,MIL,BOS,1,-3,32.62,11,8,3,2,4,5,2,6,6,1,1,4,5,22,-9
2024-03-24,MIL,OKC,0,25,27.3,11,5,5,1,0,0,2,10,10,0,1,5,3,11,10
2024-03-26,MIL,LAL,0,-4,38.57,15,4,7,2,2,2,2,6,7,1,0,1,5,12,-2
2024-03-28,MIL,NOP,1,-7,32.77,12,3,7,1,0,0,0,8,6,1,0,4,3,7,0
2024-03-30,MIL,ATL,1,9,35.8,10,9,3,3,0,0,0,6,6,1,0,1,3,21,0
2024-04-02,MIL,WAS,1,-4,30.85,19,9,8,3,3,4,3,9,6,2,0,4,3,24,-14
2024-04-05,MIL,TOR,0,-6,33.72,16,9,6,2,1,2,1,5,6,3,0,2,5,21,-11
2024-04-07,MIL,NYK,0,-13,13.02,4,2,1,1,0,0,2,4,2,0,0,2,0,5,4
2024-04-09,MIL,BOS,0,13,33.23,8,5,4,2,0,0,0,6,9,1,0,7,2,12,12
2024-04-12,MIL,OKC,1,-18,22.97,10,7,2,2,2,2,0,7,6,1,0,2,1,18,-11
2024-04-14,MIL,ORL,1,-25,31.58,15,6,4,0,5,6,1,3,5,1,0,4,3,17,-25
