Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-25,MIN,TOR,1,-3,30.32,9,3,1,0,1,2,2,9,5,2,0,1,0,7,15
2023-10-28,MIN,MIA,0,16,22.95,6,5,0,0,2,2,0,2,4,2,0,2,1,12,7
2023-10-30,MIN,ATL,1,-14,24.78,5,2,2,0,0,0,1,2,5,2,1,2,1,4,-8
2023-11-01,MIN,DEN,0,21,25.28,6,4,1,1,0,0,0,3,2,0,0,0,0,9,-1
2023-11-04,MIN,UTA,0,28,26.95,6,5,0,0,2,2,1,3,6,1,2,0,3,12,11
2023-11-06,MIN,BOS,0,5,25.22,6,1,2,0,1,2,2,5,6,0,1,4,4,3,6
2023-11-08,MIN,NOP,0,21,25.3,3,2,2,1,1,2,0,2,5,1,2,2,2,6,16
2023-11-10,MIN,SAS,1,7,26.3,2,2,0,0,2,4,0,5,4,1,0,4,1,6,9
2023-11-12,MIN,GSW,1,6,17.08,4,4,0,0,0,2,0,4,1,1,0,3,1,8,-13
2023-11-14,MIN,GSW,1,3,27.38,9,3,2,0,2,2,1,4,3,0,1,2,4,8,11
2023-11-15,MIN,PHO,1,-18,21.45,5,2,0,0,2,2,1,2,3,2,1,1,0,6,-13
2023-11-18,MIN,NOP,1,1,26.32,7,4,0,0,1,2,1,5,5,1,2,1,0,9,5
2023-11-20,MIN,NYK,0,17,23.08,4,3,0,0,3,5,0,2,5,1,2,1,2,9,3
2023-11-22,MIN,PHI,0,13,28.17,6,3,0,0,1,4,1,5,3,0,1,2,1,7,3
2023-11-24,MIN,SAC,0,-13,18.2,2,1,0,0,2,2,0,1,4,0,0,0,1,4,-24
2023-11-26,MIN,MEM,1,22,22.75,7,3,1,0,0,0,1,6,3,0,1,0,3,6,13
2023-11-28,MIN,OKC,0,3,22.77,6,2,0,0,3,4,2,5,2,0,1,4,1,7,-7
2023-11-30,MIN,UTA,0,11,18.98,7,2,1,0,0,0,0,1,6,0,0,0,0,4,-6
2023-12-02,MIN,CHO,1,6,25.93,6,2,0,0,7,7,2,6,4,2,0,2,3,11,2
2023-12-06,MIN,SAS,0,8,21.98,6,2,0,0,3,4,0,1,2,0,4,0,2,7,-7
2023-12-08,MIN,MEM,1,24,22.1,11,2,6,0,3,4,1,6,5,0,0,2,0,7,-3
2023-12-11,MIN,NOP,1,-14,18.68,6,3,0,0,0,0,1,4,3,2,0,0,1,6,7
2023-12-14,MIN,DAL,1,18,18.12,7,3,1,0,0,0,0,2,2,2,1,1,2,6,4
2023-12-16,MIN,IND,0,18,23.22,4,2,0,0,0,0,1,4,10,0,0,2,4,4,6
2023-12-18,MIN,MIA,1,4,22.28,4,2,0,0,1,2,0,1,5,1,1,1,2,5,1
2023-12-20,MIN,PHI,1,-14,12.67,5,1,0,0,0,0,0,0,1,0,0,2,0,2,-10
2023-12-21,MIN,LAL,0,7,22.58,7,4,2,0,1,1,2,5,4,1,1,1,0,9,8
2023-12-23,MIN,SAC,1,12,28.65,9,4,0,0,2,2,1,5,5,0,1,2,4,10,9
2023-12-26,MIN,OKC,1,-23,23.05,4,2,1,0,3,3,0,0,1,0,0,2,1,7,-10
2023-12-28,MIN,DAL,0,8,27.02,8,3,1,1,1,2,1,10,3,0,0,3,0,8,-11
2023-12-30,MIN,LAL,0,2,24.47,4,2,1,0,0,0,0,3,7,0,1,1,0,4,-8
2024-01-01,MIN,NYK,1,-6,17.38,1,1,0,0,0,2,0,2,3,2,0,3,0,2,-3
2024-01-03,MIN,NOP,0,-11,13.38,2,0,0,0,1,2,1,4,0,2,0,0,0,1,0
2024-01-05,MIN,HOU,1,27,17.58,4,1,0,0,0,0,1,7,5,3,0,2,3,2,16
2024-01-07,MIN,DAL,1,-7,19.73,1,1,0,0,2,2,1,2,4,0,0,1,3,4,-7
2024-01-09,MIN,ORL,1,21,21.43,6,4,1,0,3,4,0,1,3,0,0,0,1,11,5
2024-01-10,MIN,BOS,1,-7,39.23,12,7,0,0,3,4,2,8,5,1,1,0,5,17,-11
2024-01-12,MIN,POR,0,23,15.25,2,1,0,0,0,0,0,2,1,0,0,2,2,2,-4
2024-01-14,MIN,LAC,0,4,26.7,6,4,1,1,1,3,0,1,3,1,0,0,4,10,-6
2024-01-17,MIN,DET,1,7,21.72,6,2,0,0,0,0,0,3,9,1,2,1,2,4,3
2024-01-18,MIN,MEM,0,15,15.05,3,1,0,0,2,2,0,3,3,1,0,1,3,4,5
2024-01-20,MIN,OKC,0,-5,19.25,4,2,3,1,0,0,1,1,4,1,0,0,2,5,13
2024-01-22,MIN,CHO,0,-3,21.5,2,1,0,0,3,3,1,4,8,0,0,1,1,5,-8
2024-01-24,MIN,WAS,1,11,21.82,4,1,0,0,1,2,1,5,5,0,0,0,1,3,-3
2024-01-25,MIN,BRK,1,2,18.02,3,1,0,0,1,2,1,3,5,2,0,1,0,3,-1
2024-01-27,MIN,SAS,1,-1,19.33,6,2,0,0,0,2,2,3,1,1,0,1,0,4,-5
2024-01-29,MIN,OKC,1,6,17.33,4,1,0,0,0,0,1,3,3,1,0,0,2,2,-5
2024-01-31,MIN,DAL,0,34,15.72,2,2,0,0,1,2,1,3,3,0,0,1,0,5,14
2024-02-02,MIN,ORL,0,-2,15.95,6,3,1,1,0,0,1,3,4,0,1,0,2,7,10
2024-02-04,MIN,HOU,0,21,16.72,5,3,1,0,0,0,1,2,4,1,1,0,2,6,-7
2024-02-06,MIN,CHI,1,-6,16.05,2,1,0,0,0,0,1,2,3,0,0,1,1,2,-4
2024-02-08,MIN,MIL,1,24,24.2,3,3,0,0,2,2,3,5,6,3,0,3,1,8,9
2024-02-12,MIN,LAC,1,21,20.42,6,2,1,1,0,0,1,2,6,2,0,0,1,5,9
2024-02-13,MIN,POR,1,12,22.05,3,1,0,0,6,6,0,3,8,0,0,0,0,8,29
2024-02-15,MIN,POR,1,37,20.7,4,1,0,0,0,0,2,7,3,0,0,2,1,2,16
2024-02-23,MIN,MIL,0,-5,28.97,4,4,0,0,0,0,1,2,6,2,0,3,3,8,9
2024-02-24,MIN,BRK,0,15,31.28,10,6,2,0,0,0,0,9,3,0,1,0,1,12,6
2024-02-27,MIN,SAS,0,9,15.3,4,1,0,0,0,0,0,2,4,2,0,2,1,2,1
2024-03-03,MIN,LAC,0,-1,14.45,5,2,1,0,4,4,0,3,3,0,1,1,2,8,-5
2024-03-04,MIN,POR,0,5,28.83,8,3,2,1,2,2,0,3,5,1,1,1,1,9,13
2024-03-07,MIN,IND,1,2,27.67,5,1,0,0,1,2,0,3,4,0,0,1,6,3,8
2024-03-08,MIN,CLE,1,-9,35.35,9,5,0,0,0,1,0,3,5,1,0,1,1,10,-15
2024-03-12,MIN,LAC,1,18,28.8,8,5,1,0,0,1,3,5,7,0,0,2,1,10,7
2024-03-16,MIN,UTA,1,19,31.2,6,1,0,0,2,2,1,5,9,2,1,0,3,4,19
2024-03-18,MIN,UTA,1,10,33.47,8,4,2,1,1,2,3,6,5,0,1,1,3,10,20
2024-03-19,MIN,DEN,0,-3,25.6,9,5,0,0,2,2,0,3,4,1,2,0,3,12,0
2024-03-22,MIN,CLE,0,13,26.95,9,5,0,0,0,0,3,6,5,3,0,0,0,10,2
2024-03-24,MIN,GSW,0,4,25.78,9,3,0,0,4,5,2,6,5,2,1,0,0,10,5
2024-03-27,MIN,DET,0,15,22.53,8,5,0,0,4,5,0,4,5,2,0,2,1,14,13
2024-03-29,MIN,DEN,1,13,26.52,3,1,0,0,3,4,0,3,7,0,2,1,3,5,15
2024-03-31,MIN,CHI,0,-8,20.77,5,2,0,0,1,1,1,1,2,2,1,0,0,5,-12
2024-04-02,MIN,HOU,0,7,30.15,8,6,2,1,0,0,1,6,9,2,2,2,1,13,8
2024-04-03,MIN,TOR,0,48,17.47,4,1,2,1,0,0,0,3,5,1,0,0,2,3,16
2024-04-05,MIN,PHO,1,-10,16.73,7,3,0,0,0,0,0,1,3,0,0,2,4,6,-4
2024-04-07,MIN,LAL,1,10,18.45,11,4,3,0,0,0,1,3,2,3,1,1,0,8,11
2024-04-09,MIN,WAS,0,9,26.4,3,0,0,0,1,2,0,2,3,1,0,0,2,1,7
2024-04-10,MIN,DEN,1,-9,15.22,5,1,1,0,2,2,0,1,2,0,2,0,4,4,-11
2024-04-12,MIN,ATL,0,3,15.58,2,0,0,0,0,2,0,0,1,1,2,2,3,0,-14
2024-04-14,MIN,PHO,0,-19,17.72,5,2,0,0,0,0,0,1,4,1,0,1,2,4,-12
