Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-25,MIA,DET,0,1,31.87,1,0,0,0,0,0,0,2,2,2,1,0,4,0,4
2023-10-27,MIA,BOS,1,-8,31.82,7,5,4,3,0,0,1,8,5,0,1,1,3,13,-1
2023-10-28,MIA,MIN,1,-16,32.37,6,1,5,1,0,0,1,4,7,1,0,4,1,3,-20
2023-10-30,MIA,MIL,1,-8,27.8,6,3,5,2,0,0,0,4,4,2,0,2,4,8,-11
2023-11-01,MIA,BRK,0,-4,29.65,5,2,5,2,0,0,0,3,3,2,1,2,3,6,7
2023-11-03,MIA,WAS,0,7,25.55,4,1,4,1,0,0,2,3,7,2,0,2,1,3,2
2023-11-06,MIA,LAL,0,1,32.68,6,2,5,1,0,0,2,4,5,1,0,0,2,5,2
2023-11-08,MIA,MEM,1,6,34.72,11,5,7,4,3,3,3,11,9,1,0,4,4,17,20
2023-11-11,MIA,ATL,1,8,33.43,8,4,6,4,5,5,0,2,4,1,0,3,1,17,10
2023-11-14,MIA,CHO,1,6,14.72,1,0,1,0,0,0,0,1,2,0,0,0,4,0,-5
2023-11-16,MIA,BRK,0,7,24.42,4,1,1,1,0,0,1,3,3,3,0,0,3,3,7
2023-11-18,MIA,CHI,1,-5,31.68,10,3,7,2,0,0,0,3,5,3,0,1,3,8,14
2023-11-20,MIA,CHI,1,18,26.57,6,3,4,2,0,0,1,5,6,0,0,1,1,8,15
2023-11-22,MIA,CLE,1,33,29.1,15,9,10,7,3,4,0,1,3,0,0,0,3,28,21
2023-11-24,MIA,NYK,1,-2,33.37,9,4,5,2,0,0,3,8,2,2,0,1,3,10,3
2023-11-25,MIA,BRK,1,-15,29.58,10,3,7,2,1,2,1,3,4,2,0,3,2,9,-19
2023-11-28,MIA,MIL,0,-7,33.7,10,7,5,3,4,4,0,4,6,1,1,1,5,21,-4
2023-11-30,MIA,IND,0,10,25.47,10,6,6,3,0,0,1,3,3,0,1,0,5,15,-11
2023-12-02,MIA,IND,0,-15,28.58,4,0,3,0,4,4,1,8,2,0,0,0,2,4,-9
2023-12-06,MIA,TOR,1,9,27.55,4,1,4,1,0,0,0,4,3,0,2,2,2,3,7
2023-12-08,MIA,CLE,0,-12,32.47,13,6,9,3,2,3,0,2,5,2,0,3,1,17,-8
2023-12-11,MIA,CHO,1,2,35.0,6,1,4,1,0,2,1,5,5,2,0,1,3,3,6
