Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-28,MIN,MIA,0,16,1.92,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-7
2023-11-22,MIN,PHI,0,13,1.93,0,0,0,0,0,0,0,3,0,0,0,0,1,0,-1
2023-11-26,MIN,MEM,1,22,2.32,1,1,0,0,0,0,0,2,1,0,0,0,0,2,3
2023-12-26,MIN,OKC,1,-23,4.53,3,3,1,1,0,0,0,1,0,0,0,0,0,7,-1
2024-01-12,MIN,POR,0,23,7.85,4,2,2,0,0,0,0,2,0,1,1,1,2,4,-9
2024-02-08,MIN,MIL,1,24,2.55,1,1,0,0,0,0,1,1,0,0,0,0,0,2,1
2024-02-15,MIN,POR,1,37,4.82,1,0,0,0,0,0,0,0,2,0,0,0,0,0,8
2024-03-12,MIN,LAC,1,18,2.52,0,0,0,0,0,0,1,2,0,0,0,0,1,0,-2
2024-03-16,MIN,UTA,1,19,1.6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
2024-03-27,MIN,DET,0,15,2.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2024-03-29,MIN,DEN,1,13,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2024-04-03,MIN,TOR,0,48,5.13,2,2,1,1,0,0,0,1,2,1,0,0,0,5,7
2024-04-05,MIN,PHO,1,-10,4.03,2,2,0,0,0,0,0,1,0,0,0,0,0,4,12
2024-04-07,MIN,LAL,1,10,1.78,1,0,0,0,0,0,1,1,0,0,0,0,0,0,-6
2024-04-09,MIN,WAS,0,9,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6
2024-04-10,MIN,DEN,1,-9,2.73,1,1,0,0,1,2,0,2,1,0,0,0,1,3,7
2024-04-14,MIN,PHO,0,-19,4.57,3,1,1,0,0,0,2,3,0,0,0,0,0,2,5
