Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-30,GSW,NOP,1,28,4.65,3,2,2,1,0,0,0,0,0,0,0,1,0,5,0
2023-11-16,GSW,OKC,0,-19,4.27,3,0,2,0,0,0,0,0,0,0,0,0,1,0,1
2023-12-22,GSW,WAS,0,11,6.08,3,1,2,1,0,0,0,3,1,0,0,1,1,3,-12
2023-12-28,GSW,MIA,0,-12,2.15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
2024-01-07,GSW,TOR,0,-15,6.5,3,2,2,1,0,0,0,1,0,1,0,1,1,5,10
2024-01-10,GSW,NOP,0,-36,7.92,4,1,3,1,0,0,1,1,1,0,0,0,0,3,-1
2024-01-13,GSW,MIL,1,-11,17.55,5,2,1,1,1,2,2,4,2,0,0,1,2,6,9
2024-01-15,GSW,MEM,1,-9,5.07,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
2024-01-24,GSW,ATL,0,22,2.9,2,1,1,0,0,0,1,3,0,0,0,1,0,2,2
2024-01-30,GSW,PHI,0,12,11.45,2,1,2,1,0,0,0,0,0,0,0,0,2,3,-3
2024-02-02,GSW,MEM,1,20,19.08,6,3,4,2,2,2,1,6,1,0,0,2,3,10,11
2024-02-03,GSW,ATL,1,-7,22.7,11,6,8,4,1,2,4,5,0,0,0,1,2,17,-7
2024-02-05,GSW,BRK,1,11,23.78,7,1,2,0,1,2,3,7,2,2,0,1,3,3,5
2024-02-07,GSW,PHI,1,23,24.15,7,4,7,4,1,2,0,2,4,0,0,2,4,13,4
2024-02-08,GSW,IND,1,22,26.68,7,2,3,0,2,2,0,5,5,0,1,0,3,6,12
2024-02-10,GSW,PHO,0,1,19.15,6,2,4,2,0,0,1,3,0,0,0,0,1,6,-3
2024-02-12,GSW,UTA,1,22,16.28,3,0,2,0,0,0,0,2,2,1,0,1,1,0,-8
2024-02-14,GSW,LAC,0,-5,8.02,3,1,1,0,1,2,0,2,2,0,0,0,3,3,-1
2024-02-15,GSW,UTA,1,3,16.47,2,1,2,1,3,4,0,1,4,1,0,0,1,6,10
2024-02-22,GSW,LAL,0,18,13.82,5,2,1,0,3,3,1,1,1,0,0,2,4,7,0
2024-02-23,GSW,CHO,0,13,10.27,5,2,2,0,1,2,2,4,0,0,0,0,2,5,4
2024-02-25,GSW,DEN,0,-16,14.03,4,2,2,2,0,0,2,3,1,0,0,1,1,6,-1
2024-02-27,GSW,WAS,1,11,1.48,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1
2024-02-29,GSW,NYK,1,11,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-01,GSW,TOR,1,15,22.58,6,2,5,1,1,2,1,4,1,0,0,0,0,6,13
2024-03-03,GSW,BOS,1,-52,33.2,16,7,10,3,0,0,1,5,0,0,0,1,3,17,-37
2024-03-06,GSW,MIL,0,35,4.25,2,1,2,1,0,0,0,4,0,1,0,0,0,3,9
2024-03-07,GSW,CHI,0,-3,0.03,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-09,GSW,SAS,0,-13,8.97,3,1,2,0,0,0,0,1,0,0,0,0,1,2,-11
2024-03-13,GSW,DAL,1,-10,3.88,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2
2024-03-20,GSW,MEM,0,21,3.7,2,1,2,1,1,2,0,2,1,0,0,0,0,4,1
2024-03-26,GSW,MIA,1,21,1.57,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
2024-03-29,GSW,CHO,1,18,5.27,2,0,2,0,0,0,0,1,1,0,0,0,0,0,1
2024-04-04,GSW,HOU,1,23,3.92,4,3,3,3,0,0,0,0,0,0,0,0,0,9,3
2024-04-07,GSW,UTA,0,8,2.78,3,0,1,0,0,0,0,0,0,0,0,0,0,0,-11
2024-04-09,GSW,LAL,1,14,1.78,0,0,0,0,2,2,0,1,0,0,0,0,0,2,-2
2024-04-14,GSW,UTA,0,7,17.28,11,5,7,2,0,0,1,1,3,0,0,1,3,12,9
