Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-30,MIN,ATL,1,-14,1.18,1,1,0,0,0,0,0,1,0,0,0,0,0,2,4
2023-11-08,MIN,NOP,0,21,4.9,4,2,0,0,1,2,1,2,0,0,0,0,3,5,-6
2023-11-15,MIN,PHO,1,-18,4.53,4,1,1,0,3,4,2,2,0,0,0,0,0,5,5
2023-11-22,MIN,PHI,0,13,1.93,1,0,1,0,1,2,0,1,0,0,0,1,0,1,-1
2023-12-08,MIN,MEM,1,24,3.47,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1
2023-12-20,MIN,PHI,1,-14,2.25,1,0,1,0,0,0,0,1,1,0,0,0,2,0,0
2024-01-05,MIN,HOU,1,27,3.47,4,1,2,0,0,0,1,1,0,0,0,1,1,2,0
2024-01-18,MIN,MEM,0,15,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-24,MIN,WAS,1,11,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3
2024-01-31,MIN,DAL,0,34,5.38,5,3,1,1,1,2,1,1,0,0,0,0,1,8,8
2024-02-04,MIN,HOU,0,21,4.27,2,2,1,1,0,0,0,0,0,0,0,0,1,5,-7
2024-02-08,MIN,MIL,1,24,3.12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
2024-02-13,MIN,POR,1,12,3.5,2,1,2,1,2,2,1,1,0,0,0,0,2,5,-7
2024-02-24,MIN,BRK,0,15,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-10,MIN,LAL,1,-11,10.03,5,2,3,1,4,4,2,3,1,0,0,1,3,9,-1
2024-03-16,MIN,UTA,1,19,13.1,9,4,4,1,0,0,1,3,0,0,0,0,2,9,2
2024-03-18,MIN,UTA,1,10,11.08,5,3,4,2,0,0,1,1,0,0,0,2,1,8,-13
2024-03-19,MIN,DEN,0,-3,22.4,11,4,8,2,1,2,3,6,0,2,1,0,1,11,-3
2024-03-27,MIN,DET,0,15,2.18,2,1,1,0,0,0,0,0,0,0,0,0,1,2,-2
2024-03-29,MIN,DEN,1,13,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2024-04-03,MIN,TOR,0,48,9.47,10,7,1,0,2,3,2,2,1,1,0,0,1,16,11
2024-04-05,MIN,PHO,1,-10,4.03,4,1,1,0,0,1,0,1,0,0,0,0,1,2,12
2024-04-07,MIN,LAL,1,10,1.78,1,0,1,0,0,0,1,1,0,0,0,1,2,0,-6
2024-04-10,MIN,DEN,1,-9,2.73,0,0,0,0,0,0,0,0,0,1,0,0,1,0,7
2024-04-14,MIN,PHO,0,-19,4.57,3,3,0,0,3,3,3,3,0,0,0,0,0,9,5
