Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-25,UTA,SAC,0,-16,2.42,2,1,1,0,0,0,0,0,0,0,0,0,0,2,2
2023-10-28,UTA,PHO,1,-22,6.03,4,2,1,1,0,0,0,1,0,1,0,0,0,5,4
2023-11-04,UTA,MIN,1,-28,3.78,2,1,1,0,1,1,0,2,0,0,0,0,0,3,-5
2023-11-06,UTA,CHI,1,-17,3.97,2,1,2,1,0,0,0,1,1,0,0,0,1,3,5
2023-11-14,UTA,POR,0,16,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-21,UTA,LAL,1,-32,8.82,3,0,2,0,0,0,0,3,1,0,0,1,1,0,-5
2023-11-29,UTA,MEM,1,-14,5.83,2,2,1,1,0,0,1,2,0,0,1,1,0,5,6
2023-11-30,UTA,MIN,1,-11,11.72,4,1,1,0,0,0,1,4,0,0,0,2,0,2,-2
2023-12-02,UTA,POR,0,5,11.82,5,1,2,0,0,0,1,3,0,0,1,0,3,2,1
2023-12-06,UTA,DAL,1,-50,6.65,5,1,2,0,0,0,0,1,0,0,0,0,0,2,-7
2023-12-11,UTA,OKC,1,-14,17.33,10,6,4,1,1,1,0,7,1,0,0,2,3,14,22
2023-12-18,UTA,BRK,0,17,2.03,2,2,1,1,0,0,0,1,0,0,0,0,1,5,-2
2023-12-21,UTA,DET,1,8,9.97,5,0,1,0,2,2,1,5,0,0,0,0,1,2,4
2023-12-26,UTA,SAS,1,12,2.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7
2024-01-01,UTA,DAL,0,37,3.8,4,1,0,0,0,0,1,1,0,0,0,0,0,2,1
2024-01-05,UTA,BOS,1,-29,12.0,3,1,1,0,4,5,2,5,0,0,0,2,0,6,3
2024-01-10,UTA,DEN,0,13,3.32,0,0,0,0,1,2,0,0,1,0,0,0,0,1,-5
2024-01-12,UTA,TOR,0,32,5.55,2,1,0,0,2,2,0,1,0,0,0,1,2,4,13
2024-01-15,UTA,IND,0,27,2.8,0,0,0,0,0,0,0,1,0,0,0,0,1,0,7
2024-01-23,UTA,NOP,1,-29,4.82,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-3
2024-01-25,UTA,WAS,1,15,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3
2024-01-29,UTA,BRK,1,-33,7.73,1,1,0,0,3,4,0,1,0,0,1,0,1,5,-11
2024-02-06,UTA,OKC,0,7,6.15,3,0,2,0,3,4,1,2,0,0,0,2,1,3,-4
2024-02-08,UTA,PHO,1,-14,1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-12,UTA,GSW,0,-22,2.27,0,0,0,0,0,0,0,1,0,0,0,0,1,0,-2
2024-02-14,UTA,LAL,0,-16,2.45,1,1,1,1,0,0,0,1,0,0,0,0,0,3,7
2024-02-25,UTA,SAS,0,19,2.53,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-2
2024-02-29,UTA,ORL,1,-8,11.5,6,3,3,1,1,1,0,4,0,0,0,0,2,8,-8
2024-03-02,UTA,MIA,1,-6,5.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4
2024-03-04,UTA,WAS,0,12,23.02,9,2,5,1,0,0,0,2,2,1,2,0,0,5,-11
2024-03-06,UTA,CHI,0,-2,19.48,9,3,4,1,0,0,2,3,1,0,0,2,2,7,-2
2024-03-09,UTA,DEN,1,-21,14.5,6,2,3,0,3,3,1,5,1,0,1,1,3,7,-4
2024-03-12,UTA,BOS,0,-16,14.32,4,2,1,1,2,2,1,7,1,0,0,0,0,7,5
2024-03-20,UTA,OKC,1,-12,4.12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7
2024-03-25,UTA,DAL,0,-10,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-27,UTA,SAS,0,-7,9.68,0,0,0,0,0,2,0,5,0,0,0,0,1,0,-7
2024-04-02,UTA,CLE,0,-16,18.7,6,3,4,1,5,7,0,5,1,0,1,1,1,12,-8
2024-04-05,UTA,LAC,1,-29,3.37,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-4
2024-04-07,UTA,GSW,1,-8,5.37,4,0,2,0,0,0,0,0,0,0,0,0,0,0,-4
2024-04-09,UTA,DEN,0,-16,34.87,15,6,3,1,2,2,3,10,3,0,0,1,0,15,-24
2024-04-11,UTA,HOU,0,3,33.55,17,7,7,1,7,9,3,6,2,1,0,2,2,22,7
2024-04-12,UTA,LAC,1,1,27.65,9,4,3,0,3,5,3,6,2,1,0,2,0,11,-2
2024-04-14,UTA,GSW,1,-7,28.95,11,5,5,0,4,4,1,5,2,1,0,7,4,14,-9
