Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-25,BOS,NYK,1,4,8.0,1,0,0,0,0,0,1,1,2,0,1,0,0,0,-1
2023-10-30,BOS,WAS,1,19,10.7,0,0,0,0,0,0,0,1,1,0,0,1,1,0,-11
2023-11-01,BOS,IND,0,51,6.02,1,1,0,0,0,0,1,2,0,0,0,0,0,2,7
2023-11-04,BOS,BRK,1,10,14.8,5,5,0,0,1,1,0,7,0,1,0,0,3,11,7
2023-11-06,BOS,MIN,1,-5,15.87,2,1,0,0,3,4,1,1,0,2,0,0,2,5,4
2023-11-08,BOS,PHI,1,-3,3.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3
2023-11-10,BOS,BRK,0,14,17.88,5,3,0,0,1,1,6,9,1,0,1,0,1,7,-2
2023-11-11,BOS,TOR,0,23,8.78,1,1,0,0,0,0,0,5,1,0,0,0,1,2,3
2023-11-15,BOS,PHI,1,10,19.13,4,4,0,0,1,2,3,6,1,1,0,2,2,9,-4
2023-11-20,BOS,CHO,1,-3,18.52,2,2,0,0,0,0,0,3,0,0,1,0,0,4,25
2023-11-24,BOS,ORL,1,-17,24.7,6,5,0,0,2,2,2,6,1,2,2,1,2,12,-2
2023-11-26,BOS,ATL,0,10,9.33,2,2,0,0,0,0,1,2,0,1,1,0,1,4,-6
2023-11-28,BOS,CHI,0,27,19.45,3,2,0,0,0,0,2,3,0,0,3,1,3,4,9
2023-12-01,BOS,PHI,0,6,7.58,0,0,0,0,0,0,0,1,0,0,0,0,1,0,-9
2023-12-04,BOS,IND,1,-10,16.65,5,3,0,0,0,0,4,4,2,1,4,1,2,6,-8
2023-12-08,BOS,NYK,0,10,10.85,3,2,0,0,0,0,1,1,1,0,0,0,0,4,-8
2023-12-12,BOS,CLE,0,7,8.38,3,1,0,0,2,2,3,4,0,0,0,0,0,4,2
2023-12-29,BOS,TOR,0,2,33.33,11,9,0,0,2,2,5,8,3,0,3,1,3,20,-2
2023-12-31,BOS,SAS,1,33,16.3,7,5,0,0,2,2,3,4,2,0,2,0,1,12,6
2024-01-02,BOS,OKC,1,-4,14.9,2,0,0,0,0,0,2,2,0,1,1,0,0,0,-1
2024-01-05,BOS,UTA,0,29,11.47,3,1,0,0,0,0,4,7,0,1,1,1,1,2,13
2024-01-06,BOS,IND,1,17,16.02,2,1,0,0,2,2,3,4,3,1,0,1,1,4,3
2024-01-08,BOS,IND,1,-2,10.4,4,1,0,0,3,4,2,2,2,0,2,1,2,5,-3
2024-01-10,BOS,MIN,0,7,18.3,4,3,0,0,2,2,2,5,0,0,1,0,1,8,6
2024-01-11,BOS,MIL,1,-33,9.93,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-16
2024-01-13,BOS,HOU,0,32,14.35,2,1,0,0,0,0,1,2,0,0,1,0,5,2,0
2024-01-15,BOS,TOR,1,9,17.87,2,2,0,0,0,0,0,3,0,0,1,0,1,4,12
2024-01-17,BOS,SAS,0,19,30.42,5,3,0,0,0,0,3,9,4,1,3,2,2,6,11
2024-01-19,BOS,DEN,0,-2,8.05,2,2,0,0,0,0,0,2,1,0,0,0,0,4,-1
2024-01-21,BOS,HOU,1,9,22.77,4,4,0,0,0,0,5,9,1,1,3,1,3,8,-2
2024-01-22,BOS,DAL,1,9,18.63,3,1,0,0,0,0,1,5,1,0,1,2,2,2,-4
2024-01-25,BOS,MIA,1,33,18.83,4,4,0,0,4,4,1,5,1,0,0,0,1,12,10
2024-01-27,BOS,LAC,0,-19,17.57,10,5,0,0,1,1,4,5,0,0,1,0,2,11,-15
2024-02-04,BOS,MEM,0,40,14.83,2,0,0,0,2,2,5,8,1,1,1,1,0,2,-5
2024-02-07,BOS,ATL,0,8,21.0,2,2,0,0,0,0,1,6,0,0,2,0,2,4,2
2024-02-09,BOS,WAS,0,4,11.12,0,0,0,0,0,0,0,0,0,0,1,0,2,0,4
2024-02-11,BOS,MIA,1,4,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-13,BOS,BRK,1,8,14.88,2,2,0,0,1,2,2,5,1,0,0,1,5,5,4
2024-02-14,BOS,BRK,0,50,18.55,5,4,0,0,0,0,4,8,3,1,3,0,2,8,27
2024-02-22,BOS,CHI,1,17,13.87,6,5,0,0,0,0,4,4,2,1,0,0,1,10,10
2024-02-24,BOS,NYK,1,14,9.53,1,1,0,0,0,0,0,2,0,0,0,0,0,2,-4
2024-02-27,BOS,PHI,0,18,11.1,0,0,0,0,2,2,0,1,0,0,0,0,3,2,0
2024-03-03,BOS,GSW,0,52,10.55,2,1,0,0,0,0,1,3,0,0,1,0,0,2,14
2024-03-05,BOS,CLE,1,-1,15.63,4,2,0,0,0,0,0,3,1,0,2,0,1,4,-2
2024-03-09,BOS,PHO,1,10,19.8,7,6,0,0,2,2,3,6,0,0,1,0,2,14,12
2024-03-11,BOS,POR,1,22,21.07,3,3,0,0,0,0,3,5,2,0,2,1,0,6,10
2024-03-12,BOS,UTA,1,16,28.22,7,4,0,0,4,4,4,9,6,0,1,0,2,12,10
2024-03-14,BOS,PHO,0,15,11.57,2,1,0,0,0,0,0,1,1,1,0,0,1,2,6
2024-03-17,BOS,WAS,1,26,20.05,9,5,0,0,4,4,3,6,1,0,2,1,1,14,9
2024-03-18,BOS,DET,0,25,27.77,4,2,0,0,0,0,6,10,0,2,3,0,1,4,9
2024-03-20,BOS,MIL,0,3,9.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2024-03-22,BOS,DET,1,27,17.18,2,1,0,0,1,2,1,3,4,0,1,0,2,3,-1
2024-03-23,BOS,CHI,1,11,30.63,5,4,0,0,0,0,5,13,4,0,2,1,2,8,3
2024-03-25,BOS,ATL,1,-2,9.67,2,2,0,0,0,0,0,0,0,0,0,0,0,4,4
2024-03-28,BOS,ATL,1,-1,13.02,1,1,0,0,2,2,1,3,0,1,0,0,0,4,3
2024-04-01,BOS,CHO,1,14,13.2,2,2,0,0,0,0,1,4,1,1,0,0,0,4,1
2024-04-03,BOS,OKC,0,35,3.58,1,1,0,0,0,0,0,1,0,1,0,0,0,2,8
2024-04-05,BOS,SAC,0,1,18.33,4,3,0,0,0,0,2,5,1,1,2,0,1,6,7
2024-04-07,BOS,POR,0,17,18.55,1,1,0,0,0,0,3,5,1,0,0,0,0,2,5
2024-04-09,BOS,MIL,1,-13,20.93,3,3,1,1,0,0,1,2,1,0,0,0,1,7,-8
2024-04-11,BOS,NYK,0,-9,6.73,2,1,0,0,0,0,1,2,0,0,1,1,0,2,15
2024-04-12,BOS,CHO,0,33,24.63,10,7,0,0,2,2,3,10,3,0,0,0,3,16,30
2024-04-14,BOS,WAS,0,10,27.12,5,4,0,0,3,3,3,8,5,0,3,0,0,11,18
