Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-26,MIL,PHI,0,1,31.05,4,2,1,1,0,0,0,4,3,2,0,2,1,5,-5
2023-10-29,MIL,ATL,0,-17,31.63,12,6,10,4,2,4,1,4,1,2,0,2,3,18,-26
2023-10-30,MIL,MIA,0,8,31.9,8,2,6,1,0,2,0,3,2,2,0,2,3,5,-10
2023-11-01,MIL,TOR,1,-19,25.25,10,7,9,6,0,0,0,2,0,2,0,0,2,20,-23
2023-11-03,MIL,NYK,0,5,22.37,2,0,1,0,0,0,0,3,3,0,0,0,2,0,6
2023-11-06,MIL,BRK,1,4,14.0,5,1,5,1,0,0,0,6,0,0,0,1,2,3,-9
2023-11-08,MIL,DET,0,2,24.92,6,4,2,1,1,1,2,6,2,1,0,0,0,10,24
2023-11-09,MIL,IND,1,-2,28.77,10,4,6,3,2,2,1,4,2,1,0,0,2,13,-10
2023-11-11,MIL,ORL,1,-15,20.22,4,0,3,0,0,0,0,2,1,0,0,1,3,0,-6
2023-11-13,MIL,CHI,0,9,20.98,6,3,6,3,0,0,1,2,0,0,0,0,3,9,-9
2023-11-15,MIL,TOR,1,16,31.07,14,11,11,8,0,0,0,4,0,1,0,0,2,30,34
2023-11-17,MIL,CHO,1,31,29.73,12,7,10,6,0,0,0,2,3,0,0,0,4,20,31
2023-11-18,MIL,DAL,0,7,33.85,9,3,6,1,0,0,0,6,0,1,0,0,3,7,5
2023-11-20,MIL,WAS,1,13,33.27,9,5,5,3,3,3,1,5,2,0,0,0,0,16,20
2023-11-22,MIL,BOS,1,-3,22.57,3,2,3,2,0,0,0,3,3,2,0,1,1,6,3
2023-11-24,MIL,WAS,0,3,27.0,8,4,4,1,0,0,4,11,1,0,1,2,3,9,4
2023-11-26,MIL,POR,0,6,36.12,14,5,11,4,0,0,1,6,0,3,0,2,1,14,16
2023-11-28,MIL,MIA,1,7,37.78,11,6,8,4,0,0,0,10,1,0,2,0,1,16,16
2023-11-30,MIL,CHI,1,-7,41.03,19,7,15,5,0,0,0,3,3,2,0,1,2,19,1
2023-12-02,MIL,ATL,0,11,39.37,11,6,7,4,0,0,1,4,3,1,0,2,1,16,2
2023-12-05,MIL,NYK,0,24,32.75,11,6,10,6,0,0,0,3,0,0,0,0,4,18,16
2023-12-07,MIL,IND,0,-9,36.27,9,3,4,1,0,0,1,3,1,0,0,0,2,7,6
2023-12-11,MIL,CHI,0,4,39.63,11,7,8,5,0,0,0,4,2,1,0,0,2,19,6
