Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-25,SAC,UTA,1,16,23.13,12,4,9,2,0,0,1,2,7,0,2,2,2,10,12
2023-10-27,SAC,GSW,0,-8,17.95,4,2,2,1,4,4,0,0,6,0,1,2,2,9,-6
2023-10-29,SAC,LAL,0,5,24.7,17,7,9,4,4,5,1,3,3,0,0,2,1,22,0
2023-11-01,SAC,GSW,1,-1,24.65,9,5,5,3,3,3,3,3,2,0,2,3,1,16,1
2023-11-04,SAC,HOU,1,-18,25.7,13,6,7,3,3,4,0,3,7,0,1,1,1,18,-9
2023-11-06,SAC,HOU,1,-25,14.65,6,2,3,1,0,0,0,1,2,1,0,1,3,5,-16
2023-11-08,SAC,POR,0,3,29.87,16,4,7,0,15,19,2,6,10,1,0,5,0,23,8
2023-11-10,SAC,OKC,0,7,28.67,12,5,5,2,0,0,0,2,8,1,0,2,3,12,7
2023-11-13,SAC,CLE,0,12,25.63,8,4,5,3,2,2,1,5,4,1,1,2,2,13,10
2023-11-15,SAC,LAL,1,15,20.52,8,1,5,1,0,0,0,5,5,1,0,3,1,3,-6
2023-11-17,SAC,SAS,1,9,25.52,11,7,9,6,0,0,1,4,8,1,0,1,3,20,13
2023-11-19,SAC,DAL,1,16,18.0,9,4,6,4,0,0,0,2,3,1,1,2,2,12,9
2023-11-20,SAC,NOP,1,-36,24.4,11,3,6,2,0,0,0,0,5,0,0,1,2,8,-16
2023-11-22,SAC,NOP,1,-5,25.88,8,2,6,1,5,5,0,4,5,2,0,2,2,10,-2
2023-11-24,SAC,MIN,1,13,29.65,14,6,6,3,2,2,0,2,0,1,0,3,2,17,11
2023-11-28,SAC,GSW,0,1,25.93,15,8,7,3,2,2,1,3,1,1,1,3,2,21,12
2023-11-29,SAC,LAC,0,-14,27.62,8,3,5,2,7,7,0,4,2,0,0,2,1,15,-8
2023-12-02,SAC,DEN,0,6,28.1,14,9,7,4,4,4,0,3,4,2,0,3,1,26,12
2023-12-04,SAC,NOP,0,-10,32.43,14,7,9,5,2,2,1,3,5,2,0,3,0,21,-17
2023-12-08,SAC,PHO,1,8,27.87,10,5,7,3,0,0,0,2,6,0,0,2,2,13,18
2023-12-11,SAC,BRK,0,13,27.98,13,8,7,4,1,1,1,2,9,1,0,2,0,21,12
2023-12-12,SAC,LAC,1,-20,21.63,8,3,5,2,0,0,0,0,5,0,0,4,4,8,-20
2023-12-14,SAC,OKC,0,5,32.77,15,7,8,4,0,0,0,1,9,0,1,4,2,18,12
2023-12-16,SAC,UTA,0,21,26.07,16,6,12,4,2,2,0,4,8,0,1,1,0,18,-3
2023-12-18,SAC,WAS,0,12,21.58,7,3,6,3,1,2,0,1,6,0,1,1,3,10,3
2023-12-20,SAC,BOS,0,-25,25.05,10,3,4,0,4,4,0,2,5,0,0,1,1,10,-7
2023-12-22,SAC,PHO,0,15,20.45,8,3,3,0,1,2,0,2,5,0,3,2,4,7,-3
2023-12-26,SAC,POR,1,-17,18.93,11,3,7,1,0,0,0,1,4,0,1,0,2,7,-21
2023-12-29,SAC,ATL,1,7,30.68,10,6,5,2,1,1,0,4,8,1,1,5,3,15,18
2023-12-31,SAC,MEM,1,31,21.02,13,10,5,4,3,3,0,4,5,0,0,0,1,27,16
2024-01-02,SAC,CHO,0,-7,20.0,7,2,5,2,0,0,1,3,2,0,1,1,2,6,-21
2024-01-03,SAC,ORL,0,3,46.05,20,12,13,7,6,8,0,3,9,2,1,3,5,37,14
2024-01-05,SAC,TOR,0,5,31.9,16,6,9,3,0,1,0,1,9,1,0,1,4,15,10
2024-01-07,SAC,NOP,0,-33,20.58,9,2,6,2,0,0,0,1,5,1,1,1,1,6,-26
2024-01-09,SAC,DET,1,21,28.05,15,9,6,2,0,0,0,2,9,1,2,3,5,20,18
