Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-25,CHO,ATL,0,6,29.92,6,5,0,0,3,3,4,15,1,3,1,2,2,13,19
2023-10-27,CHO,DET,0,-12,20.7,4,1,0,0,0,0,2,3,1,0,1,1,5,2,-17
2023-10-30,CHO,BRK,0,-12,23.22,8,8,0,0,2,2,1,7,1,0,0,1,1,18,-7
2023-11-01,CHO,HOU,1,-9,25.28,4,3,0,0,3,6,3,6,1,2,2,1,0,9,-1
2023-11-04,CHO,IND,1,1,30.05,12,9,0,0,9,9,4,7,1,2,2,3,2,27,-3
2023-11-05,CHO,DAL,1,-6,27.28,8,8,0,0,3,6,2,10,1,0,0,2,3,19,-1
2023-11-08,CHO,WAS,0,-16,18.33,5,5,0,0,4,6,2,7,0,0,1,1,4,14,2
2023-11-10,CHO,WAS,1,7,29.77,21,10,0,0,1,2,15,24,3,0,0,0,0,21,19
2023-11-12,CHO,NYK,1,-22,23.47,5,4,0,0,2,2,2,4,2,2,0,1,3,10,-22
2023-11-14,CHO,MIA,0,-6,23.02,5,5,0,0,1,4,4,7,0,1,0,0,2,11,-11
2023-11-17,CHO,MIL,0,-31,31.77,7,4,0,0,3,4,6,16,2,1,0,0,1,11,-14
2023-11-18,CHO,NYK,0,-14,30.23,5,3,0,0,1,2,2,8,4,0,1,1,3,7,-1
2023-11-20,CHO,BOS,0,3,32.87,14,8,0,0,2,2,8,16,2,1,3,1,4,18,33
2023-11-22,CHO,WAS,0,3,34.57,10,4,0,0,3,6,5,15,0,0,3,0,4,11,6
2023-11-26,CHO,ORL,1,-13,21.78,6,5,0,0,2,2,1,6,1,1,1,1,4,12,-11
2023-11-28,CHO,NYK,1,-24,25.17,9,5,0,0,2,2,6,12,0,1,0,0,2,12,-7
2023-11-30,CHO,BRK,1,1,31.63,12,5,0,0,2,2,5,12,1,1,3,0,2,12,-2
2023-12-02,CHO,MIN,0,-6,29.05,6,4,0,0,3,4,2,6,0,0,0,1,6,11,-8
2023-12-08,CHO,TOR,0,3,20.27,4,2,0,0,0,0,2,3,1,1,2,1,2,4,5
