Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-24,LAL,DEN,1,-12,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-04,LAL,ORL,1,-19,4.07,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-3
2023-11-08,LAL,HOU,1,-34,7.8,2,0,0,0,0,0,0,1,0,0,0,0,0,0,-5
2023-11-14,LAL,MEM,0,27,5.02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2023-11-15,LAL,SAC,0,-15,1.43,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-4
2023-11-17,LAL,POR,1,12,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-27,LAL,PHI,1,-44,8.3,1,0,0,0,0,0,1,1,0,0,0,2,0,0,-17
2023-11-29,LAL,DET,1,26,7.37,0,0,0,0,0,0,0,0,2,2,0,0,1,0,-3
2023-11-30,LAL,OKC,1,-23,4.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5
2023-12-02,LAL,HOU,0,10,2.9,1,0,1,0,0,0,0,0,0,0,0,0,1,0,-7
2023-12-07,LAL,NOP,0,44,8.25,4,1,2,1,0,0,0,1,1,0,0,1,0,3,6
2023-12-20,LAL,CHI,1,-16,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-19,LAL,BRK,0,-18,2.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-21,LAL,POR,0,24,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2024-01-23,LAL,LAC,1,-11,0.92,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0
2024-01-29,LAL,HOU,1,-16,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-30,LAL,ATL,1,-16,3.35,1,1,0,0,0,0,0,0,0,0,0,0,1,2,2
2024-02-01,LAL,BOS,1,9,0.77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-13,LAL,DET,0,14,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3
2024-02-23,LAL,SAS,0,5,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4
2024-03-04,LAL,OKC,0,12,3.57,0,0,0,0,0,0,0,0,0,0,0,2,1,0,-11
2024-03-06,LAL,SAC,0,-10,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-10,LAL,MIN,0,11,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2024-03-13,LAL,SAC,1,-13,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-18,LAL,ATL,0,31,5.08,1,0,1,0,0,0,0,0,2,0,0,0,0,0,-3
2024-03-27,LAL,MEM,1,12,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2024-03-29,LAL,IND,1,-19,2.13,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-31,LAL,BRK,1,12,2.95,1,0,1,0,0,0,0,0,0,0,1,1,0,0,-4
2024-04-02,LAL,TOR,1,17,6.1,4,1,1,0,0,0,1,1,0,0,0,0,0,2,-12
2024-04-03,LAL,WAS,1,5,1.05,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-8
2024-04-06,LAL,CLE,0,19,1.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2024-04-07,LAL,MIN,0,-10,2.05,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6
2024-04-09,LAL,GSW,0,-14,1.78,0,0,0,0,2,3,0,0,1,0,0,0,1,2,2
2024-04-14,LAL,NOP,1,16,2.07,1,0,1,0,0,0,0,0,0,0,0,1,0,0,-5
