Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-12-14,UTA,POR,1,8,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12
2023-12-16,UTA,SAC,1,-21,4.37,1,0,1,0,0,0,0,4,0,0,0,0,0,0,-1
2024-03-12,UTA,BOS,0,-16,12.87,3,3,2,2,0,0,0,2,0,0,0,0,1,8,-5
2024-03-15,UTA,ATL,0,2,14.18,4,4,2,2,1,1,1,2,1,0,0,0,1,11,3
2024-03-16,UTA,MIN,0,-19,12.9,1,0,0,0,2,2,1,3,0,0,0,0,0,2,9
2024-03-20,UTA,OKC,1,-12,15.1,2,1,2,1,0,0,0,3,1,0,1,2,2,3,-1
2024-03-21,UTA,DAL,1,-16,6.88,2,1,1,0,0,0,0,1,0,0,0,0,0,2,-6
2024-03-23,UTA,HOU,1,-28,17.67,2,0,2,0,0,0,2,3,0,0,0,0,0,0,-4
2024-03-25,UTA,DAL,0,-10,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-27,UTA,SAS,0,-7,5.85,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-4
2024-03-29,UTA,HOU,0,-1,13.33,2,0,1,0,0,0,1,4,0,0,0,0,1,0,5
2024-03-31,UTA,SAC,1,-21,19.77,4,3,2,2,0,0,0,4,0,1,1,1,0,8,1
2024-04-05,UTA,LAC,1,-29,8.97,2,0,1,0,2,2,0,2,0,2,1,1,2,2,3
2024-04-07,UTA,GSW,1,-8,20.92,8,2,3,0,1,1,3,5,3,1,1,0,1,5,-9
2024-04-11,UTA,HOU,0,3,8.2,2,1,1,0,0,0,0,1,0,0,0,0,1,2,-5
2024-04-14,UTA,GSW,1,-7,21.35,7,4,3,2,0,2,2,8,1,0,2,1,5,10,-2
