Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-24,DEN,LAL,0,12,30.13,13,5,9,2,0,0,2,12,2,2,0,0,1,12,12
2023-10-27,DEN,MEM,1,4,28.87,7,3,5,2,1,1,1,13,3,0,0,1,4,9,4
2023-10-29,DEN,OKC,1,33,24.65,14,8,7,4,0,0,3,9,2,0,0,1,3,20,12
2023-10-30,DEN,UTA,0,8,18.6,8,3,6,2,0,0,0,1,2,0,1,1,3,8,2
2023-11-01,DEN,MIN,1,-21,25.07,11,2,5,0,1,1,2,5,1,1,1,0,0,5,-19
2023-11-03,DEN,DAL,0,11,34.45,18,10,8,4,0,0,5,9,1,0,2,1,2,24,17
2023-11-04,DEN,CHI,0,22,30.82,16,9,10,5,4,5,1,6,2,1,2,2,4,27,30
2023-11-06,DEN,NOP,0,18,28.62,16,8,6,2,4,4,2,9,3,0,0,1,2,22,13
2023-11-08,DEN,GSW,0,3,36.9,17,7,8,3,0,0,2,8,2,0,2,0,1,17,13
2023-11-12,DEN,HOU,1,-3,37.72,19,11,10,3,0,0,2,10,0,0,1,2,3,25,2
2023-11-14,DEN,LAC,0,3,34.43,11,4,8,2,0,2,1,5,0,1,1,2,3,10,4
2023-11-17,DEN,NOP,1,-5,32.88,14,8,6,2,0,1,3,11,0,0,0,0,3,18,-15
2023-11-19,DEN,CLE,1,-12,27.38,15,7,9,5,2,2,1,6,0,1,0,2,2,21,-31
2023-11-20,DEN,DET,1,4,38.27,15,5,9,4,0,1,2,11,2,0,1,4,3,14,-1
2023-11-22,DEN,ORL,1,-5,30.68,16,9,9,5,2,2,0,2,0,1,0,0,4,25,5
2023-11-24,DEN,HOU,1,-19,37.17,14,6,8,2,0,0,1,7,1,1,2,1,1,14,-8
2023-11-26,DEN,SAS,0,12,32.87,14,8,9,4,5,6,1,7,2,0,1,3,0,25,15
2023-11-27,DEN,LAC,1,9,28.92,13,3,7,2,0,0,3,10,3,0,0,1,5,8,4
2023-11-29,DEN,HOU,0,10,33.82,17,11,12,7,1,3,2,10,5,1,0,0,2,30,26
2023-12-01,DEN,PHO,1,8,36.52,16,8,4,0,3,3,1,10,4,2,1,2,1,19,8
2023-12-02,DEN,SAC,1,-6,32.57,12,6,5,1,0,0,0,8,2,0,2,1,1,13,-6
2023-12-06,DEN,LAC,1,-9,33.57,8,7,5,4,0,0,3,9,0,0,1,2,2,18,4
2023-12-08,DEN,HOU,0,-8,39.6,12,8,6,3,1,1,1,8,0,0,2,2,3,20,11
2023-12-11,DEN,ATL,1,7,26.4,11,1,4,0,1,2,2,7,3,0,0,1,3,3,12
2023-12-12,DEN,CHI,1,8,31.63,16,6,8,2,3,4,0,7,0,1,0,0,1,17,3
2023-12-14,DEN,BRK,0,23,23.42,8,3,4,1,2,2,2,6,1,1,0,0,0,9,11
2023-12-16,DEN,OKC,0,-1,32.42,18,8,8,4,0,0,0,11,0,0,0,1,0,20,1
2023-12-18,DEN,DAL,0,26,22.68,8,3,3,2,0,0,2,4,1,0,0,2,1,8,13
2023-12-20,DEN,TOR,1,9,32.63,13,5,7,2,0,0,1,6,2,1,0,0,1,12,10
2023-12-22,DEN,BRK,1,5,34.1,10,6,5,3,0,0,0,4,3,0,1,1,1,15,13
2023-12-23,DEN,CHO,1,7,30.53,14,8,8,5,1,2,1,5,1,1,2,1,2,22,15
2023-12-25,DEN,GSW,0,6,40.48,17,8,10,3,0,0,0,10,1,0,4,0,1,19,23
2023-12-28,DEN,MEM,0,37,22.77,6,3,3,2,0,0,0,4,0,0,1,2,3,8,28
2023-12-29,DEN,OKC,0,-26,30.78,12,4,8,2,2,2,0,6,1,0,1,0,1,12,-10
2024-01-01,DEN,CHO,0,18,30.5,17,8,11,4,2,2,1,8,1,0,0,1,1,22,33
2024-01-04,DEN,GSW,1,3,30.48,6,3,5,2,0,0,0,4,0,0,0,0,3,8,5
2024-01-05,DEN,ORL,0,-2,30.95,14,9,6,4,0,0,0,3,1,2,0,0,2,22,6
2024-01-07,DEN,DET,0,17,28.07,12,7,5,1,3,3,0,1,2,0,0,1,1,18,29
2024-01-10,DEN,UTA,1,-13,24.03,9,2,3,1,0,0,1,4,1,0,0,1,2,5,-18
2024-01-12,DEN,NOP,0,12,33.38,12,8,5,2,2,3,1,10,1,1,1,1,2,20,14
2024-01-14,DEN,IND,0,8,36.83,15,9,11,7,0,0,0,8,5,1,2,1,1,25,13
2024-01-16,DEN,PHI,1,-5,33.78,12,6,8,4,4,5,0,5,0,1,0,1,3,20,-12
