Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2022-10-19,PHO,DAL,0,2,41.08,10,5,2,0,3,4,3,11,1,0,1,2,4,13,15
2022-10-21,PHO,POR,1,-2,37.68,10,6,0,0,1,2,2,7,6,1,0,3,4,13,6
2022-10-23,PHO,LAC,1,17,36.48,9,3,3,1,0,0,1,4,4,0,1,1,3,7,9
2022-10-25,PHO,GSW,0,29,32.9,8,7,0,0,3,3,3,6,2,1,2,1,3,17,21
2022-10-28,PHO,NOP,0,13,31.13,13,10,5,3,4,4,0,2,4,1,3,1,1,27,-1
2022-10-30,PHO,HOU,0,15,32.8,7,5,3,2,3,4,1,5,1,0,1,1,3,15,12
2022-11-01,PHO,MIN,0,9,38.2,10,7,2,1,4,4,2,3,4,1,1,1,1,19,20
2022-11-04,PHO,POR,0,-2,37.72,9,4,3,2,2,2,0,5,2,2,0,1,2,12,7
2022-11-05,PHO,POR,0,20,27.0,7,3,2,1,4,5,0,1,2,2,1,0,0,11,18
2022-11-07,PHO,PHI,1,-12,43.52,12,6,2,1,2,2,0,5,1,0,1,0,1,15,-14
2022-11-09,PHO,MIN,1,12,42.32,20,12,6,2,5,5,2,9,5,4,1,2,1,31,12
2022-11-11,PHO,ORL,1,-17,37.63,13,3,6,2,0,0,1,4,6,0,0,1,2,8,-16
2022-11-14,PHO,MIA,1,-1,40.87,14,7,3,1,0,0,1,5,2,1,1,1,1,15,-1
2022-11-16,PHO,GSW,0,11,41.78,11,6,8,5,6,6,2,9,9,1,0,2,3,23,23
2022-11-18,PHO,UTA,1,-1,34.78,12,6,2,0,1,2,0,6,2,2,3,2,3,13,0
2022-11-20,PHO,NYK,0,21,32.63,11,6,3,1,0,0,1,6,5,2,1,1,1,13,16
2022-11-22,PHO,LAL,0,10,41.4,17,10,7,5,0,0,0,6,3,1,1,0,3,25,6
2022-11-25,PHO,DET,0,6,34.67,17,6,6,3,0,0,1,2,2,2,0,1,4,15,3
2022-11-26,PHO,UTA,0,1,40.88,10,7,1,0,2,2,0,3,2,1,0,0,2,16,3
2022-11-28,PHO,SAC,1,5,40.48,14,6,6,1,0,1,2,8,7,3,3,2,0,13,-3
2022-11-30,PHO,CHI,0,19,38.42,13,3,4,0,2,2,2,4,3,0,2,0,3,8,13
2022-12-02,PHO,HOU,0,-1,36.52,16,8,7,3,3,3,2,8,2,1,0,3,5,22,4
2022-12-04,PHO,SAS,1,38,25.53,11,7,7,6,0,0,1,4,3,0,0,0,2,20,30
2022-12-05,PHO,DAL,1,-19,29.58,11,4,6,2,3,3,0,2,2,0,0,1,1,13,-14
2022-12-07,PHO,BOS,0,-27,27.67,12,2,5,0,0,0,1,3,0,1,0,1,1,4,-33
2022-12-09,PHO,NOP,1,-11,35.27,12,4,5,3,0,0,2,5,3,2,0,1,5,11,-7
2022-12-11,PHO,NOP,1,-5,44.57,23,10,13,5,2,2,3,5,3,2,0,1,1,27,-9
2022-12-13,PHO,HOU,1,-14,38.07,24,4,10,2,8,8,1,3,3,2,0,1,3,18,-14
2022-12-15,PHO,LAC,1,16,39.12,18,11,5,2,3,4,1,6,0,1,2,1,1,27,8
2022-12-17,PHO,NOP,0,4,37.23,13,5,9,3,2,2,0,3,2,3,0,0,0,15,11
