Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-28,MIA,MIN,1,-16,3.55,2,0,0,0,0,0,0,1,0,0,1,0,0,0,2
2023-10-30,MIA,MIL,1,-8,26.02,7,4,1,1,2,2,2,7,7,1,0,3,4,11,4
2023-11-20,MIA,CHI,1,18,2.47,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-6
2023-11-22,MIA,CLE,1,33,27.53,9,6,1,1,1,2,4,9,2,1,2,2,4,14,22
2023-11-30,MIA,IND,0,10,7.13,2,1,0,0,0,0,0,2,0,0,0,0,1,2,5
2023-12-02,MIA,IND,0,-15,29.15,11,7,2,2,0,0,1,5,3,0,0,1,1,16,-6
2023-12-06,MIA,TOR,1,9,33.47,9,5,3,2,3,3,3,12,4,3,1,1,3,15,27
2023-12-08,MIA,CLE,0,-12,19.95,3,2,0,0,1,1,2,8,3,0,1,1,3,5,-18
2023-12-11,MIA,CHO,1,2,22.48,5,2,2,1,2,4,1,6,2,0,2,1,5,7,-7
2023-12-13,MIA,CHO,0,11,12.3,5,3,0,0,0,0,2,4,1,0,0,3,2,6,3
2023-12-14,MIA,CHI,0,-8,14.4,2,0,1,0,1,2,2,2,0,0,0,1,2,1,-13
2023-12-16,MIA,CHI,0,2,11.03,4,1,2,0,0,0,1,2,1,0,0,0,2,2,-1
2023-12-20,MIA,ORL,1,9,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5
2024-01-01,MIA,LAC,1,-17,2.92,0,0,0,0,1,2,0,1,1,0,0,0,0,1,3
2024-01-03,MIA,LAL,1,14,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-14,MIA,CHO,0,17,2.17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1
2024-01-17,MIA,TOR,1,-24,2.35,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3
2024-01-21,MIA,ORL,1,-18,3.02,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4
2024-01-25,MIA,BOS,0,-33,6.62,1,0,0,0,3,4,1,2,0,0,0,0,0,3,-1
2024-01-27,MIA,NYK,1,-16,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2024-02-06,MIA,ORL,0,26,3.12,1,0,1,0,0,0,0,1,0,0,0,0,0,0,2
2024-02-07,MIA,SAS,0,12,2.43,0,0,0,0,2,2,0,1,0,0,0,0,2,2,-5
2024-02-11,MIA,BOS,0,-4,0.07,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0
2024-02-13,MIA,MIL,1,26,4.48,1,1,0,0,0,0,0,2,0,1,0,1,0,2,-3
2024-02-29,MIA,DEN,1,-6,12.32,0,0,0,0,0,0,1,3,1,0,0,1,0,0,-3
2024-03-02,MIA,UTA,0,6,13.78,2,0,1,0,0,0,1,4,0,1,0,0,4,0,4
2024-03-05,MIA,DET,0,8,7.55,3,1,0,0,0,0,2,5,1,0,0,2,0,2,2
2024-03-10,MIA,WAS,0,-2,2.7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4
2024-03-20,MIA,CLE,1,3,12.62,4,3,1,1,1,1,2,2,2,0,0,0,0,8,4
2024-03-22,MIA,NOP,0,-23,3.77,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0
2024-03-24,MIA,CLE,0,37,5.42,1,0,0,0,0,0,1,1,1,0,0,0,0,0,-2
2024-03-26,MIA,GSW,0,-21,1.57,0,0,0,0,0,0,1,1,0,0,0,1,0,0,-5
2024-03-31,MIA,WAS,1,12,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2024-04-10,MIA,DAL,0,-19,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-12,MIA,TOR,0,22,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2024-04-14,MIA,TOR,0,15,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8
