Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-24,DEN,LAL,0,12,10.83,3,1,3,1,0,0,0,0,0,0,1,1,1,3,1
2023-10-27,DEN,MEM,1,4,18.1,4,3,3,2,1,2,0,3,0,1,3,1,3,9,-4
2023-10-29,DEN,OKC,1,33,21.6,11,8,3,1,0,0,1,4,1,1,1,0,1,17,11
2023-10-30,DEN,UTA,0,8,15.02,4,2,1,0,1,2,0,2,0,0,1,0,0,5,0
2023-11-01,DEN,MIN,1,-21,15.52,3,2,1,0,0,0,0,2,1,0,0,2,2,4,-6
2023-11-03,DEN,DAL,0,11,12.5,4,1,1,0,1,2,2,3,1,0,2,0,2,3,-14
2023-11-04,DEN,CHI,0,22,18.38,3,1,1,0,0,0,0,2,2,2,0,2,2,2,-8
2023-11-06,DEN,NOP,0,18,18.67,3,2,0,0,0,0,0,3,1,2,2,0,0,4,15
2023-11-08,DEN,GSW,0,3,10.6,2,1,0,0,0,0,0,0,0,0,0,0,0,2,-8
2023-11-12,DEN,HOU,1,-3,7.18,2,0,0,0,0,0,0,0,1,0,1,0,2,0,-6
2023-11-14,DEN,LAC,0,3,11.03,2,2,0,0,0,0,0,0,0,0,0,0,1,4,2
2023-11-17,DEN,NOP,1,-5,11.42,3,1,1,0,1,2,2,3,1,0,0,2,2,3,-2
2023-11-20,DEN,DET,1,4,13.4,2,1,0,0,2,2,0,1,2,0,2,1,1,4,5
2023-11-22,DEN,ORL,1,-5,10.32,1,1,0,0,0,2,1,1,0,0,0,0,1,2,-9
2023-11-24,DEN,HOU,1,-19,5.78,3,0,1,0,0,0,1,1,0,0,1,0,1,0,-18
2023-11-26,DEN,SAS,0,12,21.6,6,2,2,0,0,0,1,4,2,1,2,1,1,4,5
2023-11-27,DEN,LAC,1,9,23.52,7,4,0,0,0,2,0,3,1,2,1,1,0,8,2
2023-12-01,DEN,PHO,1,8,25.48,9,4,2,0,0,0,0,3,0,0,0,0,5,8,5
2023-12-02,DEN,SAC,1,-6,14.05,1,1,0,0,2,2,0,1,1,1,2,0,2,4,8
2023-12-06,DEN,LAC,1,-9,16.3,3,0,2,0,2,2,0,3,3,1,1,1,1,2,-15
2023-12-08,DEN,HOU,0,-8,25.6,9,4,1,0,5,5,1,4,2,0,0,1,3,13,4
2023-12-11,DEN,ATL,1,7,20.23,2,1,0,0,1,2,1,2,0,0,1,0,2,3,-7
2023-12-12,DEN,CHI,1,8,22.72,6,1,0,0,2,2,1,1,1,1,1,1,1,4,7
2023-12-14,DEN,BRK,0,23,24.13,10,7,5,2,2,3,3,7,5,1,1,1,3,18,7
2023-12-16,DEN,OKC,0,-1,16.3,8,5,2,2,1,2,1,4,0,0,0,1,5,13,3
2023-12-18,DEN,DAL,0,26,23.75,5,3,3,2,2,4,1,7,3,1,1,0,1,10,8
2023-12-20,DEN,TOR,1,9,17.82,6,5,1,1,0,0,1,4,1,1,1,0,1,11,-5
2023-12-22,DEN,BRK,1,5,19.57,5,4,2,1,0,1,0,3,0,0,0,0,2,9,-14
2023-12-23,DEN,CHO,1,7,16.77,2,1,1,0,0,0,0,3,0,1,1,1,2,2,-3
2023-12-25,DEN,GSW,0,6,20.52,5,2,2,1,0,0,0,0,1,0,0,2,2,5,-11
2023-12-28,DEN,MEM,0,37,23.0,14,6,10,4,4,4,0,5,2,0,0,0,1,20,28
2023-12-29,DEN,OKC,0,-26,32.35,12,6,6,1,1,2,0,2,2,1,2,1,4,14,-7
2024-01-01,DEN,CHO,0,18,19.23,6,3,4,2,0,0,0,4,1,1,1,0,2,8,-5
2024-01-04,DEN,GSW,1,3,19.2,10,6,4,2,5,6,1,5,0,0,0,0,1,19,7
2024-01-05,DEN,ORL,0,-2,12.77,6,2,2,0,0,0,1,1,0,0,0,0,4,4,-16
2024-01-07,DEN,DET,0,17,23.37,10,4,4,2,5,5,1,6,1,1,1,0,0,15,7
2024-01-10,DEN,UTA,1,-13,17.27,8,1,5,1,0,0,1,2,0,0,0,0,1,3,-12
2024-01-12,DEN,NOP,0,12,15.08,7,3,4,2,0,0,1,3,0,1,1,0,1,8,9
2024-01-14,DEN,IND,0,8,13.65,3,0,0,0,0,0,0,3,0,1,0,0,3,0,-1
2024-01-16,DEN,PHI,1,-5,11.3,4,1,2,1,2,2,1,1,2,0,0,0,0,5,-8
2024-01-19,DEN,BOS,1,2,20.58,11,4,6,1,0,0,0,2,0,0,2,0,2,9,7
2024-01-21,DEN,WAS,1,9,12.72,2,1,0,0,0,1,0,3,2,0,3,2,0,2,-2
2024-01-23,DEN,IND,1,5,18.65,4,2,2,1,2,2,0,2,0,1,2,2,1,7,-3
2024-01-25,DEN,NYK,1,-38,23.13,8,3,4,0,1,2,1,4,3,0,2,2,2,7,-12
2024-01-27,DEN,PHI,0,6,20.85,7,3,3,0,3,6,0,3,3,1,1,0,1,9,-6
2024-01-29,DEN,MIL,0,6,23.08,4,3,0,0,0,0,0,4,2,1,0,0,3,6,14
2024-01-31,DEN,OKC,1,-5,20.92,10,3,4,1,2,2,2,4,1,2,1,2,4,9,13
2024-02-02,DEN,POR,0,12,21.8,8,6,2,2,0,0,1,5,0,0,1,0,4,14,0
2024-02-04,DEN,POR,0,9,29.88,6,5,3,2,0,0,3,6,1,2,1,1,1,12,14
2024-02-08,DEN,LAL,1,8,24.75,6,2,3,1,0,0,1,4,2,0,0,1,2,5,-3
2024-02-09,DEN,SAC,1,-29,20.13,4,2,1,0,0,0,1,3,1,1,3,4,3,4,-10
2024-02-12,DEN,MIL,1,-17,21.1,6,2,2,0,1,1,1,4,1,0,0,0,2,5,-9
2024-02-14,DEN,SAC,0,-4,15.63,4,1,1,1,0,0,1,4,1,1,1,2,2,3,-4
2024-02-22,DEN,WAS,0,20,22.15,5,3,1,1,4,5,2,5,1,1,4,4,1,11,4
2024-02-23,DEN,POR,1,15,17.88,5,3,2,1,1,2,1,4,0,0,1,1,2,8,-1
2024-02-25,DEN,GSW,1,16,11.32,4,1,3,1,0,2,0,1,1,0,0,1,1,3,-11
2024-02-28,DEN,SAC,0,21,20.03,6,3,1,0,0,0,1,2,1,0,1,2,2,6,-18
2024-02-29,DEN,MIA,0,6,15.02,4,0,1,0,0,0,0,0,0,1,0,1,1,0,6
2024-03-02,DEN,LAL,1,10,15.92,5,3,1,0,1,2,1,2,0,0,3,0,0,7,-3
2024-03-05,DEN,PHO,0,-10,22.88,8,2,5,0,0,0,1,4,4,1,2,0,2,4,1
2024-03-07,DEN,BOS,0,6,17.25,9,5,4,1,0,0,0,4,1,1,2,0,1,11,11
2024-03-09,DEN,UTA,0,21,26.17,8,4,2,0,4,4,0,5,0,1,1,1,1,12,0
2024-03-11,DEN,TOR,0,6,15.38,4,3,1,1,0,2,0,5,0,0,1,1,2,7,5
2024-03-13,DEN,MIA,1,12,22.62,7,3,2,0,0,0,0,3,2,0,1,0,0,6,2
2024-03-15,DEN,SAS,1,11,22.9,11,5,3,0,0,1,1,3,2,0,0,1,4,10,8
2024-03-17,DEN,DAL,1,-2,14.28,4,1,1,1,0,0,0,2,0,2,0,0,1,3,-14
2024-03-19,DEN,MIN,1,3,16.43,4,1,1,0,0,1,0,3,0,0,0,1,4,2,-5
2024-03-21,DEN,NYK,0,13,12.77,3,1,2,0,2,2,1,1,0,0,0,1,1,4,-13
2024-03-23,DEN,POR,1,3,15.22,6,1,1,0,1,1,2,5,1,0,2,0,2,3,5
2024-03-25,DEN,MEM,0,25,21.68,9,4,1,0,2,2,2,9,2,1,3,1,5,10,22
2024-03-27,DEN,PHO,0,-7,19.2,4,2,1,0,1,2,2,4,0,0,1,0,2,5,-16
2024-03-29,DEN,MIN,0,-13,11.22,2,0,1,0,0,0,0,3,1,0,0,0,0,0,-14
2024-03-31,DEN,CLE,0,29,19.92,5,4,0,0,1,2,1,3,2,1,2,2,1,9,3
2024-04-02,DEN,SAS,0,5,19.82,6,3,3,1,0,0,2,6,2,0,2,1,3,7,0
