Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-25,WAS,IND,1,-23,6.0,3,0,0,0,1,2,0,3,1,0,0,1,0,1,-1
2023-10-30,WAS,BOS,0,-19,12.0,2,0,0,0,7,8,1,1,3,4,0,1,1,7,14
2023-11-01,WAS,ATL,1,-9,7.15,2,2,0,0,2,2,0,0,1,0,1,0,2,6,17
2023-11-03,WAS,MIA,1,-7,7.33,4,2,1,1,2,3,0,1,2,0,1,0,1,7,15
2023-11-06,WAS,PHI,1,-18,10.48,5,3,1,0,0,0,1,5,3,2,0,5,2,6,1
2023-11-08,WAS,CHO,1,16,2.92,1,1,0,0,1,1,0,0,0,2,0,0,0,3,-2
2023-11-15,WAS,DAL,0,-13,1.78,1,1,0,0,0,0,0,0,0,0,0,0,0,2,5
2023-11-20,WAS,MIL,0,-13,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2023-12-22,WAS,GSW,1,-11,10.7,4,3,1,1,0,1,0,1,1,0,1,0,1,7,10
2023-12-27,WAS,TOR,0,-30,6.27,3,1,0,0,0,0,0,0,0,0,0,0,0,2,-4
2024-04-07,MIL,NYK,0,-13,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3
2024-04-12,MIL,OKC,1,-18,3.65,1,1,1,1,0,0,0,0,1,2,0,0,0,3,8
2024-04-14,MIL,ORL,1,-25,7.15,1,0,0,0,0,0,0,2,2,0,0,1,1,0,0
