Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-25,MIN,TOR,1,-3,21.27,5,1,4,1,1,2,0,3,4,2,0,2,4,4,3
2023-10-28,MIN,MIA,0,16,17.45,4,1,2,0,0,1,0,1,2,0,0,2,0,2,-4
2023-10-30,MIN,ATL,1,-14,16.55,8,4,2,2,0,0,0,1,1,0,0,1,1,10,2
2023-11-01,MIN,DEN,0,21,17.97,3,0,0,0,2,2,0,1,1,2,0,1,1,2,10
2023-11-04,MIN,UTA,0,28,15.18,4,2,2,0,4,4,1,2,0,1,1,0,2,8,4
2023-11-06,MIN,BOS,0,5,2.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8
2023-11-08,MIN,NOP,0,21,18.98,9,4,5,1,1,1,0,4,1,2,0,2,1,10,4
2023-11-10,MIN,SAS,1,7,14.37,4,2,3,2,0,1,1,3,1,0,0,2,3,6,0
2023-11-12,MIN,GSW,1,6,9.83,1,0,0,0,1,2,0,0,0,0,0,1,1,1,-2
2023-11-14,MIN,GSW,1,3,15.42,4,2,1,0,2,2,0,4,3,0,0,1,3,6,8
2023-11-15,MIN,PHO,1,-18,22.73,8,4,2,0,0,0,1,4,0,0,0,0,3,8,6
2023-11-18,MIN,NOP,1,1,15.63,6,2,2,0,4,4,0,1,1,1,0,1,2,8,-16
2023-11-20,MIN,NYK,0,17,14.02,5,2,2,0,2,2,0,5,4,0,0,1,1,6,0
2023-11-22,MIN,PHI,0,13,20.67,7,3,3,1,5,6,0,0,1,0,0,0,2,12,2
2023-11-24,MIN,SAC,0,-13,13.33,6,1,1,0,0,0,1,2,1,1,1,3,1,2,-10
2023-11-26,MIN,MEM,1,22,18.9,6,2,3,1,1,2,0,2,3,1,0,1,2,6,8
2023-11-28,MIN,OKC,0,3,11.53,2,1,1,0,2,2,0,1,1,1,1,2,1,4,-4
2023-11-30,MIN,UTA,0,11,20.05,7,2,2,0,1,2,0,2,3,2,0,0,0,5,-6
2023-12-02,MIN,CHO,1,6,22.7,8,2,2,0,2,2,0,1,2,1,0,0,2,6,-5
2023-12-06,MIN,SAS,0,8,12.03,2,0,1,0,0,0,0,1,0,0,0,0,0,0,-12
2023-12-08,MIN,MEM,1,24,21.8,9,6,5,3,2,2,0,2,1,0,0,2,1,17,9
2023-12-11,MIN,NOP,1,-14,19.6,10,4,1,0,4,4,1,1,5,0,0,1,4,12,1
2023-12-14,MIN,DAL,1,18,1.77,1,1,0,0,0,0,0,0,0,0,0,0,0,2,-1
2023-12-16,MIN,IND,0,18,5.37,2,0,1,0,0,0,0,0,0,0,0,0,1,0,-5
2023-12-20,MIN,PHI,1,-14,13.25,2,0,0,0,2,2,0,0,3,0,0,1,2,2,-1
2023-12-23,MIN,SAC,1,12,13.77,4,2,2,1,0,0,0,1,1,0,0,1,0,5,-6
2023-12-26,MIN,OKC,1,-23,4.53,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1
2024-01-03,MIN,NOP,0,-11,3.23,2,2,1,1,0,0,0,0,0,0,0,0,0,5,8
2024-01-05,MIN,HOU,1,27,3.47,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0
2024-01-09,MIN,ORL,1,21,2.45,2,2,0,0,0,0,0,0,0,0,0,0,0,4,-2
2024-01-10,MIN,BOS,1,-7,9.32,2,1,0,0,0,1,0,2,0,0,1,0,0,2,8
2024-01-12,MIN,POR,0,23,9.82,5,3,0,0,0,0,0,0,2,0,0,0,1,6,-11
2024-01-17,MIN,DET,1,7,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5
2024-01-22,MIN,CHO,0,-3,14.77,5,2,2,0,0,0,0,1,3,1,0,0,1,4,-6
2024-01-24,MIN,WAS,1,11,18.57,5,1,1,0,0,0,2,3,3,1,1,1,1,2,0
2024-01-27,MIN,SAS,1,-1,16.23,5,3,1,1,0,0,0,1,2,0,0,1,1,7,4
2024-01-31,MIN,DAL,0,34,6.05,3,2,0,0,0,0,0,0,0,0,0,0,1,4,7
2024-02-04,MIN,HOU,0,21,4.27,3,0,0,0,0,0,0,2,0,0,0,0,0,0,-7
2024-02-10,DET,LAC,1,-6,11.87,5,2,1,0,0,0,1,3,0,1,0,0,1,4,-2
2024-02-13,DET,LAL,1,-14,18.92,9,4,1,0,0,0,2,6,4,0,0,1,1,8,-1
2024-02-14,DET,PHO,1,-16,22.5,10,4,6,3,2,3,4,9,2,1,1,2,0,13,-12
2024-02-22,DET,IND,1,-14,9.83,2,1,1,0,0,0,0,0,0,0,0,0,1,2,-12
2024-03-08,NYK,ORL,0,24,1.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2024-03-12,NYK,PHI,0,27,4.2,2,0,1,0,2,2,0,0,0,0,0,0,1,2,-3
2024-03-25,NYK,DET,0,25,4.88,0,0,0,0,0,0,0,0,1,0,0,0,2,0,-5
2024-03-27,NYK,TOR,1,44,10.45,5,3,1,1,0,0,0,3,2,0,0,0,3,7,14
2024-03-29,NYK,SAS,1,-4,6.02,2,1,0,0,0,0,0,3,1,1,0,0,1,2,1
2024-04-04,NYK,SAC,0,11,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
