Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-24,LAL,DEN,1,-12,29.88,8,6,6,4,2,2,1,3,1,0,1,1,0,18,-14
2023-10-26,LAL,PHO,0,5,18.17,5,0,1,0,0,0,0,0,0,1,0,0,3,0,-15
2023-10-29,LAL,SAC,1,-5,41.38,17,7,13,5,1,2,0,3,2,0,1,1,3,20,-10
2023-10-30,LAL,ORL,0,3,26.47,4,1,2,0,2,2,0,0,1,0,1,0,3,4,-5
2023-11-06,LAL,MIA,1,-1,34.47,9,4,4,1,0,0,0,3,2,2,0,0,4,9,13
2023-11-08,LAL,HOU,1,-34,26.63,6,3,2,1,0,0,0,1,1,0,0,1,3,7,-16
2023-11-10,LAL,PHO,1,3,32.73,8,3,4,0,1,2,0,1,0,0,2,0,4,7,3
2023-11-12,LAL,POR,0,6,33.17,9,5,3,0,1,1,0,3,1,1,0,1,2,11,1
2023-11-14,LAL,MEM,0,27,29.47,6,3,5,2,0,0,0,3,1,1,0,0,3,8,9
2023-11-15,LAL,SAC,0,-15,25.47,7,3,4,1,0,0,0,2,0,1,0,0,2,7,-24
2023-11-17,LAL,POR,1,12,35.08,7,3,5,1,3,3,1,1,3,2,0,0,5,10,10
2023-11-19,LAL,HOU,0,1,23.92,11,1,4,0,0,1,3,4,2,0,0,2,0,2,-6
2023-11-21,LAL,UTA,0,32,30.57,8,1,4,0,2,3,0,0,1,0,1,2,0,4,26
2023-11-22,LAL,DAL,0,-3,36.87,10,6,5,2,0,0,1,6,2,0,0,1,3,14,15
2023-11-25,LAL,CLE,1,6,31.63,8,3,3,1,0,0,0,4,6,1,2,0,0,7,12
2023-11-27,LAL,PHI,1,-44,28.57,8,4,6,3,0,0,0,4,1,0,0,1,3,11,-26
2023-11-29,LAL,DET,1,26,22.72,4,3,4,3,0,0,0,1,1,1,0,1,0,9,26
2023-11-30,LAL,OKC,1,-23,31.8,7,2,5,2,0,0,0,1,2,0,0,1,5,6,-10
2023-12-02,LAL,HOU,0,10,29.28,7,4,5,3,0,0,0,6,1,2,0,1,0,11,6
2023-12-05,LAL,PHO,0,3,26.68,6,2,2,0,1,2,0,3,0,3,0,3,1,5,-12
