Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-01-19,PHI,ORL,1,15,1.82,2,2,2,2,0,0,0,0,0,0,0,0,0,6,2
2024-01-20,PHI,CHO,1,8,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4
2024-01-22,PHI,SAS,0,10,1.07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-5
2024-01-25,PHI,IND,1,-12,12.0,6,0,4,0,2,2,0,0,5,3,0,1,0,2,9
2024-01-29,PHI,POR,1,-26,9.1,4,1,4,1,0,0,0,0,1,1,0,1,1,3,-5
2024-02-03,PHI,BRK,0,-15,9.18,7,6,6,5,0,1,0,0,1,0,0,0,2,17,8
2024-02-05,PHI,DAL,0,-16,5.68,2,1,2,1,0,0,0,1,1,1,0,0,0,3,4
2024-02-07,PHI,GSW,0,-23,10.03,8,3,4,1,0,0,0,1,2,1,0,1,0,7,4
2024-02-09,PHI,ATL,0,-6,12.73,7,3,6,2,0,0,0,0,0,1,0,1,0,8,-11
2024-02-12,PHI,CLE,1,2,3.08,2,0,2,0,0,0,0,0,0,0,0,0,1,0,2
2024-02-14,PHI,MIA,0,-5,2.83,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-22,PHI,NYK,0,-14,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-06,PHI,MEM,1,20,6.15,3,2,2,1,0,0,0,1,1,1,0,1,2,5,-3
2024-04-09,PHI,DET,0,18,2.28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1
2024-04-12,PHI,ORL,0,12,1.05,0,0,0,0,0,0,0,0,1,0,0,1,0,0,-2
2024-04-14,PHI,BRK,0,21,5.78,3,0,2,0,1,2,0,1,0,0,0,1,1,1,-5
