Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-28,CHI,DET,1,-16,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-04,CHI,DEN,1,-22,3.18,1,1,0,0,0,0,0,0,0,0,0,0,0,2,-2
2023-11-06,CHI,UTA,0,17,1.92,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-5
2023-11-20,CHI,MIA,0,-18,2.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2023-11-28,CHI,BOS,1,-27,3.08,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2023-12-12,CHI,DEN,0,-8,0.65,1,1,0,0,0,0,1,1,0,0,0,0,0,2,2
2023-12-20,CHI,LAL,0,16,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2023-12-21,CHI,SAS,0,19,2.4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-1
2023-12-26,CHI,ATL,0,5,7.97,2,2,0,0,0,0,1,1,0,0,0,0,2,4,4
2023-12-28,CHI,IND,0,-16,14.05,2,1,1,0,0,0,1,1,1,0,0,0,3,2,1
2023-12-30,CHI,PHI,0,13,17.25,3,3,0,0,0,0,3,6,1,1,0,0,0,6,1
2024-01-02,CHI,PHI,1,-13,19.6,5,0,2,0,0,0,4,5,1,1,1,4,2,0,18
2024-01-03,CHI,NYK,1,-16,15.72,3,2,0,0,0,0,1,2,0,0,0,0,0,4,0
2024-01-05,CHI,CHO,0,13,9.12,3,2,1,0,1,1,0,0,0,0,1,1,2,5,5
2024-01-15,CHI,CLE,1,-18,4.78,1,0,1,0,0,0,0,1,0,0,0,0,1,0,-5
2024-01-20,CHI,MEM,0,29,3.73,1,1,0,0,0,0,1,2,1,0,0,1,2,2,4
2024-01-31,CHI,CHO,1,7,20.33,4,1,2,1,0,0,1,6,2,1,0,0,0,3,0
2024-02-03,CHI,SAC,0,-8,3.05,2,1,0,0,0,0,1,1,0,0,0,0,0,2,0
2024-02-22,CHI,BOS,0,-17,2.55,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2024-02-25,CHI,NOP,1,8,7.22,1,1,0,0,0,0,0,2,0,0,0,0,0,2,-11
2024-02-27,CHI,DET,0,-10,3.58,1,0,1,0,0,0,0,0,0,0,0,0,1,0,-3
2024-02-28,CHI,CLE,0,9,4.07,2,0,0,0,0,0,0,1,0,0,0,0,1,0,-2
2024-03-01,CHI,MIL,0,-16,12.02,2,1,1,1,1,2,1,3,0,0,0,0,1,4,-6
2024-03-09,CHI,LAC,1,-10,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-11,CHI,DAL,0,-35,7.38,1,1,0,0,0,0,0,1,1,0,0,0,0,2,0
2024-03-14,CHI,LAC,0,-15,2.88,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3
2024-03-16,CHI,WAS,0,29,2.38,1,1,0,0,0,0,0,1,0,0,0,0,0,2,8
2024-03-23,CHI,BOS,0,-11,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-27,CHI,IND,0,26,1.95,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
2024-03-29,CHI,BRK,1,-17,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3
2024-04-01,CHI,ATL,0,-12,9.75,2,1,0,0,2,2,2,2,0,1,0,0,0,4,2
