Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-11-02,TOR,PHI,1,-15,2.38,0,0,0,0,0,2,0,1,1,0,0,0,0,0,1
2023-11-11,TOR,BOS,1,-23,4.02,3,2,0,0,0,0,1,1,2,0,0,0,0,4,6
2023-11-15,TOR,MIL,0,-16,3.52,1,0,0,0,0,0,0,1,0,0,0,1,0,0,4
2023-12-15,TOR,ATL,0,-21,2.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2023-12-27,TOR,WAS,1,30,4.88,1,1,0,0,1,1,1,3,3,0,0,1,0,3,4
2023-12-30,TOR,DET,1,-2,10.98,5,3,0,0,0,0,1,1,1,2,0,2,3,6,-9
2024-01-01,TOR,CLE,0,3,2.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2024-01-07,TOR,GSW,1,15,3.73,2,1,1,1,0,0,0,0,0,0,0,1,0,3,-5
2024-01-09,TOR,LAL,1,-1,28.88,9,5,1,0,0,0,1,5,4,3,1,0,4,10,7
2024-01-10,TOR,LAC,1,-6,23.42,5,4,1,0,0,0,2,4,3,2,0,2,1,8,-2
2024-01-12,TOR,UTA,1,-32,12.27,1,0,0,0,0,0,0,2,2,0,0,0,5,0,2
2024-01-15,TOR,BOS,0,-9,16.08,4,0,1,0,0,0,2,4,7,2,0,0,2,0,6
2024-01-17,TOR,MIA,0,24,28.03,6,2,0,0,1,2,2,8,2,1,0,0,3,5,21
2024-01-18,TOR,CHI,0,-6,14.63,4,3,0,0,0,0,1,2,2,0,0,0,2,6,-19
2024-01-20,TOR,NYK,1,-26,15.25,4,2,0,0,0,0,1,2,1,2,0,0,2,4,-11
2024-01-22,TOR,MEM,0,-8,26.25,8,5,0,0,2,2,2,6,4,3,0,0,1,12,0
2024-01-26,TOR,LAC,0,-20,23.97,6,6,0,0,0,2,4,6,4,1,1,0,3,12,-15
2024-01-28,TOR,ATL,1,-1,22.02,3,2,0,0,0,0,1,4,1,0,0,0,2,4,-18
2024-01-30,TOR,CHI,1,11,31.62,13,8,1,0,0,0,4,6,6,0,0,1,5,16,15
2024-02-02,TOR,HOU,1,-29,25.42,4,4,0,0,0,1,1,4,1,0,0,2,2,8,-10
2024-02-04,TOR,OKC,1,-8,18.95,4,3,1,0,0,0,1,5,4,1,1,0,1,6,2
2024-02-05,TOR,NOP,1,-38,14.52,1,1,0,0,1,2,1,2,0,0,0,0,0,3,-13
2024-02-07,TOR,CHO,1,6,14.57,3,2,0,0,0,0,3,8,2,1,0,1,2,4,0
2024-02-23,PHO,HOU,1,-4,18.88,3,1,0,0,0,0,6,8,0,1,0,1,4,2,-1
2024-03-02,PHO,HOU,0,-9,9.72,3,2,0,0,0,2,1,2,0,0,0,0,0,4,4
2024-03-14,PHO,BOS,1,-15,2.97,1,1,0,0,0,0,1,1,1,0,0,0,0,2,3
2024-03-20,PHO,PHI,0,13,1.8,1,0,0,0,0,0,0,0,0,0,2,0,0,0,-1
2024-03-23,PHO,SAS,1,25,5.72,4,2,0,0,0,0,1,2,2,1,0,1,0,4,-2
2024-03-27,PHO,DEN,1,7,17.85,4,3,0,0,0,0,4,9,2,1,0,0,1,6,15
2024-04-05,PHO,MIN,0,10,2.83,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-13
2024-04-09,PHO,LAC,0,-13,7.53,1,0,0,0,0,0,1,2,0,0,0,0,0,0,-10
2024-04-10,PHO,LAC,1,16,13.27,2,0,1,0,0,0,2,2,2,2,0,0,2,0,2
2024-04-14,PHO,MIN,1,19,8.8,2,2,0,0,1,1,1,1,0,0,0,2,4,5,-8
