Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-25,DAL,SAS,1,7,27.92,14,5,10,3,4,4,2,6,4,1,0,1,0,17,9
2023-10-27,DAL,BRK,0,5,30.23,17,6,7,3,4,4,1,4,1,0,0,1,2,19,13
2023-10-30,DAL,MEM,1,15,29.23,14,8,7,3,2,2,0,5,0,0,0,1,1,21,6
2023-11-01,DAL,CHI,0,9,27.48,15,8,13,7,1,1,0,3,2,1,0,2,0,24,-9
2023-11-03,DAL,DEN,1,-11,26.75,8,3,5,1,2,2,0,3,2,1,0,2,3,9,-10
2023-11-05,DAL,CHO,0,6,32.22,17,5,12,4,2,2,0,2,1,0,0,0,0,16,1
2023-11-06,DAL,ORL,1,15,30.83,16,8,11,4,1,1,0,6,0,0,0,0,0,21,3
2023-11-08,DAL,TOR,0,-11,25.57,11,6,9,5,0,0,1,2,1,0,0,3,0,17,-19
2023-11-10,DAL,LAC,0,18,26.73,13,6,8,2,3,3,0,3,3,0,0,0,0,17,20
2023-11-12,DAL,NOP,1,12,28.17,14,4,10,3,4,4,0,9,2,0,0,0,1,15,14
2023-11-14,DAL,NOP,1,-21,21.38,11,5,9,3,4,4,0,0,1,0,0,1,2,17,-26
2023-11-15,DAL,WAS,1,13,26.8,20,11,11,7,2,5,0,4,3,0,0,1,1,31,17
2023-11-18,DAL,MIL,1,-7,26.32,14,6,10,4,1,1,0,2,2,0,0,1,0,17,0
2023-11-19,DAL,SAC,0,-16,27.48,11,5,4,2,2,2,0,2,2,0,0,0,3,14,-9
2023-11-22,DAL,LAL,1,3,29.92,10,2,8,2,1,2,1,2,3,1,0,0,0,7,11
2023-11-25,DAL,LAC,1,-19,29.28,14,5,9,2,0,0,0,3,0,0,0,1,2,12,-9
2023-11-28,DAL,HOU,0,6,21.67,12,4,8,3,0,0,1,1,0,0,0,0,0,11,1
2023-12-06,DAL,UTA,0,50,21.88,14,5,12,4,3,4,1,4,2,0,0,0,1,17,8
2023-12-08,DAL,POR,1,13,36.52,12,7,9,4,2,2,0,4,0,0,0,1,4,20,15
2023-12-12,DAL,LAL,0,2,36.97,21,10,10,5,7,8,1,3,3,1,0,0,2,32,-6
