Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-12-27,ORL,PHI,0,-20,1.25,1,0,1,0,0,0,0,0,0,1,0,0,0,0,3
2024-01-03,ORL,SAC,1,-3,38.07,7,2,3,0,1,2,0,2,6,2,1,0,5,5,1
2024-01-05,ORL,DEN,1,2,30.75,4,2,1,0,1,1,1,5,2,2,1,0,4,5,10
2024-01-07,ORL,ATL,0,7,6.05,1,1,0,0,0,0,1,1,0,0,0,1,2,2,-3
2024-01-09,ORL,MIN,0,-21,28.38,9,3,4,3,2,2,1,3,3,1,0,2,1,11,-10
2024-01-12,ORL,MIA,1,-3,7.18,1,0,1,0,0,0,0,1,0,0,0,1,0,0,4
2024-01-13,ORL,OKC,1,-12,17.08,6,3,3,0,1,1,0,4,1,0,3,2,2,7,4
2024-01-19,ORL,PHI,0,-15,3.22,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0
2024-01-21,ORL,MIA,0,18,3.02,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-4
2024-01-22,ORL,CLE,0,-27,13.63,4,2,1,0,4,6,0,1,5,1,0,1,0,8,2
2024-01-26,ORL,MEM,1,-1,4.73,1,0,1,0,0,0,0,0,1,0,0,0,0,0,-5
2024-01-28,ORL,PHO,0,15,1.93,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2024-02-14,ORL,NYK,0,18,7.82,2,0,1,0,0,0,0,1,0,0,0,0,1,0,-12
2024-04-09,ORL,HOU,1,-12,1.62,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
