Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-01-24,WAS,MIN,0,-11,0.65,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
2024-01-25,WAS,UTA,0,-15,0.83,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-02-01,MEM,CLE,0,-7,13.57,2,2,0,0,1,1,1,3,0,1,1,0,2,5,4
2024-02-04,MEM,BOS,1,-40,23.35,5,2,0,0,2,2,2,5,0,0,2,3,3,6,-24
2024-02-06,MEM,NYK,1,-10,32.15,10,6,0,0,0,0,5,6,2,0,2,1,5,12,-16
2024-02-08,MEM,CHI,0,-8,15.4,4,0,0,0,0,0,1,2,0,2,0,0,4,0,-3
2024-02-10,MEM,CHO,1,-9,14.4,0,0,0,0,1,2,2,3,2,0,1,0,1,1,-11
2024-02-12,MEM,NOP,0,-9,17.73,4,3,0,0,0,0,0,5,1,1,3,2,4,6,12
2024-02-15,MEM,MIL,0,3,23.3,11,4,0,0,2,2,4,6,2,0,1,2,4,10,-10
2024-03-01,MEM,POR,0,-30,30.1,3,2,0,0,1,2,2,6,1,0,0,1,5,5,-12
2024-03-04,MEM,BRK,1,4,18.82,6,5,0,0,0,0,1,7,0,0,1,1,6,10,7
2024-03-08,MEM,ATL,0,-7,16.48,3,2,0,0,1,2,0,2,0,1,0,1,2,5,7
2024-03-10,MEM,OKC,1,-31,20.88,3,1,0,0,0,0,2,4,2,0,0,1,0,2,-1
2024-03-12,MEM,WAS,0,12,31.13,13,11,0,0,2,2,5,6,0,0,2,3,4,24,7
2024-03-13,MEM,CHO,0,-12,31.92,8,6,0,0,2,2,5,6,1,1,2,3,3,14,-2
2024-03-18,MEM,SAC,1,-10,13.17,1,0,0,0,0,0,4,5,2,0,0,0,2,0,-8
2024-03-20,MEM,GSW,1,-21,25.0,5,2,0,0,0,0,1,4,2,0,0,1,2,4,4
2024-03-25,MEM,DEN,1,-25,21.67,5,3,0,0,2,2,3,5,1,1,1,2,1,8,-3
2024-04-03,MEM,MIL,1,10,18.97,7,3,0,0,1,2,2,4,0,0,2,0,0,7,-19
2024-04-05,MEM,DET,0,18,31.3,9,7,0,0,3,3,8,13,1,1,3,4,4,17,-2
2024-04-06,MEM,PHI,0,-20,33.47,6,2,0,0,1,1,4,7,2,0,0,3,2,5,-17
2024-04-09,MEM,SAS,0,-15,30.17,14,6,0,0,2,2,5,9,2,1,1,1,3,14,-4
2024-04-10,MEM,CLE,1,-12,35.93,7,2,0,0,0,0,2,9,3,1,4,1,2,4,-17
2024-04-12,MEM,LAL,0,-3,35.42,4,3,0,0,0,0,2,5,0,0,1,1,6,6,8
2024-04-14,MEM,DEN,0,-15,38.15,6,3,0,0,0,0,3,11,3,2,1,2,4,6,-13
