Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-25,MEM,NOP,0,-7,29.27,7,4,3,1,0,0,0,4,0,0,0,1,2,9,-8
2023-10-27,MEM,DEN,0,-4,31.08,10,3,3,0,5,5,2,9,3,0,0,4,0,11,0
2023-10-28,MEM,WAS,1,-7,33.8,14,6,12,4,0,0,0,10,1,0,0,1,2,16,-1
2023-10-30,MEM,DAL,0,-15,33.08,8,3,4,2,0,0,1,7,2,1,0,3,2,8,-21
2023-11-01,MEM,UTA,1,-24,19.15,5,2,5,2,2,2,1,4,0,0,2,1,2,8,-12
2023-11-03,MEM,POR,1,-2,27.05,8,5,1,1,2,2,0,6,3,1,1,2,6,13,-16
2023-11-05,MEM,POR,1,12,27.58,4,2,2,1,1,2,1,7,1,0,1,2,2,6,-17
2023-11-08,MEM,MIA,0,-6,20.83,9,1,5,0,0,0,1,2,0,2,0,1,2,2,-10
2023-11-12,MEM,LAC,1,4,8.6,4,0,3,0,0,0,1,1,1,0,0,0,1,0,-6
2023-11-14,MEM,LAL,1,-27,25.72,16,4,7,2,0,0,0,1,0,1,1,1,3,10,-15
2023-11-18,MEM,SAS,1,12,24.93,8,4,3,2,7,8,1,7,5,1,0,1,1,17,27
2023-11-19,MEM,BOS,0,-2,24.33,11,3,4,0,0,0,2,7,4,0,0,0,2,6,-5
2023-11-22,MEM,HOU,1,-20,20.1,10,4,5,2,3,3,0,2,0,0,0,0,2,13,-27
2023-11-24,MEM,PHO,0,-21,1.63,1,0,1,0,0,0,0,0,1,0,0,0,1,0,-4
2023-11-26,MEM,MIN,0,-22,18.13,8,4,3,2,1,2,0,2,1,0,0,2,5,11,-9
2023-11-29,MEM,UTA,0,14,24.77,8,6,3,3,0,0,2,8,0,2,0,2,0,15,8
2023-12-01,MEM,DAL,1,14,9.57,2,1,1,1,0,0,0,0,1,1,0,2,1,3,-8
2023-12-06,MEM,DET,1,14,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-08,MEM,MIN,0,-24,4.4,3,2,0,0,0,0,0,0,0,0,0,0,0,4,0
2023-12-11,MEM,DAL,0,-7,15.73,5,2,3,1,0,0,1,3,1,1,0,0,2,5,-4
2023-12-13,MEM,HOU,1,-13,25.77,8,1,6,0,3,3,0,4,3,0,0,1,2,5,-4
2023-12-15,MEM,HOU,0,-7,14.72,1,0,0,0,0,0,1,4,2,0,0,2,1,0,-13
2023-12-18,MEM,OKC,1,-19,21.8,12,6,7,2,5,5,0,7,5,0,0,4,3,19,6
2023-12-19,MEM,NOP,1,2,17.68,5,2,3,0,0,0,1,2,0,0,0,1,1,4,1
2023-12-21,MEM,IND,0,13,18.43,9,6,4,3,1,2,0,1,2,1,2,2,2,16,6
2023-12-23,MEM,ATL,1,6,23.47,8,3,3,1,1,3,1,3,3,0,0,1,3,8,6
2023-12-26,MEM,NOP,1,1,11.53,2,0,2,0,2,2,0,1,1,1,1,2,1,2,-7
2023-12-28,MEM,DEN,1,-37,24.42,8,2,3,1,2,2,1,2,1,1,1,1,1,7,-16
2023-12-29,MEM,LAC,1,-11,5.95,3,0,2,0,0,0,0,2,1,0,0,0,1,0,-3
2023-12-31,MEM,SAC,0,-31,4.82,2,0,0,0,0,0,0,1,0,0,0,1,0,0,-6
2024-01-02,MEM,SAS,0,8,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4
2024-01-03,MEM,TOR,0,-5,18.13,12,7,7,4,0,0,2,6,0,1,0,0,1,18,-1
2024-01-05,MEM,LAL,1,14,20.32,11,6,6,2,1,1,0,1,1,1,0,2,2,15,10
2024-01-07,MEM,PHO,1,6,27.45,10,4,5,1,0,1,2,4,3,2,0,1,4,9,5
2024-01-09,MEM,DAL,1,17,26.58,9,6,5,2,0,0,1,4,0,1,0,1,1,14,12
2024-01-12,MEM,LAC,0,-9,18.72,12,5,5,3,0,0,2,3,2,0,0,1,2,13,4
2024-01-13,MEM,NYK,0,-12,19.52,8,2,4,1,5,5,1,4,2,1,0,2,0,10,-9
2024-01-15,MEM,GSW,0,9,19.8,6,1,5,1,1,4,2,3,0,1,0,1,2,4,-13
2024-01-18,MEM,MIN,1,-15,12.07,5,1,2,0,0,0,0,1,2,2,0,2,1,2,-26
2024-01-20,MEM,CHI,1,-29,22.12,9,2,5,0,4,4,1,1,1,2,0,1,3,8,-29
2024-01-22,MEM,TOR,1,8,13.63,3,1,1,1,3,3,1,2,2,0,0,2,3,6,1
2024-01-24,MEM,MIA,1,9,17.43,8,0,4,0,0,0,1,6,1,1,0,1,1,0,6
2024-01-26,MEM,ORL,0,1,29.77,10,7,6,3,0,0,0,4,5,2,0,3,3,17,-1
2024-01-28,MEM,IND,1,-6,13.75,6,2,3,0,0,0,0,3,3,0,0,2,1,4,-18
2024-02-14,MEM,HOU,0,8,21.68,6,2,2,0,1,1,0,2,2,1,0,0,1,5,12
